year	delta	season
1811	26	w
1812	45	s
1814	25	w
1814	22	w
1814	27	w
1815	15	s
1815	21	s
1815	19	s
1815	21	s
1815	19	s
1815	19	s
1815	19	s
1815	21	s
1815	19	s
1815	18	s
1815	19	w
1815	19	w
1815	21	w
1815	22	w
1815	23	w
1816	78	s
1818	22	w
1818	21	s
1818	20	s
1818	21	s
1818	24	s
1818	21	s
1818	18	s
1818	18	s
1818	20	s
1818	18	s
1818	19	s
1818	18	s
1818	19	s
1818	20	w
1818	19	w
1818	20	w
1818	21	w
1818	19	w
1818	17	w
1818	18	w
1818	18	w
1818	22	w
1818	21	w
1818	22	w
1818	22	w
1818	22	w
1818	19	w
1818	19	w
1819	21	w
1819	26	s
1825	18	s
1831	14	w
1831	14	s
1831	16	s
1831	14	w
1833	15	w
1833	13	w
1837	24	w
1838	22	w
1839	17	s
1843	15	w
1844	14	w
1844	11	s
1845	10	w
1845	9	s
1845	9	s
1846	9	s
1846	10	s
1846	13	s
1846	14	s
1846	9	s
1846	9	s
1846	9	s
1846	9	s
1846	10	w
1847	13	w
1847	9	s
1847	10	s
1847	13	w
1848	8	s
1848	12	s
1848	6	w
1849	9	s
1849	8	s
1849	7	s
1849	7	w
1850	8	s
1850	7	s
1850	9	s
1851	6	s
1852	7	w
1852	5	s
1852	9	s
1853	9	s
1853	9	s
1853	7	s
1853	6	s
1853	8	w
1854	5	s
1854	7	s
1855	7	w
1855	6	s
1855	6	s
1855	4	s
1856	5	s
1856	5	s
1856	6	w
1857	8	w
1857	9	w
1857	5	s
1857	5	s
1857	11	s
1858	5	w
1858	7	s
1858	5	s
1858	8	w
1858	9	w
1859	8	w
1859	8	s
1860	4	w
1861	6	s
1865	3	s
1867	11	w
1867	9	s
1867	8	s
1868	13	s
1868	10	w
1868	8	w
1870	7	w
1871	3	s
1874	4	s
1876	5	s
1877	7	s
1883	3	w
1883	4	s
1884	2	w
1885	2	w
1885	5	s
1885	2	w
1887	4	w
