year	delta	season
1818	46	w
1822	73	w
1822	66	w
1823	108	w
1824	77	w
1824	74	w
1824	72	s
1824	71	s
1825	91	w
1825	64	s
1826	59	w
1826	91	s
1826	78	s
1828	50	s
1828	57	s
1828	69	s
1828	41	s
1828	69	s
1828	68	w
1829	36	w
1829	77	w
1829	75	w
1829	60	w
1829	55	w
1829	56	s
1829	73	s
1829	69	s
1829	57	w
1830	42	w
1830	68	w
1830	46	s
1830	59	s
1830	70	s
1830	68	w
1831	66	w
1831	48	w
1831	75	s
1831	86	s
1831	51	s
1831	44	w
1831	43	w
1832	51	w
1832	61	w
1832	54	s
1832	69	s
1833	48	s
1833	90	s
1833	59	s
1834	21	w
1834	59	w
1834	59	s
1835	46	w
1835	53	s
1835	89	s
1836	44	w
1837	48	w
1837	51	w
1837	40	w
1837	75	w
1837	49	s
1837	60	s
1837	62	s
1837	44	w
1837	40	w
1838	20	w
1838	37	s
1838	30	s
1838	37	s
1838	38	s
1838	35	s
1838	41	s
1838	36	s
1838	46	s
1838	37	s
1838	34	s
1838	36	s
1838	38	s
1838	36	s
1838	54	s
1838	37	s
1838	41	s
1838	35	s
1838	37	s
1838	35	s
1838	46	w
1838	38	w
1838	33	w
1838	40	w
1838	37	w
1839	55	w
1839	39	w
1839	45	w
1839	40	w
1839	32	w
1839	34	w
1839	32	w
1839	37	w
1839	49	w
1839	34	s
1839	34	s
1839	33	s
1839	34	s
1839	36	s
1839	38	s
1839	29	s
1839	27	s
1839	28	s
1839	32	s
1839	29	s
1839	31	s
1839	34	s
1839	38	s
1839	33	s
1839	31	s
1839	28	s
1839	34	s
1839	33	s
1839	26	s
1839	27	s
1839	31	s
1839	33	s
1839	40	s
1839	33	s
1839	28	s
1839	31	w
1839	35	w
1839	38	w
1839	31	w
1839	34	w
1839	32	w
1839	29	w
1839	38	w
1839	34	w
1840	41	w
1840	33	w
1840	29	w
1840	34	w
1840	40	w
1840	36	w
1840	44	w
1840	33	w
1840	34	w
1840	23	w
1840	30	w
1840	33	w
1840	35	w
1840	28	w
1840	32	w
1840	36	w
1840	40	w
1840	33	w
1840	35	w
1840	25	w
1840	27	w
1840	34	w
1840	29	w
1840	29	w
1840	32	w
1840	24	s
1840	28	s
1840	35	s
1840	34	s
1840	36	s
1840	31	s
1840	33	s
1840	25	s
1840	40	s
1840	32	s
1840	32	s
1840	34	s
1840	24	s
1840	30	s
1840	29	s
1840	32	s
1840	29	s
1840	34	s
1840	33	s
1840	24	s
1840	32	s
1840	26	s
1840	27	s
1840	25	s
1840	30	s
1840	31	s
1840	23	s
1840	30	s
1840	27	s
1840	30	s
1840	31	s
1840	36	s
1840	38	s
1840	23	s
1840	35	s
1840	28	s
1840	33	s
1840	32	s
1840	30	s
1840	34	s
1840	36	s
1840	32	w
1840	34	w
1840	23	w
1840	25	w
1840	27	w
1840	34	w
1840	24	w
1840	28	w
1840	32	w
1840	29	w
1841	30	w
1841	33	w
1841	37	w
1841	33	w
1841	35	w
1841	44	w
1841	30	w
1841	32	w
1841	28	w
1841	28	w
1841	31	w
1841	34	w
1841	40	w
1841	38	w
1841	24	w
1841	31	w
1841	45	w
1841	23	w
1841	35	w
1841	31	w
1841	33	w
1841	35	w
1841	34	w
1841	33	s
1841	28	s
1841	31	s
1841	29	s
1841	28	s
1841	30	s
1841	33	s
1841	30	s
1841	31	s
1841	26	s
1841	30	s
1841	31	s
1841	31	s
1841	26	s
1841	30	s
1841	33	s
1841	29	s
1841	27	s
1841	22	s
1841	23	s
1841	27	s
1841	28	w
1841	35	w
1841	37	w
1841	31	w
1841	33	w
1841	29	w
1841	36	w
1841	29	w
1841	32	w
1842	26	w
1842	42	w
1842	27	w
1842	42	w
1842	27	w
1842	31	w
1842	31	w
1842	30	s
1842	29	s
1842	31	s
1842	30	s
1842	29	s
1842	25	s
1842	33	s
1842	30	s
1842	25	s
1842	27	s
1842	22	s
1842	28	s
1842	30	s
1842	32	s
1842	31	w
1842	25	w
1842	30	w
1842	25	w
1842	36	w
1843	32	w
1843	31	w
1843	34	w
1843	34	w
1843	43	w
1843	34	w
1843	28	w
1843	33	w
1843	28	s
1843	37	s
1843	32	s
1843	35	s
1843	29	s
1843	36	s
1843	31	w
1843	28	w
1843	26	w
1844	34	w
1844	39	w
1844	40	w
1844	34	w
1844	36	s
1844	26	s
1844	33	s
1844	28	s
1844	25	s
1844	25	s
1844	27	s
1844	36	s
1844	20	s
1844	25	s
1844	35	s
1844	30	s
1844	37	s
1844	27	w
1844	28	w
1844	32	w
1844	26	w
1845	26	w
1845	33	w
1845	33	w
1845	30	s
1845	32	s
1845	27	s
1845	25	w
1846	39	w
1846	26	w
1846	30	w
1846	25	s
1846	30	s
1846	23	s
1846	24	s
1846	21	w
1846	26	w
1846	27	w
1846	26	w
1847	23	w
1847	22	w
1847	33	s
1847	37	s
1847	26	s
1847	22	s
1847	27	s
1847	24	s
1848	32	w
1848	22	w
1848	24	w
1848	25	s
1848	28	w
1848	20	w
1848	38	w
1849	27	w
1849	23	w
1849	19	s
1850	34	s
1850	26	s
1851	26	w
1851	19	w
1851	21	w
1851	28	w
1851	22	s
1851	27	s
1851	22	s
1851	24	s
1851	21	s
1851	17	s
1851	16	s
1851	22	s
1851	17	s
1852	16	w
1852	19	w
1852	39	w
1852	33	w
1852	18	s
1852	15	s
1852	15	s
1852	16	s
1853	18	s
1853	22	s
1853	20	s
1853	14	s
1853	14	s
1853	19	s
1853	19	s
1853	11	s
1853	14	s
1853	34	s
1853	14	s
1853	11	w
1853	13	w
1853	19	w
1854	13	s
1854	20	s
1854	44	s
1854	12	s
1854	20	s
1854	19	s
1854	17	s
1854	11	s
1854	13	s
1854	11	w
1854	12	w
1855	16	w
1855	228	s
1855	6	w
1855	12	w
1855	22	w
1855	11	w
1855	12	s
1855	16	s
1855	12	s
1855	13	s
1855	16	s
1855	20	s
1855	11	s
1855	19	s
1855	11	s
1855	13	s
1855	12	s
1855	12	s
1855	11	s
1855	13	w
1855	15	w
1855	12	w
1855	13	w
1855	14	w
1855	12	w
1855	17	w
1856	19	w
1856	11	w
