year	delta	season
1804	64	s
1805	65	w
1805	50	w
1805	59	w
1805	44	s
1806	65	w
1810	57	s
1816	49	s
1817	55	w
1817	60	w
1817	90	s
1818	45	w
1818	49	w
1818	54	s
1818	65	s
1822	63	w
1823	67	w
1824	44	w
1825	46	w
1825	53	s
1828	75	w
1828	76	s
1830	33	s
1830	32	s
1830	23	s
1830	30	w
1831	33	w
1831	31	w
1831	34	s
1831	27	s
1831	27	s
1831	33	s
1831	27	w
1832	35	w
1832	31	s
1832	31	s
1832	31	s
1832	38	w
1833	41	w
1834	32	w
1834	46	s
1835	56	w
1835	36	w
1837	26	w
1837	28	w
1837	25	w
1837	22	s
1838	29	s
1839	24	w
1839	21	s
1839	21	s
1839	24	s
1839	21	w
1839	18	w
1839	20	w
1840	19	w
1840	21	w
1840	18	s
1840	19	s
1840	19	s
1841	20	w
1841	23	w
1842	16	w
1843	23	w
1843	21	s
1843	20	s
1843	25	s
1844	19	w
1844	26	w
1844	21	w
1844	19	s
1844	17	w
1845	22	w
1845	18	w
1845	23	s
1845	14	s
1845	22	s
1845	17	s
1846	16	s
1846	17	s
1850	14	w
1852	15	s
1856	22	s
1856	16	s
1856	14	w
1857	9	s
1857	9	s
1857	9	s
1857	8	w
1858	16	w
1858	12	w
1858	10	w
1859	9	w
1859	11	w
1864	9	s
1865	5	s
1869	4	w
1871	4	s
1871	11	s
1876	1	s
1879	5	s
1880	2	w
1881	2	w
1881	3	s
1881	1	s
1881	3	s
1881	3	w
1884	3	w
1884	1	s
1884	3	s
1885	2	w
1886	10	s
1887	1	s
