year	delta	season
1803	15	w
1806	16	s
1807	39	w
1807	38	w
1808	35	w
1808	16	w
1808	17	s
1808	18	s
1808	33	w
1809	17	w
1809	15	s
1811	17	s
1812	27	w
1813	34	w
1813	15	s
1813	16	s
1813	17	s
1813	26	s
1814	29	w
1814	27	s
1814	20	s
1814	18	s
1820	17	w
1820	17	w
1822	17	w
1822	11	w
1822	35	w
1828	10	w
1834	12	w
1834	11	w
1834	11	w
1835	9	s
1836	11	w
1836	9	s
1838	12	w
1839	8	s
1841	8	s
1842	8	s
1842	7	s
1842	12	s
1844	7	s
1844	12	w
1846	9	s
1846	13	s
1846	10	s
1847	11	w
1848	5	w
1848	6	w
1848	5	w
1848	7	w
1848	7	w
1848	9	w
1848	5	w
1848	6	w
1848	5	w
1848	6	s
1848	6	s
1848	6	s
1848	5	s
1848	7	s
1848	6	s
1848	7	s
1848	5	s
1848	7	s
1848	5	s
1848	5	s
1848	5	s
1848	7	s
1848	6	s
1848	6	s
1848	5	s
1848	6	s
1848	6	s
1848	5	s
1848	8	s
1848	9	s
1848	5	s
1848	6	s
1848	5	s
1848	7	s
1848	6	s
1848	6	s
1848	5	s
1848	6	s
1848	8	s
1848	5	s
1848	6	s
1848	7	s
1848	6	s
1848	6	s
1848	7	s
1848	7	s
1848	6	s
1848	5	s
1848	6	s
1848	6	s
1848	7	s
1848	6	s
1848	5	s
1848	5	s
1848	7	s
1848	6	s
1848	7	w
1848	6	w
1848	6	w
1849	5	w
1849	7	w
1849	7	w
1849	6	w
1849	6	w
1849	5	w
1849	6	w
1849	5	w
1849	6	s
1849	5	s
1849	5	s
1849	7	s
1849	6	s
1849	5	s
1849	5	s
1849	5	s
1849	6	s
1849	5	s
1849	6	s
1849	5	s
1849	5	s
1849	5	s
1849	5	s
1849	5	s
1849	5	s
1849	5	s
1849	6	s
1849	5	s
1849	7	s
1849	6	s
1849	6	s
1849	6	s
1849	5	s
1849	5	s
1849	7	w
1849	6	w
1849	5	w
1849	6	w
1849	6	w
1849	7	w
1849	5	w
1850	7	w
1850	9	w
1850	6	w
1850	7	s
1850	8	s
1850	8	s
1850	7	s
1850	8	s
1850	7	s
1850	6	s
1850	6	s
1850	5	s
1850	7	s
1850	5	s
1850	36	s
1850	5	s
1850	6	s
1850	5	s
1850	5	s
1850	5	s
1850	6	s
1850	5	s
1850	7	s
1850	5	s
1850	5	s
1850	6	s
1850	6	s
1850	8	s
1850	6	s
1850	5	s
1850	5	s
1850	9	s
1850	8	s
1850	5	s
1850	6	s
1850	5	s
1850	6	s
1850	6	s
1850	6	s
1850	6	s
1850	5	s
1850	5	s
1850	6	s
1850	5	s
1850	6	s
1850	7	s
1850	6	s
1850	5	s
1850	6	s
1850	6	s
1850	5	s
1850	5	s
1850	5	s
1850	5	s
1850	8	s
1850	6	s
1850	5	s
1850	5	s
1850	5	s
1850	6	s
1850	5	s
1850	5	s
1850	5	s
1850	6	s
1850	5	w
1850	6	w
1850	9	w
1850	6	w
1850	7	w
1850	7	w
1850	6	w
1851	5	w
1851	7	w
1851	7	w
1851	5	w
1851	5	w
1851	5	w
1851	6	w
1851	6	w
1851	6	w
1851	6	w
1851	5	w
1851	6	w
1851	6	w
1851	8	w
1851	7	w
1851	6	w
1851	8	s
1851	7	s
1851	7	s
1851	6	s
1851	7	s
1851	7	s
1851	5	w
1852	8	w
1852	7	w
1852	6	s
1852	6	s
1852	8	s
1852	5	s
1852	6	s
1852	8	w
1852	6	w
1852	8	w
1853	6	w
1853	5	w
1853	6	w
1853	6	s
1853	6	s
1853	7	s
1853	4	s
1853	5	s
1854	10	w
1854	5	w
1854	12	w
1854	4	s
1854	5	w
1854	5	w
1854	4	w
1854	6	w
1855	5	w
1855	6	w
1855	6	w
1855	8	w
1855	9	s
1855	5	s
1855	8	s
1855	6	s
1856	11	w
1856	11	w
1856	10	s
1856	5	s
1856	6	s
1856	6	w
1856	4	w
1856	11	w
1857	8	s
1857	5	s
1857	6	s
1857	9	s
1858	6	s
1858	13	s
1858	14	s
1858	7	s
1858	7	s
1858	6	s
1858	8	s
1858	7	s
1858	10	s
1858	6	s
1858	11	s
1858	8	s
1858	7	w
1858	7	w
1858	6	w
1858	7	w
1858	8	w
1858	6	w
1859	8	w
1859	6	w
1859	6	w
1859	6	w
1859	11	w
1859	7	w
1859	7	s
1859	5	s
1859	6	s
1860	7	s
1860	6	w
1861	5	s
1863	6	w
1863	4	w
1863	3	w
1863	4	w
1863	3	w
1863	4	w
1863	3	w
1863	3	w
1863	4	w
1863	4	w
1863	3	w
1863	4	w
1863	3	w
1863	3	w
1863	4	w
1863	3	w
1864	3	w
1864	5	w
1864	4	w
1864	4	w
1864	8	w
1864	7	w
1864	7	w
1864	4	w
1864	3	w
1864	3	w
1864	4	w
1864	3	w
1864	4	w
1864	3	w
1864	3	w
1864	3	w
1864	4	w
1864	3	w
1864	5	w
1864	3	w
1864	4	w
1864	3	w
1864	3	w
1864	4	w
1864	4	s
1864	4	s
1864	4	s
1864	3	s
1864	3	s
1864	8	s
1864	3	s
1864	4	s
1864	2	s
1864	6	s
1864	2	s
1864	2	s
1864	3	s
1864	2	s
1864	2	s
1864	2	s
1864	2	s
1864	2	s
1864	3	s
1864	3	s
1864	2	s
1864	3	s
1864	3	s
1864	2	s
1864	2	s
1864	3	s
1864	3	s
1864	2	s
1864	3	s
1864	8	s
1864	3	s
1864	2	s
1864	2	w
1864	2	w
1864	6	w
1864	2	w
1864	3	w
1864	3	w
1864	3	w
1864	3	w
1864	2	w
1864	2	w
1864	3	w
1864	3	w
1864	5	w
1864	3	w
1864	3	w
1864	2	w
1865	3	w
1865	3	w
1865	2	w
1865	2	w
1865	2	w
1865	2	w
1865	3	w
1865	2	s
1865	2	s
1865	9	s
1865	4	s
1865	5	s
1865	2	s
1865	3	s
1865	2	s
1865	5	s
1865	2	s
1865	2	s
1865	2	s
1865	2	w
1865	2	w
1865	2	w
1866	4	w
1866	4	w
1866	3	w
1866	9	w
1866	3	w
1866	4	w
1866	3	w
1866	4	s
1866	3	s
1866	3	s
1866	3	s
1866	3	s
1866	3	s
1866	3	w
1869	5	s
1869	4	s
1870	4	s
1870	3	s
1870	1	w
1872	5	s
1877	8	w
1881	2	w
1884	2	s
1884	4	s
1886	2	w
1887	1	w
1887	2	s
