year	delta	season
1802	22	w
1802	18	w
1802	18	w
1802	21	w
1802	18	s
1802	18	s
1803	22	w
1803	21	w
1803	18	s
1803	18	s
1803	21	s
1803	18	s
1803	18	s
1803	21	s
1803	48	s
1804	21	w
1804	21	w
1804	21	w
1804	22	w
1804	21	w
1804	22	w
1804	21	w
1804	21	w
1804	21	w
1804	22	w
1804	21	w
1804	21	w
1804	21	w
1804	22	w
1804	18	s
1804	18	s
1804	21	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	17	s
1804	18	s
1804	18	s
1804	18	s
1804	22	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	w
1804	18	w
1804	22	w
1804	21	w
1804	21	w
1804	21	w
1805	21	w
1805	21	w
1805	21	w
1805	22	w
1805	21	w
1805	22	w
1805	22	w
1805	22	w
1805	21	w
1805	18	w
1805	18	s
1805	18	s
1805	18	s
1805	21	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	21	w
1805	18	w
1805	28	w
1806	25	w
1806	36	w
1806	25	w
1806	18	w
1806	25	w
1806	48	w
1806	21	s
1806	21	s
1806	21	s
1806	18	s
1806	18	s
1806	21	s
1806	18	s
1806	18	s
1806	18	s
1806	20	s
1806	18	s
1806	18	s
1806	21	s
1807	29	w
1807	57	w
1807	48	s
1807	42	s
1807	36	w
1807	30	w
1808	29	w
1808	32	w
1808	21	w
1808	35	w
1808	36	w
1808	25	w
1808	38	s
1808	21	s
1808	21	s
1808	36	w
1808	25	w
1809	25	w
1809	18	s
1809	18	s
1809	18	s
1809	27	s
1809	21	s
1809	18	s
1809	18	s
1809	18	s
1809	22	s
1809	22	w
1809	21	w
1809	21	w
1810	21	w
1810	21	w
1810	21	w
1810	21	w
1810	22	w
1810	21	w
1810	22	w
1810	21	w
1810	22	w
1810	21	w
1810	22	w
1810	21	w
1810	18	s
1810	18	s
1810	18	s
1810	21	s
1810	18	s
1810	18	s
1810	18	s
1810	20	s
1810	18	s
1810	18	s
1810	18	s
1810	27	s
1810	21	s
1810	18	s
1810	18	s
1810	21	s
1810	18	s
1810	18	w
1810	18	w
1810	21	w
1810	23	w
1811	21	w
1811	21	w
1811	18	w
1811	26	w
1811	18	w
1811	18	w
1811	18	w
1811	18	w
1811	18	w
1811	18	s
1811	34	s
1811	21	s
1811	18	s
1811	18	w
1811	18	w
1811	28	w
1812	22	w
1812	18	w
1812	21	w
1812	29	w
1812	21	s
1813	21	w
1813	32	w
1813	28	w
1814	30	w
1814	27	w
1814	26	s
1814	22	s
1814	18	w
1814	21	w
1815	230	s
1815	18	w
1815	15	s
1815	20	s
1815	18	s
1815	18	s
1815	22	s
1815	18	s
1815	19	w
1816	18	w
1816	18	s
1816	23	s
1816	18	s
1816	21	s
1816	18	w
1817	18	w
1817	18	w
1817	18	s
1817	18	w
1817	18	w
1818	22	w
1818	18	w
1818	18	s
1820	20	w
1820	22	w
1820	18	s
1821	19	w
1822	18	w
1824	17	w
1824	13	s
1825	19	w
1827	17	w
1827	13	w
1827	17	s
1828	24	w
1829	17	s
1830	10	s
1830	12	s
1830	13	w
1830	17	w
1830	12	w
1830	13	w
1830	13	w
1831	13	w
1831	46	w
1831	14	s
1831	14	s
1831	11	s
1831	13	s
1831	13	s
1831	22	s
1831	13	s
1831	14	w
1831	12	w
1832	14	s
1832	13	s
1832	13	w
1832	13	w
1832	15	w
1833	14	s
1834	12	s
1834	11	s
1835	13	s
1835	18	s
1836	11	s
1836	11	s
1836	12	w
1837	13	s
1838	11	w
1838	11	w
1838	11	s
1838	12	s
1838	13	s
1838	13	s
1838	11	s
1838	42	s
1838	45	s
1838	42	s
1838	12	s
1838	12	s
1838	13	s
1838	12	s
1838	11	s
1838	10	s
1838	12	s
1838	12	w
1838	10	w
1838	12	w
1838	14	w
1838	11	w
1838	12	w
1838	14	w
1839	12	w
1839	12	w
1839	11	w
1839	11	w
1839	12	w
1839	11	w
1839	11	w
1839	11	w
1839	14	w
1839	12	w
1839	14	w
1839	11	w
1839	12	s
1839	10	s
1839	10	s
1839	10	s
1839	11	s
1839	8	s
1839	8	w
1839	10	w
1840	11	w
1840	8	w
1840	9	s
1840	10	s
1840	9	s
1840	9	s
1840	11	w
1840	10	w
1840	11	w
1840	9	w
1840	10	w
1841	12	w
1841	9	s
1841	8	s
1841	10	s
1841	9	s
1841	10	s
1841	11	s
1841	8	s
1841	10	w
1842	44	w
1842	9	w
1842	8	s
1842	9	s
1842	13	s
1843	11	w
1845	10	w
1845	8	s
1845	11	s
1845	10	s
1846	9	s
1846	7	s
1846	13	w
1847	9	s
1847	10	s
1847	12	s
1847	11	s
1848	7	w
1848	11	w
1849	8	s
1852	9	w
1852	16	w
1853	9	w
1853	7	s
1853	11	s
1853	8	s
1853	4	s
1853	6	s
1853	9	w
1854	5	w
1854	7	w
1854	6	s
1854	5	s
1854	9	s
1854	6	s
1854	6	s
1854	5	s
1854	7	w
1854	9	w
1855	6	s
1856	6	w
1856	10	w
1856	32	w
1856	6	w
1856	6	s
1856	5	s
1856	8	s
1856	6	s
1856	8	s
1856	7	s
1856	6	s
1856	10	s
1856	9	s
1856	6	s
1856	5	w
1857	6	w
1857	5	w
1857	11	s
1857	7	s
1857	12	s
1857	6	s
1857	6	s
1857	16	s
1857	11	s
1857	9	s
1857	6	s
1857	6	s
1857	5	s
1857	6	s
1857	11	w
1857	11	w
1857	5	w
1857	4	w
1858	12	w
1858	5	w
1858	7	w
1858	11	w
1858	6	w
1858	6	s
1858	5	s
1858	7	s
1858	5	s
1858	7	s
1858	6	s
1858	7	s
1858	5	w
1858	5	w
1858	6	w
1858	6	w
1858	6	w
1858	6	w
1858	5	w
1858	6	w
1859	5	w
1859	6	w
1859	5	w
1859	8	w
1859	7	s
1859	6	s
1859	7	s
1859	7	s
1859	6	s
1859	7	s
1859	6	s
1859	11	s
1859	7	s
1859	5	s
1859	5	s
1859	7	s
1859	6	s
1859	8	s
1859	6	s
1859	7	s
1859	8	w
1859	7	w
1859	6	w
1859	6	w
1859	6	w
1859	7	w
1859	8	w
1859	6	w
1859	6	w
1859	6	w
1859	7	w
1859	7	w
1859	6	w
1860	6	w
1860	7	w
1860	7	w
1860	9	s
1860	7	s
1861	5	w
1861	4	w
1861	4	w
1861	7	s
1861	7	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	4	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	4	w
1864	3	w
1864	4	w
1864	3	w
1864	3	w
1864	7	s
1865	14	w
1865	3	s
1866	8	w
1866	8	s
1866	7	s
1866	9	s
1866	7	s
1866	8	s
1866	9	s
1866	7	s
1866	8	s
1866	8	s
1866	9	s
1866	10	s
1866	10	s
1866	9	s
1866	7	s
1866	9	s
1866	8	s
1866	7	s
1866	7	s
1866	8	s
1866	9	s
1866	8	s
1866	9	s
1866	8	w
1866	9	w
1866	2	w
1866	9	w
1866	3	w
1866	1	w
1866	3	w
1866	9	w
1866	9	w
1866	8	w
1866	7	w
1867	1	w
1867	1	w
1867	1	w
1867	1	w
1867	1	w
1867	1	w
1867	2	w
1867	1	w
1867	1	w
1867	1	w
1867	1	w
1867	1	w
1867	1	w
1867	1	w
1867	1	w
1867	1	w
1867	7	w
1867	1	s
1867	1	s
1867	1	s
1867	1	s
1867	8	s
1867	7	s
1867	8	s
1867	8	s
1867	8	s
1867	7	s
1867	7	s
1867	1	s
1867	7	s
1867	9	s
1867	7	s
1867	8	s
1867	7	s
1867	10	s
1867	8	s
1867	9	w
1867	8	w
1867	7	w
1867	7	w
1867	3	w
1867	7	w
1867	8	w
1867	11	w
1867	6	w
1868	3	s
1868	2	s
1868	3	s
1868	3	s
1868	2	s
1868	7	s
1868	7	s
1868	8	s
1868	11	s
1868	8	s
1868	9	s
1868	7	s
1868	9	s
1868	7	s
1868	6	s
1868	14	s
1868	8	w
1868	10	w
1868	7	w
1868	10	w
1868	7	w
1868	10	w
1869	1	s
1869	8	s
1869	8	s
1869	2	s
1869	7	s
1869	10	s
1869	8	s
1869	9	s
1869	9	s
1869	8	w
1869	10	w
1870	1	w
1870	3	w
1870	3	s
1870	1	s
1870	1	s
1870	1	s
1870	1	s
1870	1	s
1870	1	s
1870	1	s
1870	1	s
1870	3	s
1870	3	w
1872	2	w
1872	2	s
1872	2	s
1872	2	s
1872	1	w
