year	delta	season
1807	37	w
1810	22	w
1810	39	w
1811	45	s
1816	35	s
1817	39	s
1820	41	s
1821	39	s
1821	35	s
1822	38	w
1822	34	s
1822	31	s
1823	36	w
1823	30	w
1823	33	s
1824	30	w
1827	33	w
1828	20	s
1828	30	s
1828	28	s
1828	32	s
1828	26	s
1828	29	s
1828	25	w
1828	29	w
1828	33	w
1828	26	w
1829	28	w
1829	30	w
1829	34	w
1829	26	w
1829	25	w
1829	26	w
1829	26	w
1829	25	w
1829	27	w
1829	27	s
1829	24	s
1829	28	s
1829	30	s
1829	33	s
1829	29	w
1829	32	w
1829	26	w
1829	26	w
1830	27	w
1830	26	w
1830	24	w
1830	28	w
1830	24	w
1830	29	s
1830	23	s
1830	24	s
1830	25	s
1830	30	s
1830	25	s
1830	25	s
1830	30	s
1830	22	s
1830	24	s
1832	22	w
1832	24	w
1832	20	w
1832	20	s
1832	19	s
1832	20	s
1832	23	s
1832	20	s
1832	23	s
1832	24	s
1832	22	w
1832	22	w
1833	23	s
1833	26	w
1834	36	w
1834	19	w
1834	20	s
1834	19	s
1836	19	w
1837	20	s
1838	18	w
1841	18	s
1841	19	w
1842	19	s
1843	21	s
1844	18	s
1844	15	s
1845	20	s
1846	16	w
1847	17	s
1849	23	w
1850	25	w
1850	20	w
1851	18	s
1853	9	s
1857	17	s
1857	15	s
1857	12	s
1858	19	s
1858	12	w
1859	11	s
1860	13	s
1860	4	s
1865	4	s
