year	delta	season
1804	23	w
1804	20	s
1807	42	s
1807	38	s
1808	41	w
1809	22	s
1809	21	s
1809	23	s
1809	27	s
1809	26	s
1809	28	s
1809	23	w
1810	19	w
1810	25	w
1810	19	s
1810	23	s
1810	22	s
1810	22	s
1811	26	s
1811	26	s
1811	23	s
1811	23	s
1811	26	s
1814	23	s
1814	22	s
1815	19	s
1818	23	w
1818	25	s
1830	15	s
1830	13	s
1830	15	s
1830	13	s
1830	15	s
1830	14	s
1830	16	s
1830	13	w
1830	13	w
1830	14	w
1830	14	w
1830	15	w
1830	15	w
1830	15	w
1830	15	w
1830	16	w
1831	15	w
1831	15	w
1831	14	w
1831	15	w
1831	13	w
1831	16	w
1831	14	s
1831	14	s
1831	17	s
1831	17	s
1831	14	s
1831	14	s
1831	17	s
1831	14	s
1831	14	s
1831	14	s
1831	20	s
1831	14	s
1831	16	s
1831	14	s
1831	14	s
1831	16	s
1831	15	w
1831	14	w
1831	14	w
1831	13	w
1831	15	w
1831	16	w
1832	14	w
1832	14	w
1832	16	w
1832	15	w
1832	14	s
1832	14	w
1832	16	w
1832	14	w
1832	14	w
1832	14	w
1832	15	w
1832	14	w
1832	14	w
1832	12	w
1832	19	w
1832	14	w
1832	15	w
1832	15	w
1832	15	w
1832	15	w
1832	13	w
1832	15	w
1832	14	w
1833	14	w
1833	15	w
1833	13	w
1833	15	w
1833	16	w
1833	15	w
1833	13	s
1833	12	s
1834	12	w
1834	13	w
1834	13	w
1834	12	s
1834	13	s
1834	12	w
1834	12	w
1834	14	w
1835	60	w
1836	14	w
1836	13	s
1836	13	w
1836	12	w
1838	14	s
1838	11	s
1839	14	s
1840	12	w
1842	11	s
1842	11	w
1843	10	w
1843	11	s
1846	11	s
1847	11	w
1852	6	s
1852	8	s
1854	5	s
1854	10	s
1857	7	s
1857	12	w
1858	4	w
1858	5	s
1859	9	w
1861	7	s
1861	8	s
1864	4	w
1866	6	w
1866	6	w
1866	6	s
1866	8	s
1866	8	s
1866	7	s
1866	10	s
1866	8	s
1866	8	s
1866	7	s
1866	8	s
1866	14	s
1866	7	s
1866	7	s
1866	3	s
1866	8	s
1866	8	s
1866	8	s
1866	8	s
1866	7	s
1866	8	s
1866	7	s
1866	8	s
1866	9	s
1866	8	s
1866	9	s
1866	8	s
1866	8	s
1866	8	s
1866	8	w
1866	8	w
1866	7	w
1866	9	w
1866	7	w
1866	7	w
1866	8	w
1866	7	w
1866	8	w
1867	7	w
1867	8	w
1867	6	w
1867	7	w
1867	6	w
1867	8	w
1867	8	w
1867	9	s
1867	8	s
1867	8	s
1867	8	s
1867	8	s
1867	7	s
1867	10	s
1867	8	s
1867	8	s
1867	7	s
1867	7	s
1867	7	s
1867	8	s
1867	8	s
1867	7	s
1867	8	s
1867	8	w
1867	9	w
1867	6	w
1867	7	w
1867	7	w
1867	7	w
1867	8	w
1867	8	w
1867	7	w
1868	10	w
1868	8	s
1868	9	s
1868	9	s
1868	7	s
1868	8	s
1868	4	s
1868	3	s
1868	5	s
1868	10	s
1868	8	s
1868	8	s
1868	7	s
1868	7	s
1868	7	s
1868	7	w
1868	8	w
1868	7	w
1868	8	w
1868	8	w
1868	8	w
1868	11	w
1869	10	s
1869	11	s
1869	8	s
1869	7	s
1869	8	s
1869	7	s
1869	8	w
1869	8	w
1870	2	s
1870	2	s
1870	3	w
1872	4	w
1872	1	w
1872	5	w
1872	1	w
1872	1	w
1872	3	s
1872	2	s
1873	1	w
1873	6	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	7	s
1873	1	s
1873	4	s
1873	4	s
1873	1	s
1873	2	s
1873	4	s
1873	1	s
1873	2	s
1873	3	s
1873	2	s
1873	2	s
1873	1	s
1873	2	s
1873	1	s
1873	4	s
1873	4	s
1873	9	s
1873	3	s
1873	4	s
1873	6	s
1873	1	s
1873	1	w
1873	2	w
1873	7	w
1873	1	w
1873	4	w
1873	1	w
1873	1	w
1873	1	w
1873	4	w
1873	1	w
1873	7	w
1873	7	w
1873	4	w
1874	1	w
1874	7	w
1874	4	w
1874	1	w
1874	4	w
1874	4	w
1874	2	w
1874	1	w
1874	1	w
1874	3	w
1874	4	w
1874	1	w
1874	3	w
1874	4	w
1874	1	s
1874	1	s
1874	4	s
1874	1	s
1874	1	s
1874	1	s
1874	2	s
1874	4	s
1874	1	s
1874	1	s
1874	2	s
1874	4	s
1874	4	s
1874	1	s
1874	1	s
1874	4	s
1874	6	s
1874	5	s
1874	1	w
1874	4	w
1874	4	w
1874	10	w
1874	1	w
1874	3	w
1874	4	w
1874	7	w
1874	4	w
1874	1	w
1874	2	w
1874	1	w
1874	2	w
1875	1	w
1875	1	w
1875	4	w
1875	6	w
1875	1	w
1875	2	w
1875	3	w
1875	2	w
1875	1	w
1875	3	w
1875	1	w
1875	2	w
1875	3	w
1875	1	s
1875	2	s
1875	3	s
1875	1	s
1875	2	s
1875	4	s
1875	1	s
1875	4	s
1875	5	s
1875	2	s
1875	1	s
1875	1	s
1875	1	s
1875	1	s
1875	4	s
1875	4	s
1875	5	s
1875	1	s
1875	7	s
1875	4	s
1875	2	s
1875	1	s
1875	1	s
1875	2	s
1875	4	s
1875	4	s
1875	4	w
1875	1	w
1875	4	w
1875	4	w
1875	1	w
1876	4	w
1876	4	s
1876	2	s
1876	2	w
1876	2	w
1876	3	w
1876	4	w
1877	2	w
1877	2	w
1878	1	w
1883	13	w
1884	5	s
1884	5	s
1884	33	s
1885	1	w
1885	2	s
