year	delta	season
1804	57	w
1805	45	w
1805	32	s
1806	71	s
1808	68	w
1809	128	w
1809	38	w
1810	62	w
1810	32	s
1811	36	s
1811	32	s
1815	38	w
1817	29	s
1831	26	w
1832	22	s
1836	21	s
1836	16	s
1838	16	s
1839	13	w
1840	26	s
1841	20	s
1841	20	w
1842	19	w
1843	20	s
1843	22	s
1844	32	w
1845	14	w
1845	28	w
1846	40	w
1846	29	s
1847	50	w
1847	19	w
1847	20	s
1847	20	s
1847	17	s
1848	7	w
1848	18	s
1849	20	s
1850	16	w
1851	16	s
1851	31	s
1852	25	s
1853	21	s
1854	21	s
1855	18	s
1857	18	s
1859	21	s
1867	9	s
1870	5	s
1870	2	s
1870	1	s
1870	5	s
1870	6	s
1870	6	w
1871	4	s
1871	3	s
1872	4	w
1875	1	s
1875	1	s
1877	2	s
1877	7	s
1879	1	s
1879	1	s
1883	2	w
1883	2	s
1883	2	s
1883	3	w
1884	2	s
1884	2	s
1884	3	s
1884	3	s
1884	1	s
1884	2	w
1887	37	s
1888	2	w
