year	delta	season
1824	95	s
1826	86	w
1831	55	w
1835	54	w
1835	32	s
1835	48	s
1835	74	s
1835	53	s
1835	15	s
1835	48	s
1835	55	s
1835	39	s
1835	58	s
1835	37	s
1835	44	s
1835	45	w
1836	44	w
1836	42	w
1836	36	w
1836	41	w
1836	56	w
1836	19	w
1836	8	w
1836	26	w
1836	28	w
1836	35	w
1836	25	s
1836	54	s
1836	42	s
1836	44	s
1836	44	w
1837	23	w
1837	27	w
1837	40	w
1837	37	w
1837	10	s
1837	27	s
1837	54	s
1837	39	s
1837	26	s
1837	34	s
1837	35	s
1837	25	s
1837	27	s
1837	29	w
1837	30	w
1837	30	w
1837	31	w
1838	34	w
1838	31	w
1838	27	w
1838	27	w
1838	25	s
1838	24	s
1838	33	s
1838	40	s
1838	24	s
1838	24	s
1838	24	s
1838	23	s
1838	32	s
1838	26	s
1838	23	w
1838	25	w
1838	35	w
1838	24	w
1838	31	w
1839	27	w
1839	22	w
1839	25	s
1839	26	s
1839	44	s
1839	39	s
1839	30	s
1839	21	s
1839	26	s
1839	24	s
1839	27	s
1839	21	s
1839	39	s
1840	22	w
1840	27	w
1840	22	w
1840	26	w
1840	26	w
1840	25	w
1840	34	w
1840	44	w
1840	20	s
1840	25	s
1840	21	s
1840	24	s
1840	22	s
1840	23	s
1840	25	s
1840	20	w
1840	22	w
1840	33	w
1841	23	w
1841	27	w
1841	10	w
1841	27	w
1841	40	w
1841	29	w
1841	24	w
1841	36	w
1841	23	s
1841	52	s
1841	55	s
1841	23	s
1841	23	s
1841	24	s
1841	28	s
1841	31	s
1841	23	s
1841	26	s
1841	22	s
1841	24	s
1841	28	s
1841	23	s
1841	21	s
1841	23	w
1841	24	w
1841	29	w
1842	38	w
1842	25	w
1842	24	w
1842	23	s
1842	22	s
1842	25	s
1842	21	s
1842	29	s
1842	22	s
1842	22	w
1842	24	w
1843	23	w
1843	23	w
1843	24	w
1843	27	s
1843	24	s
1843	21	s
1843	22	s
1843	23	s
1843	20	s
1843	26	s
1843	20	s
1843	21	w
1843	24	w
1843	23	w
1843	25	w
1843	20	w
1843	38	w
1843	27	w
1843	26	w
1843	27	w
1843	20	w
1843	23	w
1843	26	w
1843	24	w
1843	25	w
1843	20	w
1843	22	w
1843	22	w
1844	30	w
1844	26	w
1844	28	w
1844	22	w
1844	28	w
1844	25	w
1844	23	w
1844	32	w
1844	28	w
1844	19	w
1844	26	w
1844	19	s
1844	21	s
1844	26	s
1844	21	s
1844	25	s
1844	27	s
1844	21	s
1844	25	s
1844	18	s
1844	23	s
1844	22	s
1844	25	s
1844	23	s
1844	21	s
1844	28	s
1844	19	s
1844	29	s
1844	18	s
1844	21	s
1844	21	s
1844	21	s
1844	29	s
1844	28	w
1844	31	w
1844	20	w
1844	26	w
1844	22	w
1844	15	w
1844	28	w
1845	20	w
1845	27	w
1845	26	w
1845	22	w
1845	31	w
1845	22	w
1845	43	w
1845	21	w
1845	22	w
1845	20	w
1845	25	w
1845	29	w
1845	20	w
1845	21	s
1845	18	s
1845	22	s
1845	23	s
1845	25	s
1845	18	s
1845	21	s
1845	18	s
1845	34	s
1845	29	w
1845	22	w
1845	25	w
1845	32	w
1845	34	w
1846	22	w
1846	21	w
1846	18	w
1846	25	w
1846	30	w
1846	27	s
1846	22	s
1846	23	s
1846	27	s
1846	25	s
1846	24	s
1846	22	s
1846	15	w
1846	22	w
1846	31	w
1846	22	w
1847	22	w
1847	25	w
1847	22	w
1847	20	w
1847	22	w
1847	22	w
1847	23	w
1847	21	w
1847	27	w
1847	20	s
1847	22	s
1847	19	s
1847	20	s
1847	22	s
1847	20	s
1847	21	s
1847	23	s
1847	26	s
1847	20	s
1847	22	s
1847	18	s
1847	26	s
1847	19	s
1847	21	s
1847	25	s
1847	16	w
1847	29	w
1847	20	w
1847	20	w
1848	22	w
1848	25	w
1848	22	w
1848	24	w
1848	24	w
1848	22	w
1848	31	w
