year	delta
1802	23
1802	24
1804	24
1804	22
1804	23
1804	22
1805	22
1805	22
1805	24
1805	22
1805	25
1805	26
1805	25
1805	27
1805	28
1806	27
1806	37
1806	23
1806	29
1806	26
1806	26
1806	35
1806	36
1806	30
1806	27
1806	33
1806	27
1806	25
1806	26
1806	22
1806	26
1806	23
1806	26
1806	26
1806	22
1806	26
1807	63
1807	69
1807	69
1807	33
1808	27
1808	26
1808	26
1808	28
1808	26
1808	22
1809	27
1809	29
1809	32
1809	27
1809	23
1809	24
1809	22
1809	23
1809	23
1809	24
1809	23
1809	23
1809	23
1809	22
1809	23
1809	23
1809	20
1809	22
1809	25
1809	23
1809	23
1809	24
1809	22
1809	28
1809	26
1809	24
1809	23
1809	24
1809	23
1809	23
1809	25
1809	23
1809	23
1809	25
1809	23
1809	23
1809	23
1809	23
1809	23
1809	24
1809	23
1809	22
1809	25
1810	26
1810	27
1810	23
1810	23
1810	26
1810	23
1810	23
1810	24
1810	23
1810	26
1810	23
1810	23
1810	24
1810	23
1810	22
1810	25
1811	24
1811	24
1811	24
1811	24
1811	23
1811	23
1811	23
1811	22
1811	22
1811	26
1811	23
1811	25
1811	22
1822	25
1822	19
1828	17
1828	14
1828	16
1829	14
1829	16
1834	17
1835	11
1835	14
1835	16
1836	13
1836	15
1837	9
1838	14
1838	12
1838	10
1838	11
1839	14
1840	9
1840	12
1841	12
1841	9
1842	10
1845	9
1845	23
1846	15
1848	11
1848	9
1849	6
1849	9
1849	6
1850	7
1850	8
1850	6
1850	8
1851	10
1852	8
1852	8
1852	8
1852	7
1852	7
1852	10
1852	11
1854	7
1854	5
1854	5
1854	8
1854	9
1855	8
1855	6
1855	6
1856	7
1856	6
1856	6
1856	9
1856	7
1857	6
1857	6
1857	6
1857	6
1857	9
1857	9
1858	12
1858	5
1858	6
1858	6
1859	11
1859	7
1859	7
1859	4
1859	9
1860	7
1860	8
1863	3
1863	6
1863	3
1863	3
1863	3
1863	4
1863	4
1864	3
1864	3
1864	9
1865	3
1865	10
1865	3
1866	7
1866	5
1867	1
1867	2
1867	2
1867	3
1867	2
1868	3
1868	6
1869	9
1869	2
1870	3
1870	2
1870	6
1870	2
1870	3
1871	3
1872	3
1874	2
1874	2
1874	2
1874	2
1874	2
1876	2
1876	2
1877	3
1877	3
1877	3
1878	8
1878	2
1878	1
1878	3
1879	2
1879	3
1880	1
1881	2
1881	2
1888	2
