year	delta	season
1836	13	w
1836	17	w
1837	17	w
1837	14	s
1845	10	s
1849	9	s
1849	9	s
1849	8	s
1849	12	s
1851	8	s
1851	6	s
1851	5	s
1852	9	s
1852	8	s
1853	7	w
1856	10	s
1856	5	s
1856	6	s
1856	5	s
1856	5	s
1856	5	s
1856	5	s
1856	6	s
1856	5	s
1856	4	s
1856	4	s
1857	4	s
1857	5	s
1857	4	s
1857	4	s
1857	5	s
1857	5	s
1857	5	s
1858	7	s
1858	7	s
1860	4	s
1860	3	s
1860	4	s
1860	5	s
1860	4	s
1860	5	s
1860	4	s
1860	5	s
1860	4	s
1860	4	s
1860	24	s
1861	3	s
1861	6	s
1861	7	s
1863	4	s
1864	7	s
1864	3	s
1865	2	s
1868	3	s
1868	1	s
1869	2	s
1874	3	s
1874	4	s
1875	1	s
1875	4	s
1876	242	s
1876	2	s
1876	2	s
1878	2	s
1879	1	w
1880	2	w
1880	4	s
1880	1	s
1880	2	w
1881	3	s
1881	3	s
1881	2	w
1881	2	w
1881	2	w
1881	2	w
1881	2	w
1881	2	w
1881	2	w
1881	2	w
1883	1	w
1883	1	s
1884	2	s
1884	1	s
1884	4	s
1886	6	w
1887	1	s
1887	2	s
1888	1	w
