year	delta	season
1817	22	s
1837	17	w
1837	15	s
1839	17	w
1843	12	s
1844	13	s
1848	7	s
1849	10	s
1849	8	s
1849	9	s
1849	8	s
1849	9	w
1850	9	w
1850	7	s
1850	9	s
1850	10	s
1850	5	s
1850	8	s
1850	8	s
1851	10	w
1851	9	s
1851	9	s
1851	9	s
1852	8	s
1852	8	s
1852	9	s
1852	11	s
1852	10	s
1852	9	s
1853	8	s
1853	8	s
1853	7	s
1853	8	s
1853	12	s
1853	7	w
1853	6	w
1853	8	w
1853	6	w
1853	8	w
1853	12	w
1854	9	w
1854	8	w
1854	7	w
1854	6	w
1854	7	w
1854	6	w
1854	7	w
1854	6	w
1854	6	w
1854	7	w
1854	8	w
1854	8	w
1854	8	w
1854	9	w
1854	9	w
1854	7	w
1854	9	s
1854	10	s
1854	8	s
1854	7	s
1854	18	s
1854	5	s
1854	7	s
1854	10	s
1854	8	s
1854	7	s
1854	7	s
1854	10	s
1854	9	s
1854	8	s
1854	7	s
1854	9	s
1854	6	s
1854	8	s
1854	8	w
1855	6	s
1855	7	s
1856	7	s
1856	6	s
1856	6	s
1856	5	s
1856	13	s
1856	10	s
1856	5	w
1857	10	s
1857	7	s
1857	6	s
1857	6	s
1857	5	s
1857	5	s
1857	5	s
1857	6	s
1857	5	s
1857	6	s
1858	12	w
1858	11	w
1858	11	s
1858	7	s
1858	13	s
1859	13	w
1859	7	w
1859	10	w
1859	8	s
1859	5	s
1859	11	s
1859	5	s
1859	9	w
1859	8	w
1860	36	w
1860	8	s
1860	8	s
1860	8	s
1860	7	s
1860	11	s
1860	7	s
1861	6	w
1861	6	w
1861	7	s
1861	8	s
1861	7	s
1862	7	w
1862	7	s
1862	10	s
1862	11	s
1862	19	s
1862	9	s
1863	13	s
1863	17	s
1866	22	s
1867	17	s
1867	5	w
1868	5	w
1868	9	s
1868	4	s
1868	11	s
1869	6	w
1869	6	w
1869	7	w
1869	5	w
1869	8	s
1869	7	s
1869	7	s
1869	8	s
1870	5	s
1871	6	w
1871	5	s
1873	4	s
1874	5	w
1885	5	w
