year	delta	season
1824	30	w
1825	33	s
1826	27	w
1826	24	w
1827	29	w
1827	27	w
1827	25	s
1827	29	s
1827	26	s
1827	26	s
1827	30	w
1827	27	w
1827	27	w
1827	27	w
1828	34	w
1828	29	w
1828	27	w
1828	27	w
1828	28	w
1828	27	w
1828	32	w
1828	28	w
1828	28	w
1828	24	s
1828	26	w
1829	25	w
1832	23	s
1833	25	w
1834	22	w
1835	20	s
1835	22	s
1835	22	s
1835	20	w
1836	20	w
1836	22	w
1836	22	w
1837	27	w
1837	29	w
1839	22	w
1839	19	s
1840	19	s
1840	20	s
1840	16	s
1840	18	s
1840	18	s
1840	20	s
1841	16	s
1841	19	w
1842	16	s
1842	19	w
1842	13	w
1842	17	w
1842	17	w
1842	19	w
1842	19	w
1842	17	w
1842	16	w
1842	17	w
1842	19	w
1843	17	w
1843	19	w
1843	17	w
1843	21	w
1843	16	s
1843	17	s
1843	16	s
1843	15	s
1843	13	s
1843	16	s
1843	16	s
1843	16	s
1844	19	w
1844	14	s
1844	16	s
1844	13	s
1844	15	w
1846	21	w
1847	16	w
1847	20	w
1847	13	s
1854	8	s
1855	13	s
1855	6	s
1855	11	w
1858	7	w
1860	4	s
1861	7	w
1861	5	w
1863	6	s
1866	3	w
1868	8	s
1869	2	s
1869	3	s
1869	6	w
1870	3	s
1873	4	w
1873	3	w
1873	5	w
1873	3	s
1873	3	w
1873	4	w
1874	7	w
1874	3	w
1874	5	s
1874	4	s
1874	5	s
1874	2	s
1874	3	s
1874	3	s
1874	2	w
1875	4	w
1875	3	w
1875	3	w
1875	3	w
1875	2	s
1875	3	w
1877	3	w
1878	2	s
1878	6	s
1880	3	s
1881	3	s
1883	1	s
1883	1	s
1883	3	w
1883	1	w
1884	1	s
1886	2	s
1888	2	s
