year	delta	season
1802	24	s
1802	25	s
1802	25	s
1802	25	s
1802	27	s
1806	47	w
1806	30	s
1808	39	s
1810	23	s
1810	37	w
1811	32	w
1811	32	s
1811	28	s
1812	30	w
1812	30	w
1812	28	w
1812	29	w
1813	29	w
1814	25	w
1814	24	w
1814	26	w
1814	21	w
1814	30	w
1814	24	w
1814	26	s
1815	29	w
1815	25	w
1815	23	s
1815	28	w
1816	28	w
1822	25	w
1824	22	s
1831	19	w
1831	19	w
1832	16	w
1833	15	w
1833	15	s
1833	16	s
1833	14	s
1833	13	s
1833	13	s
1833	15	s
1833	17	s
1833	15	s
1833	13	w
1833	15	w
1833	15	w
1834	17	w
1834	38	w
1834	14	w
1834	14	w
1834	20	w
1834	15	s
1834	13	s
1834	13	s
1834	13	s
1834	16	s
1834	15	s
1834	14	w
1834	14	w
1835	17	w
1835	14	s
1835	14	s
1835	14	w
1835	15	w
1836	15	w
1836	13	s
1836	14	s
1836	14	w
1837	15	w
1837	18	s
1837	13	s
1838	18	w
1838	14	w
1838	15	w
1838	15	w
1838	14	s
1838	14	s
1838	15	s
1838	14	s
1838	13	s
1838	14	s
1838	13	s
1838	13	s
1838	12	w
1838	13	w
1838	15	w
1838	13	w
1838	15	w
1838	14	w
1839	13	w
1839	15	w
1839	14	w
1839	14	w
1839	14	s
1839	12	s
1839	14	s
1839	11	s
1839	11	s
1839	12	s
1839	10	w
1839	13	w
1841	13	s
1841	12	s
1842	13	w
1842	11	s
1842	19	w
1843	14	s
1843	11	s
1844	11	s
1844	11	s
1844	10	s
1844	14	s
1844	9	s
1844	12	w
1844	10	w
1845	11	w
1845	10	w
1845	12	s
1845	10	s
1845	10	s
1845	11	s
1845	10	s
1845	12	s
1845	10	s
1845	13	s
1845	8	s
1845	11	s
1845	11	s
1845	11	s
1845	18	s
1845	12	w
1845	12	w
1845	12	w
1845	11	w
1845	11	w
1845	15	w
1846	11	w
1846	11	s
1846	6	s
1846	10	s
1846	10	s
1846	10	w
1846	10	w
1846	11	w
1846	13	w
1846	13	w
1846	14	w
1847	10	w
1847	11	w
1847	10	w
1847	10	w
1847	11	w
1847	11	w
1847	9	w
1847	11	s
1847	10	s
1847	10	s
1847	10	s
1847	10	s
1847	10	s
1847	9	s
1847	9	s
1847	12	s
1847	13	s
1847	9	s
1847	9	s
1847	11	s
1847	10	w
1847	12	w
1847	13	w
1847	9	w
1847	7	w
1847	9	w
1847	10	w
1847	8	w
1847	1	w
1847	8	w
1847	9	w
1847	11	w
1847	11	w
1847	12	w
1847	10	w
1848	9	w
1848	12	w
1848	12	w
1848	16	w
1848	10	w
1848	8	s
1848	10	s
1848	8	s
1848	11	s
1848	9	s
1848	8	s
1848	10	s
1848	10	s
1848	10	s
1848	10	s
1848	8	s
1848	9	s
1848	10	s
1848	9	s
1848	8	s
1848	8	s
1848	8	s
1848	9	s
1848	11	s
1848	9	s
1848	9	s
1848	9	s
1848	8	w
1848	9	w
1848	10	w
1848	9	w
1849	11	s
1849	9	s
1849	8	s
1849	8	s
1849	8	s
1849	9	s
1849	13	s
1849	9	s
1849	10	s
1849	9	s
1849	9	s
1850	10	w
1850	9	w
1850	10	w
1850	10	w
1850	10	w
1850	16	s
1850	11	w
1851	6	w
1851	9	w
1851	9	w
1851	8	s
1851	11	w
1851	9	w
1852	10	w
1852	9	s
1852	11	s
1852	10	s
1852	9	s
1852	9	s
1852	8	w
1852	15	w
1853	9	w
1853	10	w
1853	8	s
1853	10	s
1854	8	w
1856	10	w
1857	7	s
1857	8	s
1857	6	s
1857	7	w
1858	7	s
1858	8	s
1860	6	s
1860	12	s
1865	2	s
1868	8	w
1871	2	s
1871	2	s
1872	2	s
1872	6	s
1872	2	w
1873	3	w
1873	4	w
1873	3	w
1873	6	s
1873	3	s
1873	3	s
1873	3	s
1873	3	s
1873	3	s
1873	3	s
1874	3	w
1875	4	s
1875	3	s
1875	3	s
1875	3	w
1875	1	w
1876	3	s
1876	4	s
1876	3	w
1877	2	w
1881	1	s
1884	5	s
1885	2	w
1885	2	s
1885	2	s
1885	3	w
