year	delta	season
1805	33	w
1807	35	w
1808	28	s
1808	27	s
1808	29	s
1808	28	s
1808	31	s
1808	29	s
1808	31	s
1808	26	s
1808	35	s
1808	28	s
1808	31	s
1808	29	s
1808	26	s
1808	27	s
1808	28	s
1808	26	s
1808	39	s
1808	34	s
1808	28	s
1808	29	s
1808	29	s
1808	28	s
1808	22	w
1808	32	w
1808	29	w
1808	28	w
1808	31	w
1808	31	w
1808	42	w
1808	31	w
1808	31	w
1808	28	w
1808	30	w
1809	33	w
1809	33	w
1809	31	w
1809	29	w
1809	33	w
1809	38	w
1809	30	w
1809	29	w
1809	29	w
1809	32	w
1809	29	w
1809	28	s
1809	28	s
1809	27	s
1809	41	s
1809	30	s
1809	32	s
1809	28	s
1809	30	w
1810	33	w
1810	41	w
1810	31	w
1810	33	w
1810	28	w
1810	28	s
1810	33	s
1810	29	s
1810	31	s
1810	31	s
1810	31	s
1810	34	w
1810	30	w
1814	32	s
1814	31	s
1820	28	w
1820	26	w
1820	31	s
1820	27	w
1821	28	w
1822	26	s
1822	26	w
1822	26	w
1823	30	w
1823	27	w
1823	28	w
1823	29	w
1823	28	w
1823	27	w
1823	30	w
1823	24	w
1823	24	w
1823	24	w
1823	24	s
1823	26	s
1823	24	s
1823	24	s
1823	26	s
1823	27	s
1823	29	s
1823	26	s
1823	25	s
1823	24	s
1823	26	s
1823	29	s
1823	24	s
1824	29	w
1824	28	w
1824	24	s
1824	24	s
1824	24	s
1824	26	w
1825	28	w
1826	26	w
1828	21	s
1828	21	s
1829	21	s
1830	19	w
1830	25	s
1831	26	s
1831	20	s
1831	19	w
1831	22	w
1832	19	w
1833	26	w
1833	19	w
1833	20	w
1834	18	w
1834	14	s
1834	14	s
1834	18	w
1836	19	s
1836	16	w
1838	15	s
1838	18	w
1839	18	w
1839	15	w
1839	14	s
1839	14	s
1840	15	w
1840	15	s
1840	13	s
1840	14	s
1840	14	s
1841	12	s
1841	12	s
1841	11	s
1841	13	w
1841	14	w
1841	12	w
1841	12	w
1841	13	w
1841	12	w
1842	14	w
1842	14	w
1843	12	s
1843	11	s
1843	11	s
1843	10	s
1843	12	s
1843	13	s
1843	12	s
1843	11	s
1847	14	w
1854	5	s
1865	3	w
1866	4	w
1866	3	w
1868	1	s
1868	2	s
1869	3	w
1870	2	s
1872	3	s
1872	1	s
1872	3	s
1872	3	s
1872	3	s
1872	2	s
1872	1	s
1872	2	s
1873	4	s
1873	3	s
1873	3	w
1873	3	w
1873	3	w
1874	2	w
1874	3	w
1874	3	w
1874	1	w
1874	3	s
1874	3	s
1874	3	s
1874	3	s
1874	4	s
1874	3	s
1874	3	s
1874	3	s
1874	8	s
1874	3	s
1874	3	s
1874	3	w
1874	3	w
1874	5	w
1874	3	w
1874	3	w
1874	3	w
1874	2	w
1874	3	w
1875	2	w
1875	3	w
1875	3	w
1875	3	w
1875	3	w
1875	3	s
1876	2	w
1883	1	s
1883	3	s
