year	delta
1839	35
1840	30
1840	29
1840	22
1840	22
1840	17
1840	26
1840	22
1840	26
1841	38
1841	25
1841	19
1841	29
1841	34
1841	36
1841	28
1841	29
1842	34
1842	26
1842	16
1842	23
1844	23
1844	32
1844	18
1845	17
1845	24
1845	20
1845	27
1845	19
1845	15
1846	33
1846	31
1847	22
1847	12
1847	19
1849	16
1849	11
1850	10
1851	10
1851	9
1851	8
1852	20
1852	11
1852	12
1852	8
1852	8
1852	13
1852	8
1853	17
1853	11
1853	15
1853	21
1855	5
1856	18
1856	11
1856	11
1856	19
1856	8
1856	14
1857	9
1860	9
1860	21
1860	27
1860	11
1861	27
1861	11
1861	25
1861	15
1861	25
