year	delta	season
1804	33	w
1808	32	w
1808	31	w
1808	27	s
1808	27	s
1808	26	s
1808	27	s
1808	30	s
1809	47	w
1828	20	w
1828	15	s
1828	15	w
1829	14	w
1829	41	s
1829	12	s
1829	14	w
1830	19	w
1830	10	w
1830	13	s
1830	14	s
1830	11	s
1830	14	w
1830	14	w
1830	14	w
1831	18	w
1831	32	w
1831	12	s
1831	14	s
1831	10	s
1831	12	s
1831	9	s
1831	7	s
1831	20	s
1831	12	w
1831	11	w
1832	14	w
1833	14	w
1833	10	w
1833	12	w
1833	11	w
1833	13	w
1833	10	w
1833	40	w
1833	12	w
1833	16	s
1833	10	s
1833	11	s
1833	11	s
1834	14	w
1834	10	s
1834	12	s
1835	22	w
1835	11	w
1835	14	w
1835	23	w
1835	11	w
1835	11	w
1835	16	w
1835	42	s
1835	10	s
1835	6	s
1835	11	s
1836	15	w
1836	11	w
1836	11	w
1837	13	s
1838	10	s
1839	13	s
1839	7	s
1839	8	s
1839	6	w
1840	9	w
1840	8	s
1840	16	w
1840	9	w
1841	10	w
1841	9	s
1841	9	s
1841	7	s
1841	7	s
1841	10	s
1842	6	s
1842	7	w
1842	9	w
1842	9	w
1843	11	w
1843	8	w
1843	10	w
1843	8	s
1843	9	s
1843	9	s
1843	7	s
1843	5	s
1843	4	s
1843	5	s
1843	9	s
1843	5	s
1843	3	s
1843	7	s
1844	4	w
1844	4	w
1844	6	w
1846	12	w
1846	4	s
1849	2	w
1849	17	w
1850	5	w
1851	3	s
1853	306	s
1853	8	s
1853	5	s
1853	2	w
1854	1	w
1855	7	s
1855	3	w
1856	3	s
1856	5	s
1857	1	w
1857	3	w
1857	4	w
1857	1	w
1858	2	s
1858	4	s
1858	1	s
1858	7	s
1858	1	s
1858	1	s
1858	2	s
1858	3	s
1858	9	s
1858	3	s
1858	1	w
1858	5	w
1859	2	w
1859	3	w
1859	2	s
1859	2	s
1859	3	s
1859	3	s
1859	2	s
1859	3	s
1859	5	s
1859	9	s
1859	8	s
1859	3	s
1859	5	s
1859	4	s
1859	5	s
1859	5	s
1859	3	s
1859	1	s
1859	1	s
1859	3	s
1859	1	s
1859	2	s
1859	3	s
1859	2	s
1859	2	w
1859	1	w
1859	1	w
1860	3	w
1860	5	w
1860	3	w
1860	11	w
1861	20	w
1861	13	w
1861	12	w
1861	13	s
1861	4	s
1861	8	s
1861	11	s
1861	2	s
1861	6	s
1861	7	s
1861	7	s
1861	4	w
1862	3	s
1862	1	s
1862	2	s
1862	3	s
1862	1	s
1862	4	s
1862	13	s
1862	3	s
1862	1	s
1862	4	s
1862	4	s
1862	3	s
1862	4	s
1862	3	s
1862	4	s
1862	4	s
1862	2	w
1862	5	w
1862	5	w
1866	3	w
1867	2	w
1867	5	w
1867	3	w
1867	2	w
1867	3	s
1867	3	s
1867	2	s
1867	2	s
1867	2	s
1867	5	s
1867	4	s
1867	10	s
1867	3	w
1867	4	w
1867	3	w
1868	2	w
1868	12	w
1868	4	s
1868	3	s
1868	3	s
1868	6	s
1868	2	s
1868	1	s
1868	3	s
1868	3	s
1868	1	s
1868	1	s
1868	2	s
1868	1	s
1868	2	s
1868	3	s
1868	1	s
1868	3	s
1868	1	s
1868	3	s
1868	1	s
1868	4	s
1868	1	s
1868	3	s
1868	11	s
1868	7	s
1868	3	s
1868	3	s
1868	4	s
1868	8	s
1868	3	s
1868	15	s
1868	2	s
1868	3	s
1868	12	s
1868	3	w
1868	2	w
1868	3	w
1869	4	w
1869	3	w
1869	3	w
1869	1	w
1869	2	w
1869	2	s
1869	3	s
1869	4	s
1869	3	s
1869	2	s
1869	10	w
1870	3	w
1870	3	w
1871	5	w
1871	2	s
1871	3	s
1871	4	s
1871	2	s
1871	3	w
1872	2	s
1872	2	s
1872	2	s
1872	2	s
1872	2	s
1872	3	s
1873	3	w
1873	2	w
1873	4	w
1873	3	s
1873	8	s
1873	7	s
1873	3	s
1873	3	w
1873	2	w
1873	3	w
1874	2	s
1874	2	w
1874	3	w
1874	1	w
1874	3	w
1874	2	w
1874	4	w
1874	3	w
1875	3	w
1875	4	w
1875	1	w
1875	3	w
1875	2	w
1875	3	s
1875	2	s
1875	1	s
1875	2	s
1875	2	s
1875	3	s
1875	1	s
1875	2	s
1875	6	s
1875	7	s
1875	2	s
1875	1	s
1875	1	s
1875	1	s
1875	3	w
1875	4	w
1875	1	w
1875	3	w
1875	1	w
1876	5	w
1876	3	w
1876	3	w
1876	4	w
1876	2	w
1876	1	w
1876	2	w
1876	3	w
1876	3	w
1876	3	w
1876	1	s
1876	1	s
1876	2	s
1876	2	s
1876	1	s
1876	3	s
1876	2	s
1876	1	s
1876	3	s
1876	3	s
1876	1	s
1876	1	s
1876	3	s
1876	3	s
1876	2	s
1876	2	s
1876	1	s
1876	4	s
1876	4	s
1876	1	s
1876	1	s
1876	2	s
1876	1	s
1876	2	s
1876	3	s
1876	3	s
1876	1	s
1876	7	s
1876	1	s
1876	1	s
1876	3	s
1876	2	s
1876	1	s
1876	6	s
1876	1	s
1876	1	s
1876	3	s
1876	2	s
1876	3	s
1876	7	s
1876	3	s
1876	2	s
1876	1	s
1876	3	s
1876	3	s
1876	3	s
1876	2	s
1876	1	s
1876	3	s
1876	8	s
1876	3	s
1876	3	s
1876	3	s
1876	1	s
1876	1	s
1876	4	s
1876	2	s
1876	1	s
1876	3	s
1876	3	s
1876	1	s
1876	3	s
1876	1	s
1876	1	s
1876	3	s
1876	3	s
1876	2	s
1876	1	s
1876	3	s
1876	3	s
1876	3	s
1876	3	s
1876	1	s
1876	3	s
1876	3	s
1876	4	s
1876	2	s
1876	2	s
1876	2	s
1876	1	s
1876	3	s
1876	2	s
1876	4	s
1876	3	s
1876	3	s
1876	6	s
1876	1	s
1876	2	s
1876	3	s
1876	1	s
1876	1	s
1876	1	s
1876	4	s
1876	3	s
1876	3	s
1876	2	s
1876	2	s
1876	1	s
1876	3	s
1876	3	s
1876	4	s
1876	1	w
1876	3	w
1876	3	w
1876	3	w
1876	3	w
1876	3	w
1876	3	w
1876	2	w
1876	1	w
1876	1	w
1876	3	w
1876	1	w
1876	1	w
1876	1	w
1876	3	w
1876	1	w
1876	6	w
1876	4	w
1876	3	w
1876	5	w
1876	3	w
1876	8	w
1876	2	w
