year	delta
1802	18
1802	18
1802	18
1802	20
1802	18
1802	18
1802	18
1802	16
1802	22
1802	11
1802	11
1803	11
1803	11
1803	11
1803	11
1803	18
1803	18
1803	22
1804	18
1804	18
1804	18
1804	18
1804	18
1804	18
1804	18
1804	18
1804	18
1804	18
1804	18
1804	18
1804	18
1804	18
1804	18
1804	18
1805	25
1805	18
1805	18
1805	18
1805	18
1805	18
1805	17
1805	18
1805	18
1805	18
1805	18
1805	18
1805	18
1805	18
1805	46
1805	18
1805	18
1805	19
1805	18
1805	18
1805	18
1805	18
1805	18
1805	18
1805	18
1805	20
1805	22
1805	22
1805	18
1805	21
1805	22
1805	20
1805	23
1805	21
1805	23
1805	22
1806	22
1806	18
1806	18
1806	20
1806	21
1806	18
1806	18
1806	22
1806	21
1806	18
1806	22
1806	22
1806	21
1806	26
1806	18
1806	18
1806	18
1806	22
1806	18
1806	18
1806	18
1806	18
1806	18
1806	18
1806	18
1806	18
1806	18
1806	22
1806	18
1806	18
1806	18
1806	17
1806	17
1806	18
1806	21
1806	46
1806	39
1807	31
1807	38
1807	37
1807	18
1807	18
1808	11
1808	11
1808	11
1808	15
1808	15
1808	12
1808	14
1809	14
1809	14
1809	13
1809	11
1809	11
1809	14
1809	18
1809	13
1809	18
1809	14
1809	11
1809	11
1809	18
1809	11
1809	9
1809	11
1809	13
1810	20
1810	14
1810	11
1810	12
1810	11
1810	13
1810	14
1810	13
1810	11
1810	11
1810	18
1810	11
1810	18
1811	14
1811	11
1811	11
1811	11
1811	13
1811	19
1811	11
1811	22
1812	11
1812	13
1812	11
1812	13
1812	11
1812	11
1812	13
1812	11
1812	11
1812	11
1812	11
1812	11
1812	13
1812	11
1812	11
1812	46
1812	37
1812	34
1813	18
1813	24
1813	14
1813	15
1813	15
1813	39
1813	21
1813	19
1813	18
1813	19
1813	18
1813	15
1813	14
1813	15
1813	20
1813	16
1813	13
1813	11
1813	11
1813	12
1813	12
1813	13
1813	13
1813	12
1813	11
1813	11
1813	11
1813	11
1813	11
1813	15
1813	13
1813	11
1813	15
1813	13
1813	10
1813	15
1813	11
1813	13
1813	11
1813	12
1813	11
1813	13
1813	11
1813	13
1813	11
1813	11
1813	11
1813	14
1813	13
1813	12
1813	11
1813	12
1813	12
1813	13
1813	12
1813	14
1813	12
1813	12
1813	14
1813	13
1813	12
1813	14
1813	13
1813	12
1813	15
1813	12
1813	11
1813	14
1813	11
1813	12
1813	10
1813	13
1813	12
1813	12
1813	11
1813	14
1813	14
1813	12
1813	12
1813	13
1813	16
1813	14
1813	13
1813	12
1813	11
1813	13
1813	12
1813	11
1813	13
1813	11
1814	13
1814	12
1814	14
1814	11
1814	11
1814	14
1814	14
1814	11
1814	11
1814	11
1814	11
1814	12
1814	11
1814	12
1814	12
1814	13
1814	13
1814	11
1814	11
1814	14
1814	18
1814	18
1814	11
1814	18
1814	18
1814	18
1815	18
1815	18
1815	11
1815	18
1815	17
1815	11
1815	18
1815	11
1815	18
1815	18
1815	13
1815	12
1815	11
1815	12
1815	12
1815	13
1815	15
1815	12
1815	11
1815	11
1815	18
1815	18
1815	11
1815	11
1815	12
1815	11
1815	11
1815	11
1815	11
1815	11
1815	18
1815	19
1816	18
1816	18
1816	11
1816	11
1816	11
1816	18
1816	13
1816	21
1816	18
1816	18
1816	11
1816	18
1816	18
1816	18
1816	11
1816	13
1816	17
1816	13
1816	18
1816	11
1816	18
1816	18
1816	18
1816	18
1816	18
1816	18
1816	18
1816	18
1816	18
1817	18
1817	21
1817	11
1817	18
1817	18
1817	18
1817	21
1817	11
1817	18
1817	19
1817	13
1817	18
1817	18
1817	18
1817	11
1817	18
1817	11
1817	18
1817	43
1817	18
1817	11
1817	11
1817	18
1817	14
1817	18
1817	11
1817	11
1817	18
1817	18
1818	11
1818	11
1818	11
1818	18
1818	18
1818	18
1818	11
1818	11
1818	11
1818	21
1818	18
1818	18
1818	13
1818	13
1818	41
1818	18
1818	11
1818	17
1818	18
1818	18
1818	11
1818	18
1818	11
1818	11
1818	13
1818	11
1818	11
1818	17
1818	11
1818	11
1819	18
1819	18
1819	18
1819	13
1819	28
1819	18
1819	18
1819	17
1819	11
1819	18
1819	18
1819	18
1819	18
1819	18
1819	18
1819	11
1819	11
1819	18
1819	11
1819	18
1819	13
1819	11
1819	18
1819	18
1820	18
1820	13
1820	11
1820	18
1820	11
1820	18
1820	13
1820	18
1820	2
1820	18
1820	18
1820	11
1820	13
1820	13
1820	18
1820	11
1820	11
1820	11
1821	18
1821	11
1821	18
1821	11
1821	18
1821	13
1821	18
1821	18
1821	11
1821	11
1821	11
1821	18
1821	18
1821	18
1822	29
1822	21
1822	18
1822	18
1822	18
1822	19
1822	18
1822	18
1822	11
1822	14
1822	10
1822	14
1822	14
1822	10
1822	13
1822	13
1822	11
1822	10
1822	14
1822	18
1822	17
1823	14
1823	4
1823	17
1823	17
1823	13
1823	14
1823	14
1823	17
1823	18
1823	13
1823	14
1823	17
1823	14
1823	10
1823	10
1823	17
1824	17
1824	15
1824	13
1824	17
1824	14
1825	14
1825	14
1825	15
1825	17
1826	14
1826	11
1826	17
1826	13
1826	16
1826	30
1826	13
1826	13
1826	14
1826	13
1826	13
1826	12
1827	12
1827	12
1827	15
1827	11
1827	13
1827	12
1828	13
1828	21
1828	25
1828	12
1828	10
1828	10
1828	16
1828	25
1828	10
1828	19
1828	7
1828	11
1828	12
1828	8
1828	21
1828	19
1828	12
1828	10
1828	20
1828	20
1828	9
1828	10
1829	13
1829	8
1829	11
1829	19
1829	10
1829	19
1829	10
1829	21
1829	21
1829	11
1829	19
1829	12
1829	9
1829	7
1829	8
1829	9
1829	10
1829	7
1829	13
1829	8
1829	6
1829	8
1829	9
1829	8
1829	8
1829	9
1829	7
1829	8
1829	15
1829	12
1829	10
1829	13
1829	9
1829	9
1829	6
1829	20
1829	9
1829	9
1829	11
1829	7
1829	8
1829	9
1829	18
1829	20
1829	13
1830	11
1830	7
1830	10
1830	20
1830	13
1830	22
1830	19
1830	8
1830	7
1830	19
1830	7
1830	13
1830	9
1830	7
1830	7
1830	7
1830	7
1830	7
1830	7
1830	24
1830	7
1830	8
1830	7
1830	8
1830	7
1831	8
1831	7
1831	13
1831	8
1831	12
1831	14
1831	9
1831	7
1831	9
1831	8
1831	9
1831	7
1831	11
1831	11
1831	9
1831	13
1831	12
1831	9
1831	7
1831	7
1831	8
1831	7
1831	9
1831	8
1831	13
1831	8
1831	9
1831	9
1831	13
1831	8
1831	8
1831	7
1831	13
1831	20
1831	15
1831	11
1831	8
1831	7
1831	1
1831	11
1831	7
1832	8
1832	8
1832	12
1832	20
1832	16
1832	10
1832	8
1832	13
1832	14
1832	13
1832	19
1832	12
1832	12
1832	13
1832	7
1832	19
1832	13
1832	12
1832	8
1832	13
1833	7
1833	11
1833	13
1833	11
1833	12
1833	14
1833	13
1833	8
1833	8
1833	8
1833	8
1833	8
1833	9
1833	8
1833	12
1833	9
1833	7
1833	11
1833	9
1834	7
1834	6
1834	7
1834	7
1834	6
1834	6
1834	7
1834	56
1834	7
1834	7
1834	7
1834	6
1834	6
1834	7
1834	8
1834	7
1834	9
1834	7
1834	6
1834	8
1834	6
1834	6
1834	6
1835	13
1835	9
1835	9
1835	6
1835	22
1835	6
1835	5
1835	6
1835	6
1835	10
1835	7
1835	8
1835	6
1835	17
1835	7
1835	7
1835	7
1835	8
1835	6
1835	6
1835	6
1835	6
1835	6
1835	7
1835	16
1835	6
1835	5
1835	19
1835	18
1835	9
1835	5
1836	24
1836	7
1836	5
1836	6
1836	9
1836	15
1836	18
1836	19
1836	11
1836	11
1836	13
1836	12
1836	8
1836	19
1836	17
1836	11
1836	13
1836	12
1836	6
1836	8
1836	15
1836	6
1836	8
1836	7
1836	7
1836	6
1836	24
1836	18
1836	7
1836	6
1836	6
1836	12
1836	6
1836	6
1836	6
1836	13
1836	6
1836	8
1836	13
1836	5
1836	6
1836	12
1836	7
1837	7
1837	13
1837	6
1837	18
1837	16
1837	38
1837	7
1837	13
1837	7
1837	11
1837	13
1837	6
1837	11
1837	6
1837	7
1837	10
1837	6
1837	6
1837	11
1837	6
1837	7
1837	12
1837	14
1838	6
1838	9
1838	11
1838	10
1838	26
1838	18
1838	7
1838	9
1838	11
1838	6
1838	7
1838	12
1838	38
1838	16
1838	16
1838	20
1838	13
1838	7
1838	10
1838	12
1838	5
1838	5
1838	6
1838	7
1838	7
1838	8
1838	11
1838	8
1838	5
1838	6
1838	5
1838	6
1838	12
1838	5
1838	18
1838	7
1838	11
1838	12
1838	11
1838	11
1838	12
1838	7
1838	12
1838	6
1838	12
1838	22
1838	9
1838	6
1838	15
1838	11
1838	5
1838	5
1838	9
1838	8
1838	6
1838	7
1838	6
1838	8
1838	14
1838	15
1838	11
1838	9
1838	8
1838	9
1838	12
1838	12
1838	11
1838	11
1838	10
1839	15
1839	7
1839	7
1839	12
1839	12
1839	11
1839	20
1839	20
1839	12
1839	16
1839	13
1839	11
1839	11
1839	19
1839	17
1839	10
1839	7
1839	4
1839	3
1839	8
1839	10
1839	16
1839	10
1839	12
1839	11
1839	5
1839	6
1839	5
1839	13
1839	35
1839	5
1839	12
1839	6
1839	16
1839	12
1839	21
1840	6
1840	18
1840	25
1840	15
1840	5
1840	4
1840	5
1840	6
1840	5
1840	6
1840	7
1840	7
1840	4
1840	5
1840	17
1840	5
1840	11
1840	5
1840	14
1840	18
1840	6
1840	11
1840	8
1840	5
1840	6
1840	6
1840	5
1840	18
1840	5
1840	2
1840	6
1840	5
1840	5
1840	17
1840	12
1840	5
1840	10
1841	6
1841	14
1841	5
1841	15
1841	9
1841	4
1841	17
1841	5
1841	13
1841	12
1841	14
1841	6
1841	17
1841	4
1841	5
1841	11
1841	17
1841	11
1841	4
1841	6
1841	10
1841	6
1841	3
1841	4
1841	4
1841	5
1841	5
1841	17
1841	6
1841	19
1841	36
1841	25
1841	13
1841	20
1841	19
1841	5
1841	8
1841	7
1841	5
1841	4
1841	10
1841	5
1841	5
1841	6
1841	8
1841	7
1841	15
1841	6
1841	7
1841	5
1841	17
1841	10
1841	5
1841	14
1842	6
1842	12
1842	13
1842	13
1842	15
1842	3
1842	5
1842	7
1842	7
1842	5
1842	13
1842	14
1842	13
1842	10
1842	18
1842	13
1842	15
1842	9
1842	12
1842	13
1842	5
1842	6
1842	14
1842	5
1842	6
1842	7
1842	5
1842	13
1842	11
1842	12
1842	14
1842	6
1842	7
1842	6
1842	13
1842	13
1842	6
1842	15
1842	11
1842	12
1842	12
1842	5
1842	8
1842	78
1842	7
1842	20
1842	5
1842	5
1842	7
1842	12
1842	5
1842	5
1842	15
1842	11
1842	12
1842	5
1842	5
1842	14
1842	6
1842	11
1842	13
1842	9
1842	12
1842	13
1842	17
1842	12
1842	12
1842	6
1842	5
1842	11
1842	15
1842	12
1842	6
1842	11
1842	13
1843	5
1843	16
1843	16
1843	9
1843	12
1843	22
1843	14
1843	17
1843	5
1843	19
1843	25
1843	10
1843	16
1843	12
1843	12
1843	6
1843	7
1843	13
1843	4
1843	6
1843	5
1843	6
1843	11
1843	7
1843	17
1843	11
1843	20
1843	4
1843	13
1843	4
1843	15
1843	5
1843	14
1843	5
1843	5
1843	7
1843	14
1843	12
1843	5
1843	6
1843	5
1843	4
1843	6
1843	5
1843	6
1843	13
1843	12
1843	5
1843	5
1843	6
1843	6
1843	4
1843	17
1843	5
1843	13
1843	11
1843	13
1843	13
1843	5
1843	13
1843	7
1843	10
1843	5
1843	10
1843	12
1843	8
1843	4
1843	12
1843	6
1843	11
1843	12
1843	4
1843	6
1843	5
1843	6
1843	10
1843	10
1843	4
1843	10
1843	11
1843	14
1844	14
1844	4
1844	23
1844	4
1844	14
1844	11
1844	5
1844	5
1844	7
1844	12
1844	13
1844	11
1844	11
1844	4
1844	14
1844	6
1844	13
1844	6
1844	9
1844	4
1844	6
1844	13
1844	9
1844	7
1844	14
1844	12
1844	15
1844	6
1844	5
1844	14
1844	11
1844	17
1844	5
1844	5
1844	15
1844	12
1844	4
1844	8
1844	5
1844	13
1844	5
1844	5
1844	12
1844	11
1844	8
1844	4
1844	13
1844	5
1844	5
1844	5
1844	4
1844	4
1844	16
1844	15
1844	4
1844	5
1844	14
1844	4
1844	4
1844	19
1844	11
1844	4
1844	5
1844	12
1844	8
1844	4
1844	5
1844	13
1844	4
1844	11
1844	12
1844	4
1844	4
1844	16
1844	5
1844	6
1844	11
1844	13
1844	17
1844	11
1844	11
1844	5
1844	7
1844	7
1844	11
1844	14
1844	13
1844	14
1845	18
1845	16
1845	13
1845	5
1845	4
1845	4
1845	17
1845	12
1845	15
1845	5
1845	13
1845	8
1845	4
1845	12
1845	10
1845	12
1845	7
1845	7
1845	8
1845	5
1845	15
1845	13
1845	15
1845	8
1845	11
1845	28
1845	5
1845	15
1845	15
1845	15
1845	12
1845	9
1845	7
1845	20
1845	14
1845	9
1845	12
1845	10
1845	14
1845	4
1845	12
1845	13
1845	7
1845	4
1845	5
1845	13
1845	5
1845	14
1845	15
1845	11
1845	4
1845	9
1845	4
1845	7
1845	13
1845	3
1845	14
1845	5
1845	11
1845	5
1845	7
1845	14
1845	7
1845	5
1845	6
1845	13
1845	6
1845	6
1845	17
1845	10
1845	4
1845	12
1845	10
1845	11
1845	12
1845	12
1845	16
1845	12
1845	6
1845	7
1845	12
1845	4
1845	14
1845	13
1845	13
1845	15
1845	4
1845	13
1845	12
1845	21
1845	11
1845	8
1845	19
1845	7
1845	9
1845	14
1845	15
1845	14
1845	14
1846	11
1846	5
1846	4
1846	17
1846	13
1846	13
1846	20
1846	20
1846	6
1846	13
1846	14
1846	13
1846	7
1846	7
1846	13
1846	14
1846	4
1846	5
1846	19
1846	7
1846	6
1846	7
1846	8
1846	12
1846	19
1846	12
1846	12
1846	6
1846	10
1846	11
1846	20
1846	10
1846	11
1846	249
1846	4
1846	6
1846	11
1846	10
1846	9
1846	6
1846	5
1846	10
1846	16
1846	16
1846	8
1846	14
1846	4
1846	7
1846	4
1846	6
1846	8
1846	7
1846	38
1846	9
1846	7
1846	12
1846	10
1846	5
1846	4
1846	20
1846	15
1846	11
1846	20
1846	3
1846	12
1846	7
1846	8
1846	9
1846	11
1846	5
1846	7
1846	3
1846	4
1846	16
1846	8
1846	5
1846	12
1846	7
1846	4
1846	5
1846	18
1846	13
1846	5
1846	7
1846	5
1846	12
1846	11
1846	23
1846	4
1846	4
1846	5
1846	7
1846	10
1846	20
1846	5
1846	4
1846	12
1846	14
1846	5
1846	4
1846	5
1846	7
1846	5
1846	15
1846	4
1846	8
1846	4
1846	13
1846	4
1846	5
1846	4
1846	14
1846	17
1846	14
1846	4
1846	11
1846	5
1846	21
1846	12
1846	13
1846	9
1846	7
1846	9
1846	9
1846	5
1846	15
1846	9
1846	14
1846	9
1846	5
1846	10
1846	10
1846	4
1846	10
1846	11
1846	4
1846	7
1846	9
1846	10
1847	7
1847	11
1847	15
1847	15
1847	14
1847	4
1847	14
1847	13
1847	4
1847	8
1847	5
1847	5
1847	3
1847	5
1847	5
1847	10
1847	5
1847	8
1847	9
1847	8
1847	5
1847	6
1847	13
1847	15
1847	9
1847	14
1847	15
1847	19
1847	9
1847	8
1847	10
1847	9
1847	15
1847	10
1847	8
1847	9
1847	20
1847	7
1847	9
1847	9
1847	12
1847	10
1847	7
1847	7
1847	7
1847	7
1847	5
1847	7
1847	5
1847	9
1847	20
1847	7
1847	8
1847	9
1847	5
1847	6
1847	11
1847	18
1847	6
1847	8
1847	9
1847	5
1847	10
1847	7
1847	6
1847	8
1847	8
1847	8
1847	8
1847	9
1847	10
1847	8
1847	8
1847	8
1847	9
1847	8
1847	8
1847	4
1847	8
1847	9
1847	8
1847	8
1847	8
1847	15
1847	9
1847	6
1847	9
1847	8
1847	5
1847	18
1847	10
1847	11
1847	4
1847	5
1847	4
1847	4
1847	12
1847	4
1847	8
1847	9
1847	7
1847	5
1847	10
1847	5
1847	7
1847	5
1847	5
1847	11
1847	4
1847	11
1847	5
1847	10
1847	10
1847	13
1847	7
1847	5
1847	8
1847	8
1847	6
1847	7
1847	13
1847	9
1847	5
1847	6
1847	5
1847	8
1847	10
1847	3
1847	9
1847	316
1847	9
1847	9
1847	8
1847	13
1847	15
1847	8
1847	10
1847	3
1847	8
1847	10
1847	9
1847	12
1847	6
1847	5
1847	8
1847	5
1847	7
1847	12
1847	8
1847	9
1847	14
1847	4
1847	6
1847	4
1847	7
1847	18
1847	8
1847	11
1847	5
1847	6
1847	11
1847	11
1847	9
1847	7
1847	10
1847	8
1847	5
1847	10
1848	11
1848	5
1848	12
1848	14
1848	5
1848	8
1848	10
1848	9
1848	13
1848	6
1848	11
1848	4
1848	10
1848	4
1848	10
1848	12
1848	8
1848	8
1848	4
1848	8
1848	7
1848	11
1848	6
1848	14
1848	5
1848	8
1848	3
1848	4
1848	11
1848	6
1848	4
1848	8
1848	5
1848	4
1848	6
1848	3
1848	5
1848	5
1848	6
1848	5
1848	5
1848	4
1848	5
1848	5
1848	5
1848	5
1848	6
1848	5
1848	4
1848	8
1848	5
1848	4
1848	10
1848	4
1848	4
1848	4
1848	3
1848	9
1848	4
1848	3
1848	4
1848	12
1848	4
1848	4
1848	4
1848	11
1848	7
1848	6
1848	6
1848	5
1848	6
1848	5
1848	4
1848	5
1848	4
1848	7
1848	3
1848	3
1848	4
1848	5
1848	3
1848	4
1848	5
1848	4
1848	6
1848	8
1848	5
1848	4
1848	4
1848	4
1848	5
1848	3
1848	4
1848	4
1848	4
1848	9
1848	6
1848	5
1848	7
1848	7
1848	6
1848	5
1848	5
1848	4
1848	5
1848	4
1848	4
1848	4
1848	4
1848	4
1848	3
1848	4
1848	3
1848	3
1848	7
1848	7
1848	5
1848	4
1848	4
1848	5
1848	10
1848	7
1848	7
1848	5
1848	4
1848	6
1848	5
1848	8
1848	6
1848	4
1848	7
1848	6
1848	8
1848	6
1848	7
1848	4
1848	4
1848	6
1848	4
1848	7
1848	6
1848	6
1848	11
1848	8
1848	5
1848	5
1848	15
1848	6
1848	5
1848	10
1848	4
1848	4
1848	4
1848	6
1848	4
1848	4
1848	5
1848	4
1848	5
1848	4
1848	5
1848	7
1848	4
1848	3
1848	4
1848	4
1848	5
1848	4
1848	6
1848	5
1848	4
1848	4
1848	6
1848	4
1848	6
1848	4
1848	7
1848	6
1848	15
1848	7
1848	6
1848	5
1848	4
1848	8
1848	7
1848	5
1848	4
1848	4
1848	5
1848	6
1848	4
1848	6
1848	9
1848	4
1848	6
1848	7
1848	7
1848	10
1848	6
1848	5
1848	5
1848	3
1848	5
1848	4
1848	4
1848	5
1848	12
1848	4
1848	4
1848	6
1848	5
1848	6
1848	5
1848	7
1848	6
1848	5
1848	4
1848	6
1848	4
1848	4
1848	4
1848	6
1848	8
1848	5
1848	8
1848	4
1848	6
1848	5
1848	6
1848	1
1848	6
1848	4
1848	4
1848	4
1848	6
1848	7
1848	4
1848	7
1848	5
1848	4
1848	6
1848	7
1848	4
1848	6
1848	6
1848	6
1848	5
1848	5
1848	4
1848	6
1848	4
1848	4
1848	6
1848	4
1848	6
1848	3
1848	4
1848	8
1848	6
1848	6
1848	4
1848	4
1848	4
1848	5
1848	4
1848	4
1848	6
1848	7
1848	4
1848	4
1848	4
1848	5
1848	7
1848	6
1848	4
1848	5
1848	4
1848	3
1848	4
1848	5
1848	4
1848	7
1848	5
1848	4
1848	6
1848	7
1848	5
1848	6
1848	5
1848	4
1848	5
1848	6
1848	6
1848	5
1848	5
1848	6
1848	8
1848	8
1848	7
1848	5
1848	5
1848	7
1848	5
1848	4
1848	7
1848	7
1848	6
1848	6
1848	5
1848	8
1848	6
1848	9
1848	7
1848	5
1848	4
1848	4
1848	5
1848	4
1848	4
1848	7
1848	4
1848	5
1848	4
1848	7
1848	6
1848	5
1848	5
1848	4
1848	4
1848	6
1848	4
1848	3
1848	4
1848	4
1848	3
1848	4
1848	6
1848	3
1848	4
1848	4
1848	7
1848	5
1848	4
1848	6
1848	4
1848	3
1848	4
1848	5
1848	4
1848	4
1848	4
1848	7
1848	6
1848	66
1848	4
1848	6
1848	4
1848	5
1848	5
1848	9
1848	7
1848	7
1848	6
1848	6
1848	4
1848	7
1848	6
1848	6
1848	5
1848	4
1848	7
1848	6
1848	6
1848	4
1848	6
1848	6
1848	7
1848	4
1848	6
1848	6
1848	5
1848	4
1848	5
1848	4
1848	6
1848	4
1848	8
1848	4
1848	3
1848	7
1848	5
1848	4
1848	5
1848	3
1848	5
1848	8
1848	4
1848	4
1848	6
1848	36
1848	4
1848	5
1848	7
1848	3
1848	3
1848	14
1848	13
1848	13
1848	7
1848	5
1848	6
1848	6
1848	7
1848	5
1848	10
1848	6
1848	9
1848	11
1848	6
1848	7
1848	10
1848	6
1848	5
1848	4
1848	4
1849	6
1849	7
1849	5
1849	11
1849	5
1849	7
1849	7
1849	6
1849	4
1849	8
1849	5
1849	5
1849	4
1849	4
1849	6
1849	6
1849	6
1849	4
