year	delta
1802	41
1802	27
1802	30
1802	32
1802	32
1802	31
1802	28
1802	28
1802	27
1802	27
1802	30
1802	31
1802	26
1802	28
1802	27
1803	26
1803	25
1803	24
1804	31
1805	29
1808	38
1808	35
1809	33
1809	31
1810	37
1810	32
1810	29
1810	27
1810	28
1810	30
1810	30
1810	29
1810	25
1811	34
1811	29
1811	29
1811	29
1812	33
1812	29
1814	28
1823	30
1830	19
1831	17
1831	17
1831	16
1831	20
1831	18
1831	22
1831	17
1831	15
1832	19
1833	15
1833	16
1833	11
1833	17
1834	18
1834	16
1834	15
1834	15
1834	14
1835	16
1835	14
1835	16
1835	14
1835	16
1835	16
1835	16
1835	14
1835	15
1836	15
1836	14
1836	15
1836	14
1836	17
1836	16
1836	20
1836	28
1836	14
1836	46
1836	16
1836	14
1836	13
1836	15
1836	13
1836	16
1836	16
1836	12
1836	19
1836	17
1837	26
1837	16
1837	16
1838	16
1838	15
1838	14
1838	13
1838	14
1838	16
1838	14
1838	15
1838	16
1839	16
1839	14
1841	13
1841	13
1841	14
1841	16
1841	13
1841	14
1841	16
1841	14
1842	12
1842	14
1842	14
1842	18
1843	15
1843	12
1844	15
1844	43
1844	14
1844	11
1846	24
1846	11
1846	11
1847	13
1847	9
1847	16
1847	10
1847	11
1847	11
1847	12
1847	14
1847	13
1847	11
1847	12
1847	14
1847	12
1847	12
1847	10
1847	12
1847	9
1847	11
1847	9
1847	10
1847	10
1847	12
1847	8
1847	12
1847	10
1847	9
1847	8
1847	10
1847	9
1847	9
1847	10
1847	12
1847	10
1847	10
1847	10
1847	9
1847	14
1847	9
1847	12
1848	11
1848	9
1848	11
1848	16
1848	11
1848	10
1848	9
1848	13
1848	10
1848	10
1848	10
1848	9
1848	12
1848	9
1848	10
1848	8
1848	10
1848	15
1848	8
1848	12
1848	8
1848	9
1848	15
1848	8
1848	10
1848	12
1848	8
1848	10
1848	9
1848	11
1848	12
1848	13
1848	10
1848	9
1848	11
1848	10
1848	12
1849	11
1849	11
1849	11
1849	13
1849	10
1849	10
1849	9
1849	12
1849	12
1849	12
1849	12
1849	9
1849	10
1849	12
1849	10
1849	9
1849	9
1849	8
1849	11
1849	9
1849	8
1849	10
1849	12
1849	11
1849	10
1849	8
1849	8
1849	24
1849	9
1849	10
1849	10
1849	11
1849	10
1849	8
1849	22
1849	10
1849	9
1849	9
1849	11
1849	11
1849	11
1849	12
1849	9
1850	11
1850	19
1850	14
1850	13
1850	11
1850	13
1850	11
1850	10
1850	11
1850	10
1850	11
1850	15
1850	10
1850	11
1850	9
1850	13
1850	10
1850	8
1850	11
1850	12
1850	9
1850	9
1850	9
1850	9
1850	8
1850	9
1850	11
1850	10
1850	10
1850	10
1850	13
1850	11
1851	12
1851	12
1851	9
1851	9
1851	17
1851	9
1851	8
1851	9
1851	10
1851	13
1851	9
1851	10
1851	10
1851	11
1851	14
1851	8
1851	9
1851	9
1851	10
1851	11
1851	10
1851	10
1851	7
1851	8
1851	9
1851	10
1851	8
1851	9
1851	9
1851	9
1851	9
1852	9
1852	9
1852	9
1852	9
1852	9
1852	9
1852	8
1852	11
1852	9
1852	10
1852	8
1852	10
1852	9
1852	10
1852	12
1852	9
1852	10
1852	9
1852	8
1852	9
1852	10
1852	9
1852	9
1852	11
1852	10
1852	9
1852	6
1852	9
1852	10
1852	12
1852	9
1852	12
1852	9
1852	10
1853	10
1853	9
1853	10
1853	10
1853	10
1853	10
1853	9
1853	10
1853	9
1853	8
1853	9
1853	11
1853	9
1853	10
1853	9
1853	8
1853	9
1853	12
1853	9
1853	11
1853	9
1853	8
1853	9
1853	9
1853	7
1853	10
1853	9
1853	9
1853	17
1853	10
1853	10
1853	8
1853	9
1853	10
1853	12
1853	9
1853	11
1853	10
1853	9
1853	10
1853	14
1853	12
1853	11
1853	13
1853	8
1853	10
1853	9
1853	9
1853	10
1853	14
1853	7
1853	7
1853	7
1853	10
1853	9
1853	6
1853	8
1853	10
1853	9
1853	8
1853	9
1853	10
1853	9
1853	37
1853	13
1853	7
1853	7
1853	9
1853	12
1853	9
1853	8
1853	9
1853	7
1853	8
1853	7
1853	6
1853	8
1853	7
1853	8
1853	11
1853	9
1853	8
1853	8
1853	9
1853	7
1853	8
1853	8
1853	9
1853	8
1853	9
1853	7
1853	14
1853	7
1853	8
1853	11
1853	6
1853	9
1853	10
1853	7
1853	6
1853	8
1853	10
1853	8
1853	12
1853	10
1853	6
1853	9
1853	8
1853	7
1853	12
1853	11
1853	9
1853	8
1853	8
1853	7
1853	6
1853	9
1853	8
1853	9
1853	6
1853	6
1853	7
1853	8
1853	9
1854	6
1854	6
1854	4
1854	8
1854	7
1854	7
1854	5
1854	9
1854	8
1854	6
1854	7
1854	9
1854	5
1854	7
1854	8
1854	8
1854	7
1854	12
1854	5
1854	8
1854	4
1854	7
1854	8
1854	7
1854	8
1854	7
1854	3
1854	6
1854	5
1854	8
1854	9
1854	7
1854	9
1854	10
1855	9
1855	7
1855	7
1855	7
1855	7
1855	8
1855	6
1855	11
1855	8
1855	7
1855	6
1855	7
1855	9
1855	6
1855	10
1855	9
1855	7
1855	6
1855	9
1855	13
1855	10
1855	7
1855	9
1855	6
1855	8
1855	7
1855	8
1855	8
1855	7
1855	10
1855	10
1855	11
1855	9
1855	9
1855	8
1855	8
1855	8
1855	7
1855	8
1855	6
1855	6
1855	7
1855	6
1855	2
1855	6
1855	7
1855	10
1855	6
1855	7
1855	9
1855	7
1855	6
1855	10
1855	8
1855	7
1855	7
1855	6
1855	9
1855	7
1855	7
1855	9
1855	9
1855	5
1855	7
1855	8
1855	6
1855	14
1856	10
1856	7
1856	8
1856	9
1856	10
1856	7
1856	7
1856	8
1856	9
1856	8
1856	9
1856	7
1856	8
1856	6
1856	6
1856	6
1856	6
1856	6
1856	6
1856	6
1856	6
1856	7
1856	6
1856	7
1856	6
1856	7
1856	7
1856	12
1856	6
1856	6
1856	7
1856	7
1856	5
1856	7
1856	9
1856	8
1856	7
1856	5
1856	6
1856	8
1856	6
1856	9
1856	7
1856	5
1856	6
1856	10
1856	7
1856	5
1856	10
1856	6
1856	7
1856	6
1856	9
1856	9
1856	6
1856	5
1856	5
1856	10
1856	7
1856	8
1856	6
1856	8
1856	9
1856	7
1856	6
1856	9
1856	8
1856	8
1856	10
1856	9
1856	9
1856	10
1856	8
1856	7
1856	6
1856	6
1856	7
1856	7
1856	6
1856	8
1856	8
1856	7
1856	9
1856	8
1856	9
1856	9
1856	8
