year	delta	season
1829	1	s
1829	2	s
1829	2	s
1829	2	s
1836	1	w
1837	1	w
1838	3	s
1842	1	s
1843	1	s
1843	2	w
1844	1	w
1844	1	w
1844	1	w
1845	1	w
1845	2	w
1846	1	w
1846	3	w
1846	1	w
1846	3	s
1847	1	w
1847	1	w
1847	1	s
1847	1	s
1847	1	s
1847	2	w
1848	1	w
1848	1	w
1849	1	w
1849	1	w
1849	1	w
1849	2	w
1849	3	w
1849	3	w
1849	2	w
1849	1	w
1849	1	w
1849	1	w
1849	2	s
1849	1	w
1849	1	w
1850	1	w
1850	5	w
1850	1	w
1850	1	s
1850	1	s
1850	1	s
1850	3	s
1850	1	s
1850	1	w
1850	1	w
1851	2	w
1851	1	w
1851	1	w
1851	1	w
1851	2	w
1852	7	w
1852	1	s
1852	1	s
1852	1	w
1852	1	w
1852	1	w
1853	1	s
1853	2	s
1855	3	w
1855	1	s
1855	1	s
1855	2	w
1855	1	w
1856	1	s
1856	1	s
1856	1	s
1856	1	s
1856	1	s
1856	4	s
1856	1	s
1856	3	w
1856	9	w
1856	3	w
1856	3	w
1856	1	w
1856	2	w
1856	2	w
1856	1	w
1856	3	w
1856	1	w
1856	1	w
1857	1	w
1857	1	w
1857	1	w
1857	2	s
1857	1	s
1857	1	w
1857	1	w
1858	2	w
1858	1	w
1858	1	w
1858	1	w
1858	1	s
1858	1	w
1858	2	w
1858	1	w
1858	1	w
1858	1	w
1858	2	w
1859	1	w
1859	1	w
1860	1	w
1860	1	w
1860	1	w
1860	2	w
1861	1	w
1861	1	w
1861	1	w
1861	1	w
1861	1	w
1861	1	w
1861	1	s
1861	2	s
1861	2	s
1861	1	s
1861	1	s
1861	1	w
1862	2	w
1862	1	w
1862	1	w
1862	2	w
1862	335	w
1862	1	w
1862	1	w
1862	1	w
1862	1	w
1863	1	w
1863	1	w
1863	1	w
1863	1	w
1863	1	w
1863	1	w
1863	1	w
1863	1	w
1864	32	w
1864	1	w
1864	1	s
1864	2	s
1864	1	w
1864	1	w
1864	3	w
1864	1	w
1865	1	w
1865	1	w
1865	1	w
1865	1	w
1865	1	s
1865	7	s
1865	1	s
1865	1	s
1865	1	w
1865	2	w
1865	1	w
1865	1	w
1866	1	w
1866	1	w
1866	1	w
1866	1	w
1866	1	w
1866	1	w
1867	2	w
1867	1	w
1867	1	w
1867	2	w
1867	1	s
1867	1	s
1867	2	s
1867	1	w
1867	1	w
1867	1	w
1867	1	w
1868	1	w
1868	1	w
1868	1	w
1868	5	w
1868	1	s
1868	1	s
1868	1	s
1868	1	s
1868	1	s
1868	1	s
1869	1	w
1869	1	s
1869	2	s
1869	1	w
1869	1	w
1869	1	w
1869	1	w
1869	1	w
1870	1	w
1871	1	w
1871	1	w
1871	1	s
1871	1	s
1871	1	s
1871	2	s
1871	1	s
1871	1	s
1871	1	s
1871	2	s
1871	1	w
1871	2	w
1871	1	w
1871	1	w
1871	1	w
1871	1	w
1871	1	w
1872	1	w
1872	1	s
1873	1	w
1874	4	w
1878	1	w
1878	1	w
1878	1	w
1878	1	w
1878	1	w
1878	1	w
1878	1	w
1878	1	w
1878	1	w
1878	2	w
1878	1	w
1878	1	w
1878	1	w
1878	1	w
1878	2	w
1878	1	w
1878	1	w
1878	1	w
1878	2	w
1878	1	w
1878	1	w
1878	1	w
1878	1	w
1878	2	w
1878	2	w
1878	1	w
1878	1	w
1878	2	w
1878	1	w
1878	1	w
1879	1	w
1879	1	w
1879	2	w
1879	1	w
1879	1	w
1879	2	w
1879	3	s
1879	1	s
1879	2	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	2	w
1879	1	w
1880	1	w
1880	1	w
1880	1	w
1880	2	w
1880	1	w
1880	1	w
1880	1	w
1880	1	w
1880	1	w
1880	1	w
1880	1	w
1880	1	w
1880	2	w
1880	1	w
1880	1	w
1880	1	w
1880	1	w
1880	1	w
1880	1	w
1880	1	s
1880	3	w
1881	1	s
1888	1	s
1888	1	s
