year	delta	season
1803	30	w
1804	36	s
1805	38	w
1806	38	w
1808	47	w
1808	43	s
1815	38	w
1831	21	w
1831	22	w
1831	23	w
1831	30	w
1831	22	w
1831	28	s
1831	21	s
1832	21	w
1832	27	w
1832	20	w
1832	19	w
1832	21	w
1832	20	w
1832	25	w
1832	20	w
1832	21	s
1832	20	s
1832	20	s
1832	17	s
1833	24	w
1834	18	s
1838	18	w
1839	21	s
1846	18	s
1847	15	s
1847	21	s
1847	20	s
1847	14	s
1848	14	s
1848	16	s
1848	20	s
1848	15	w
1849	15	w
1849	15	w
1849	16	s
1849	17	s
1849	14	s
1849	16	s
1849	16	s
1849	15	s
1849	17	s
1849	14	s
1849	15	s
1849	15	s
1849	15	w
1849	19	w
1849	16	w
1850	17	w
1850	14	w
1850	16	w
1850	14	w
1851	18	w
1851	14	w
1851	13	w
1851	14	w
1851	15	w
1851	15	s
1851	12	s
1851	18	s
1851	16	s
1851	10	s
1851	15	s
1851	12	w
1852	13	s
1853	9	s
1854	12	s
1854	8	w
1855	18	w
1856	13	w
1856	10	w
1857	7	w
1857	7	s
1857	14	s
1857	8	s
1857	13	s
1857	8	s
1857	6	s
1857	7	s
1857	11	s
1857	10	s
1857	10	s
1857	10	s
1857	12	s
1857	8	s
1857	16	s
1857	6	s
1857	11	s
1857	7	s
1857	15	s
1859	13	w
1859	12	s
1859	14	s
1859	14	s
1859	7	s
1859	5	s
1859	11	s
1859	5	s
1859	13	s
1859	14	s
1859	14	s
1859	14	s
1859	7	w
1859	12	w
1859	7	w
1859	13	w
1860	12	w
1860	5	s
1860	7	s
1860	4	s
1860	12	s
1860	4	s
1860	9	w
1861	8	w
1866	2	s
1868	3	w
1868	3	s
1870	2	w
1870	2	w
1874	1	s
1874	6	s
1875	176	s
1888	1	s
