year	delta
1840	71
1840	56
1840	61
1840	48
1841	49
1841	51
1841	50
1841	42
1841	48
1841	52
1841	54
1841	57
1841	45
1841	48
1841	46
1841	48
1841	45
1842	48
1842	50
1842	52
1842	46
1842	49
1842	51
1842	60
1842	43
1842	46
1842	62
1842	42
1842	44
1842	46
1842	56
1842	59
1842	52
1842	47
1842	47
1843	47
1843	48
1843	48
1843	47
1843	49
1844	50
1844	46
1844	94
1844	45
1846	49
1849	39
1849	39
1849	51
1849	54
1850	44
1850	37
1850	44
1850	51
1850	49
1850	33
1851	38
1851	32
1851	40
1851	41
1851	51
1851	38
1851	31
1851	37
1851	32
1852	34
1852	37
1852	63
1852	35
1852	42
1852	59
1852	35
1852	38
1852	32
1852	37
1852	33
1852	40
1852	39
1852	41
1852	47
1852	42
1852	38
1852	40
1853	33
1853	30
1853	41
1853	35
1853	37
1853	43
1853	32
1853	35
1853	35
1853	49
1853	50
1853	40
1853	37
1854	35
1854	34
1854	34
1854	37
1854	34
1854	32
1854	35
1854	34
1854	40
1855	32
1855	34
1855	34
1855	41
1855	35
1855	40
1855	40
1855	35
1855	33
1855	31
1855	31
1856	33
1856	34
1856	38
1856	34
1856	33
1856	33
1856	36
1856	42
1856	12
1856	9
1856	40
1856	40
1856	37
1856	43
1856	39
1856	35
1856	32
1856	36
1856	30
1856	32
1857	31
1857	32
1857	34
1857	36
1857	39
1857	30
1857	31
1857	32
1857	36
1857	34
1857	30
1857	29
1857	33
1857	37
1857	32
1857	36
1857	37
1857	38
1857	35
1857	35
1857	31
1857	35
1857	37
1857	35
1857	37
1857	38
1857	35
1857	36
1857	38
1857	40
1857	33
1857	35
1857	31
1857	27
1858	30
1858	32
1858	29
1858	33
1858	36
1858	37
1858	32
1858	31
1858	23
1858	30
1858	33
1859	34
1859	37
1859	40
1859	41
1859	39
1859	40
1859	37
1859	30
1859	34
1859	38
1859	38
1859	35
1860	38
1860	32
1860	34
1860	46
1860	34
1860	36
1860	32
1860	32
1860	35
1860	33
1860	33
1860	36
1860	39
1860	33
1860	35
1861	26
1861	28
1862	30
1862	33
1863	26
1863	54
1863	30
1863	33
1866	30
1866	27
1866	28
1866	25
1867	4
1867	21
1868	22
1868	22
1868	24
1868	24
1868	27
1868	27
1868	7
1868	5
1868	25
1868	25
1868	27
1868	21
1868	20
1868	21
1869	5
1870	9
1872	2
1873	3
1874	3
1875	1
1875	3
1875	2
1875	3
1875	3
1878	3
1878	2
1878	2
1878	3
1878	3
1881	3
1881	3
1881	3
1881	3
1885	1
1885	2
1885	1
1885	1
1885	3
1885	2
1885	2
1885	2
1885	2
1886	2
1886	9
1887	2
1887	2
1887	2
1887	1
1887	1
1887	1
1887	1
1887	2
1887	1
1887	1
1887	1
1887	1
