year	delta	season
1808	35	w
1808	30	w
1809	28	s
1809	31	w
1810	36	s
1815	35	w
1815	29	s
1815	29	s
1816	32	w
1817	39	s
1817	61	s
1820	26	w
1823	24	w
1823	20	w
1831	25	w
1832	18	w
1838	12	s
1839	13	w
1842	13	w
1846	21	w
1848	11	w
1850	25	s
1852	8	s
1852	9	s
1852	8	s
1853	14	w
1853	14	w
1856	8	w
1859	9	s
1859	7	s
1859	7	w
1866	9	s
1866	8	s
1867	9	w
1867	9	s
1868	3	s
1868	3	s
1868	2	s
1868	3	s
1868	9	s
1869	2	s
1869	6	s
1869	2	s
1869	15	w
1869	4	w
1869	11	w
1870	6	s
1870	2	w
1870	3	w
1870	5	w
1870	4	w
1870	2	w
1870	2	w
1870	2	w
1870	3	w
1870	3	w
1870	11	w
1870	4	w
1870	3	w
1870	2	w
1870	2	w
1870	4	w
1870	3	w
1870	5	w
1870	3	w
1870	10	w
1870	3	w
1870	10	w
1870	3	w
1870	3	w
1870	3	w
1871	2	w
1871	3	w
1871	4	w
1871	3	w
1871	8	w
1871	3	w
1871	3	w
1871	3	w
1871	3	w
1871	4	w
1871	4	w
1871	3	w
1871	4	w
1871	3	w
1871	4	w
1871	2	w
1871	4	w
1871	3	w
1871	1	w
1871	7	w
1871	6	w
1871	4	w
1871	3	w
1871	2	w
1871	2	w
1871	3	w
1871	7	w
1871	4	w
1871	2	w
1871	2	w
1871	4	w
1871	3	w
1871	3	w
1871	1	w
1871	4	w
1871	3	w
1871	1	w
1871	2	w
1871	3	w
1871	5	w
1871	4	w
1871	5	w
1871	4	w
1871	5	w
1871	12	w
1871	9	w
1871	4	w
1871	3	w
1871	11	w
1871	11	w
1871	2	w
1871	2	w
1871	9	w
1871	4	w
1871	3	w
1871	4	w
1871	3	w
1871	3	w
1871	3	w
1871	3	w
1871	2	w
1871	2	w
1871	10	w
1871	3	w
1871	3	w
1871	1	w
1871	3	w
1871	3	w
1871	3	w
1871	4	w
1871	3	w
1871	3	w
1871	5	w
1871	4	w
1871	3	w
1871	5	w
1871	3	w
1871	8	w
1871	3	w
1871	3	w
1871	4	w
1871	3	w
1871	3	w
1871	3	w
1871	2	w
1871	2	w
1871	3	s
1871	5	s
1875	5	s
1877	2	s
1877	2	w
1879	1	s
1885	1	s
1887	2	s
1888	2	s
