year	delta
1806	53
1806	38
1807	60
1809	39
1809	17
1809	19
1811	26
1811	24
1813	19
1814	18
1814	17
1814	26
1815	25
1815	19
1815	19
1816	19
1816	20
1818	22
1819	17
1819	19
1821	20
1821	18
1821	21
1824	19
1828	23
1830	22
1830	14
1830	10
1830	15
1830	13
1830	15
1830	14
1830	16
1830	11
1830	10
1830	14
1830	12
1830	11
1830	11
1830	12
1831	12
1831	12
1831	12
1831	12
1831	16
1832	14
1832	11
1832	11
1832	15
1832	15
1833	10
1833	20
1833	12
1833	13
1833	12
1834	22
1834	10
1834	20
1834	9
1834	32
1835	51
1835	20
1836	15
1836	10
1837	17
1837	7
1837	12
1837	17
1838	11
1838	11
1839	10
1839	9
1839	12
1839	12
1839	18
1839	7
1839	9
1839	8
1839	9
1840	12
1840	8
1841	7
1841	9
1841	11
1841	16
1842	13
1842	14
1842	9
1843	14
1843	9
1844	9
1844	8
1844	20
1845	12
1845	12
1845	7
1846	7
1846	6
1846	7
1847	14
1848	8
1848	6
1848	7
1848	16
1848	8
1848	7
1848	6
1848	11
1849	6
1849	8
1849	7
1849	9
1849	9
1849	7
1849	14
1850	7
1850	8
1850	9
1850	8
1850	9
1850	11
1850	7
1850	9
1850	8
1851	10
1852	6
1852	7
1853	7
1853	5
1853	13
1854	8
1854	8
1854	7
1855	10
1856	6
1856	19
1856	9
1856	6
1856	9
1857	5
1857	9
1857	9
1858	6
1858	6
1858	7
1859	7
1860	5
1860	7
1861	9
1861	6
1861	6
1861	6
1861	6
1861	6
1861	6
1861	6
1861	6
1861	5
1861	7
1861	6
1861	8
1861	9
1863	14
1863	5
1864	4
1865	8
1866	4
1867	8
1867	14
1867	12
1869	9
1869	6
1869	5
1870	9
1870	7
1870	3
1871	7
1871	7
1871	3
1871	6
1871	8
1872	3
1872	4
1873	3
1873	3
1873	4
1873	7
1873	4
1873	4
1873	3
1873	5
1874	5
1874	6
1874	4
1874	3
1875	4
1876	15
1878	4
1878	2
1879	3
1879	4
1879	2
1879	2
1879	2
1884	2
1884	2
1884	2
1884	2
1884	2
1884	2
1885	1
1885	12
1885	4
1885	1
1885	1
1885	2
1885	2
1885	2
1885	2
1885	2
1885	2
