year	delta	season
1802	18	s
1804	16	s
1806	16	s
1807	34	s
1807	39	w
1808	38	w
1810	19	s
1813	28	s
1813	15	w
1813	15	w
1813	20	w
1814	24	w
1814	18	s
1815	19	s
1815	17	w
1817	17	w
1818	16	w
1819	16	s
1821	16	s
1825	14	s
1827	15	w
1827	16	w
1831	12	s
1831	12	s
1832	13	s
1833	23	w
1834	11	w
1834	21	w
1834	11	s
1834	10	w
1834	12	w
1835	16	w
1835	11	s
1835	14	s
1836	10	w
1836	13	w
1836	10	s
1836	12	s
1837	15	w
1837	11	s
1838	10	s
1838	12	s
1838	13	s
1839	11	w
1840	10	w
1841	10	w
1841	10	w
1841	10	w
1841	8	s
1841	11	s
1841	23	w
1841	20	w
1842	9	s
1842	16	s
1842	9	s
1842	12	w
1843	9	w
1843	16	s
1844	13	w
1844	6	s
1845	13	w
1845	10	w
1845	11	s
1845	8	s
1845	27	s
1845	9	w
1845	21	w
1846	8	w
1846	9	w
1846	9	w
1846	9	s
1846	9	s
1846	15	s
1846	8	s
1846	9	s
1846	7	s
1847	14	w
1847	11	w
1847	10	w
1847	9	w
1847	7	w
1847	15	w
1847	11	w
1847	7	s
1847	7	s
1847	7	s
1847	10	s
1847	10	s
1847	6	s
1847	9	s
1847	9	s
1847	8	w
1847	9	w
1848	15	w
1848	8	w
1848	8	w
1848	11	w
1848	7	s
1848	6	s
1848	6	s
1848	10	s
1848	6	s
1848	6	s
1848	8	s
1848	9	s
1848	7	w
1849	6	w
1849	7	w
1849	12	w
1849	7	w
1849	7	s
1849	6	s
1849	7	s
1849	7	s
1849	7	w
1849	8	w
1849	8	w
1849	7	w
1849	7	w
1849	9	w
1850	7	w
1850	8	w
1850	8	w
1850	6	s
1850	8	s
1850	6	s
1850	8	s
1850	7	w
1851	8	w
1851	7	w
1851	44	w
1851	8	s
1851	15	s
1851	7	s
1851	6	s
1851	7	s
1851	6	s
1851	6	s
1851	8	s
1851	6	s
1851	7	w
1851	7	w
1851	6	w
1852	6	w
1852	7	w
1852	6	w
1852	7	w
1852	6	w
1852	6	w
1852	9	w
1852	7	w
1852	5	w
1852	6	w
1852	5	w
1852	6	w
1852	6	w
1852	7	w
1852	6	w
1852	5	w
1852	7	w
1852	7	w
1852	7	w
1852	7	w
1852	11	w
1852	8	w
1852	5	s
1852	4	s
1852	5	s
1852	7	s
1852	6	s
1852	5	s
1852	7	s
1852	7	s
1852	8	s
1852	8	s
1852	7	s
1852	6	s
1852	7	s
1852	9	s
1852	6	s
1852	8	s
1852	14	s
1852	8	s
1852	6	s
1852	9	s
1852	7	s
1852	5	s
1852	8	s
1852	6	s
1852	8	s
1852	6	s
1852	8	s
1852	14	s
1852	11	s
1852	9	s
1852	7	w
1852	7	w
1852	8	w
1853	9	w
1853	9	w
1853	8	w
1853	6	w
1853	8	w
1853	7	w
1853	8	s
1853	7	s
1853	30	w
1853	6	s
1853	9	s
1853	8	s
1853	7	s
1853	5	s
1853	6	s
1853	4	s
1853	6	s
1853	6	w
1853	5	w
1853	6	w
1853	5	w
1854	6	w
1854	4	w
1854	4	w
1854	8	s
1854	4	s
1854	5	s
1854	7	s
1854	5	s
1854	10	s
1854	5	s
1854	10	w
1854	5	w
1854	5	w
1854	18	w
1855	7	w
1855	7	s
1855	5	s
1855	7	s
1855	4	w
1855	12	w
1855	7	w
1855	11	w
1856	11	w
1856	7	w
1856	7	w
1856	8	w
1856	8	w
1856	8	w
1856	5	s
1856	5	s
1856	7	s
1856	11	s
1856	7	s
1856	7	s
1856	9	w
1857	7	s
1857	4	s
1857	5	s
1857	5	s
1857	6	s
1857	5	s
1857	8	s
1857	8	s
1857	6	s
1857	7	s
1857	8	w
1857	10	w
1858	7	w
1858	4	w
1858	10	w
1858	8	s
1858	8	s
1858	8	s
1858	9	s
1858	9	s
1858	8	w
1858	5	w
1858	9	w
1858	7	w
1858	6	w
1858	11	w
1858	5	w
1859	10	w
1859	8	w
1859	9	s
1859	6	s
1859	8	s
1859	7	w
1860	6	w
1860	6	w
1860	8	w
1860	5	w
1860	7	s
1860	12	s
1860	7	s
1860	7	s
1860	7	s
1860	6	s
1860	7	s
1860	6	w
1861	7	w
1861	6	s
1861	6	s
1861	6	s
1861	6	s
1861	9	s
1861	11	w
1861	6	w
1861	7	w
1862	6	w
1862	8	s
1863	3	s
1863	9	s
1863	5	w
1864	12	s
1864	2	s
1864	4	w
1865	8	s
1865	9	s
1865	3	s
1865	8	s
1865	7	s
1865	7	s
1865	10	s
1865	3	s
1866	3	w
1866	4	w
1866	4	s
1866	3	s
1866	1	w
1866	4	w
1866	1	w
1867	1	s
1867	5	s
1867	4	s
1867	6	s
1867	13	s
1867	3	s
1867	12	w
1867	6	w
1868	2	w
1868	12	w
1868	4	w
1868	8	w
1868	6	w
1868	6	s
1868	5	s
1868	16	s
1868	3	s
1868	3	w
1868	1	w
1868	1	w
1869	2	s
1869	6	s
1869	19	s
1870	4	s
1870	4	s
1870	5	s
1870	2	s
1870	8	s
1870	3	s
1870	7	s
1870	10	w
1870	2	w
1870	4	w
1870	2	w
1870	3	w
1871	4	w
1871	3	w
1871	2	s
1872	5	w
1872	2	s
1874	5	s
1874	3	s
1874	2	s
1874	4	w
1874	3	w
1874	3	w
1875	4	w
1875	2	s
1875	3	w
1875	3	w
1876	4	w
1876	4	w
1876	3	w
1877	5	w
1877	4	w
1877	10	s
1878	2	s
1879	34	s
1880	5	w
1880	214	s
1880	2	s
1880	5	w
1880	2	w
1881	4	s
1881	2	s
1881	2	w
1883	1	s
1883	2	s
1884	2	s
1884	2	s
1884	1	s
1884	2	w
1884	2	w
1885	1	s
1885	2	s
1886	2	s
1886	3	w
1887	3	w
1887	4	s
1887	2	s
1888	2	s
1888	2	s
1888	2	s
1888	2	w
