year	delta	season
1851	9	w
1852	9	w
1852	11	s
1852	7	w
1853	6	w
1854	6	s
1855	6	s
1858	5	w
1858	4	w
1858	5	w
1861	7	s
1861	6	s
1866	6	s
1866	6	s
1866	7	s
1866	6	s
1866	6	s
1866	5	s
1866	6	s
1866	5	s
1866	6	s
1866	6	s
1866	6	s
1866	6	s
1866	5	s
1866	4	s
1866	6	s
1866	6	s
1866	9	s
1866	6	s
1866	5	s
1866	6	s
1866	7	s
1866	6	w
1866	7	w
1867	6	s
1867	8	s
1867	7	s
1867	6	s
1867	5	s
1867	5	s
1867	6	s
1867	6	s
1867	6	s
1867	6	s
1867	7	w
1867	6	w
1867	6	w
1867	8	w
1867	8	w
1867	7	w
1868	9	s
1868	9	s
1868	5	s
1868	6	s
1868	7	s
1868	8	s
1868	8	s
1868	6	s
1868	9	s
1868	7	s
1868	5	s
1868	7	s
1868	5	s
1868	4	s
1868	7	s
1868	6	w
1868	6	w
1868	6	w
1868	6	w
1869	7	s
1869	8	s
1869	8	s
1869	6	s
1869	7	s
1869	14	w
1869	12	w
1869	7	w
1870	3	s
1870	2	w
1880	5	s
1881	4	w
1881	2	w
1884	1	w
1885	4	w
1888	8	w
1888	10	w
