year	delta	season
1805	24	w
1805	25	w
1805	21	w
1806	23	w
1806	31	w
1806	22	w
1806	52	s
1807	38	w
1807	54	w
1807	56	s
1808	21	w
1808	18	s
1808	17	w
1809	24	s
1810	18	s
1811	18	s
1811	18	s
1812	70	s
1813	17	w
1813	18	w
1813	15	w
1813	15	w
1813	18	w
1813	18	w
1813	15	w
1813	16	s
1813	17	s
1813	18	s
1813	18	s
1813	16	s
1813	16	s
1813	18	s
1813	18	s
1813	18	s
1813	18	w
1814	17	w
1814	20	s
1815	21	w
1815	20	w
1815	17	s
1815	20	s
1816	24	w
1816	20	s
1818	20	s
1818	20	s
1818	21	s
1818	18	s
1820	17	w
1829	15	s
1829	11	s
1830	17	s
1834	17	w
1838	8	s
1838	11	s
1838	9	s
1838	14	s
1838	10	w
1839	9	s
1839	9	s
1839	8	w
1840	9	w
1840	6	w
1840	8	s
1841	8	w
1841	8	s
1841	8	s
1841	9	s
1841	8	s
1841	8	s
1842	8	s
1842	7	s
1842	6	w
1843	13	w
1843	13	w
1843	10	w
1843	20	s
1843	9	s
1843	7	s
1843	8	s
1843	8	s
1843	9	s
1843	8	w
1843	8	w
1843	10	w
1844	7	w
1844	9	w
1844	7	s
1844	8	s
1844	7	s
1844	8	s
1844	17	w
1844	12	w
1844	10	w
1844	8	w
1845	9	w
1845	8	w
1845	11	w
1845	10	w
1845	9	w
1845	10	w
1845	8	w
1845	9	w
1845	9	w
1845	11	w
1845	8	s
1845	8	s
1845	11	s
1845	9	s
1845	9	s
1845	9	s
1845	10	s
1845	10	s
1845	8	s
1845	17	s
1845	8	s
1845	15	s
1845	7	s
1845	12	w
1845	17	w
1845	12	w
1846	13	w
1846	16	w
1846	7	w
1846	11	w
1846	8	w
1846	10	w
1846	7	w
1846	10	w
1846	6	w
1846	12	w
1846	9	w
1846	14	w
1846	11	w
1846	7	s
1846	7	s
1846	20	s
1846	12	s
1846	8	s
1846	13	s
1846	16	s
1846	14	s
1846	11	s
1846	6	s
1846	17	s
1846	6	s
1846	7	s
1846	7	s
1846	9	w
1846	6	w
1846	6	w
1846	7	w
1846	21	w
1846	12	w
1846	8	w
1846	8	w
1846	6	w
1847	16	w
1847	17	w
1847	9	w
1847	8	w
1847	18	w
1847	8	w
1847	7	w
1847	13	w
1847	13	s
1847	8	s
1847	6	s
1847	8	s
1847	9	s
1847	8	s
1847	7	s
1847	9	s
1847	6	s
1847	8	s
1847	7	s
1847	14	s
1847	6	s
1847	10	s
1847	9	s
1847	7	w
1847	6	w
1848	8	w
1848	7	w
1848	12	w
1848	12	w
1848	8	w
1848	7	w
1848	7	s
1848	7	s
1848	7	s
1848	6	s
1848	6	s
1848	6	s
1848	8	s
1848	6	s
1848	7	s
1848	6	s
1848	8	s
1848	7	s
1848	7	s
1848	7	s
1848	7	s
1848	6	s
1848	6	s
1848	8	s
1848	6	s
1848	8	s
1848	7	s
1848	11	w
1848	6	w
1848	6	w
1848	6	w
1848	7	w
1848	6	w
1848	6	w
1848	6	w
1848	6	w
1848	6	w
1848	7	w
1848	7	w
1848	6	w
1848	6	w
1848	10	w
1848	6	w
1848	7	w
1848	6	w
1849	7	w
1849	6	w
1849	7	w
1849	7	w
1849	10	w
1849	7	s
1849	6	s
1849	6	s
1849	7	s
1849	6	s
1849	7	s
1849	8	s
1849	6	s
1849	8	s
1849	6	s
1849	6	s
1849	7	s
1849	77	s
1849	6	w
1849	7	w
1849	8	w
1850	9	w
1850	8	w
1850	10	s
1850	8	s
1850	6	s
1850	6	s
1850	7	s
1850	6	s
1850	8	s
1850	8	w
1850	6	w
1850	6	w
1850	6	w
1850	6	w
1850	7	w
1850	6	w
1850	7	w
1850	7	w
1850	6	w
1851	12	w
1851	11	s
1851	6	s
1851	7	s
1851	5	s
1852	7	w
1852	7	w
1852	6	s
1852	6	s
1852	9	s
1852	8	s
1852	10	s
1852	6	s
1852	13	s
1852	10	s
1852	7	w
1853	5	w
1853	7	w
1853	6	w
1853	7	w
1853	10	w
1853	8	w
1853	6	s
1853	4	s
1853	9	s
1853	14	s
1853	13	s
1853	5	s
1853	7	s
1853	9	s
1853	7	s
1853	5	s
1853	5	s
1853	6	w
1853	5	w
1853	5	w
1853	2	w
1853	7	w
1853	8	w
1854	5	w
1854	5	s
1854	6	s
1854	6	s
1854	5	s
1854	5	s
1854	5	s
1854	6	s
1854	5	s
1854	6	s
1854	5	s
1854	5	s
1854	5	s
1854	6	s
1854	6	s
1854	6	s
1854	7	s
1854	7	s
1854	4	w
1854	5	w
1854	5	w
1854	10	w
1854	7	w
1854	8	w
1854	9	w
1855	10	w
1855	11	w
1855	10	s
1855	5	s
1855	6	s
1855	6	w
1856	6	w
1856	7	s
1856	10	s
1856	5	s
1856	6	s
1857	4	w
1857	5	s
1857	6	s
1857	6	s
1857	6	s
1857	4	s
1857	4	s
1857	9	s
1857	7	s
1857	6	s
1857	11	w
1857	12	w
1857	11	w
1858	4	w
1858	5	s
1858	5	s
1858	9	s
1858	7	s
1858	7	s
1858	9	s
1858	6	s
1858	9	s
1858	9	s
1858	9	w
1858	5	w
1858	8	w
1858	7	w
1858	10	w
1859	5	w
1859	7	s
1859	8	s
1859	5	w
1859	4	w
1859	6	w
1859	3	w
1859	6	w
1859	3	w
1859	6	w
1859	6	w
1859	6	w
1860	11	s
1860	5	s
1861	3	w
1861	4	s
1861	4	s
1861	6	s
1861	9	s
1861	6	s
1861	3	s
1861	6	s
1861	5	s
1861	6	s
1861	6	s
1861	6	s
1861	5	s
1861	5	s
1861	6	w
1861	6	w
1862	4	s
1862	3	w
1862	3	w
1863	4	w
1863	3	w
1863	2	w
1863	4	w
1863	4	w
1863	4	w
1863	4	w
1863	5	w
1863	4	w
1863	4	w
1863	3	w
1863	4	w
1863	3	w
1863	4	w
1863	4	w
1863	3	w
1863	3	w
1863	3	w
1863	3	w
1863	3	w
1863	3	w
1863	3	w
1863	3	w
1863	3	w
1863	3	s
1863	4	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	4	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	4	s
1863	3	s
1863	3	s
1863	3	w
1863	4	w
1863	3	w
1863	10	w
1864	3	w
1864	3	w
1864	4	w
1864	3	w
1864	3	s
1864	3	s
1864	5	s
1864	6	s
1865	2	s
1866	12	w
1866	2	w
1866	10	w
1866	2	s
1866	2	s
1866	2	s
1866	3	s
1866	7	s
1866	3	w
1867	2	s
1867	7	s
1868	3	s
1868	3	s
1868	2	s
1868	2	s
1868	7	w
1869	3	w
1869	3	w
1869	2	s
1870	2	s
1870	5	s
1870	3	w
1870	2	w
1870	2	w
1870	4	w
1871	6	s
1871	2	s
1871	9	s
1871	2	s
1871	3	s
1871	6	s
1871	3	s
1871	3	w
1872	4	w
1872	2	w
1872	2	w
1872	4	s
1872	2	s
1872	2	s
1872	2	s
1872	2	w
1873	3	w
1873	2	w
1873	4	w
1873	3	w
1873	2	s
1873	4	s
1873	3	s
1873	3	s
1873	2	s
1873	2	s
1873	3	w
1873	3	w
1873	3	w
1873	3	w
1873	2	w
1873	3	w
1873	3	w
1874	4	w
1874	3	w
1874	3	w
1874	5	s
1874	5	s
1874	6	s
1874	5	s
1874	4	s
1874	1	s
1874	3	s
1874	3	s
1874	3	s
1874	5	w
1875	5	w
1875	3	w
1875	3	w
1875	4	w
1875	3	s
1875	2	s
1875	2	s
1875	2	s
1875	5	s
1875	3	s
1875	2	s
1875	2	w
1875	3	w
1876	3	s
1876	4	s
1876	3	w
1877	3	w
1877	4	s
1877	3	w
1878	3	s
1878	5	s
1878	2	w
1879	10	s
1879	2	w
1879	4	w
1880	4	w
1880	2	s
1880	3	s
1881	2	w
1881	3	s
1881	2	s
1881	2	s
1881	8	s
1881	2	s
1881	2	w
1881	2	w
1881	1	w
1883	2	s
1884	2	s
1884	2	s
1885	2	w
1885	2	s
1885	3	s
1885	2	w
1886	3	s
1886	2	s
1886	2	s
1886	2	s
1886	3	s
1886	2	w
1886	2	w
1887	2	w
1887	4	s
1887	2	s
1887	4	s
1887	3	s
1888	4	s
1888	2	s
1888	2	s
1888	2	w
