year	delta	season
1802	23	w
1802	24	w
1802	21	s
1803	21	w
1803	24	w
1803	25	w
1803	20	w
1803	20	w
1803	22	s
1803	19	s
1803	21	s
1803	25	s
1803	21	s
1803	23	s
1803	20	s
1803	23	s
1803	22	s
1803	21	s
1803	20	s
1803	23	s
1803	23	s
1803	23	s
1803	23	s
1803	23	w
1803	20	w
1803	21	w
1803	20	w
1803	22	w
1803	24	w
1804	21	w
1804	21	s
1804	23	s
1805	21	s
1805	21	s
1808	27	w
1808	42	w
1809	26	w
1810	22	s
1810	23	s
1810	22	s
1810	21	s
1810	25	s
1810	22	s
1811	22	s
1811	22	s
1811	24	s
1813	32	s
1814	28	w
1814	24	w
1814	27	w
1814	25	w
1814	21	w
1814	24	w
1814	20	w
1814	24	w
1814	26	w
1814	19	s
1814	24	s
1814	23	s
1814	23	s
1814	25	s
1814	23	s
1814	23	s
1814	21	s
1814	22	s
1814	20	s
1814	21	s
1814	20	w
1814	22	w
1814	19	w
1814	20	w
1814	23	w
1815	23	w
1815	21	w
1815	22	w
1815	22	w
1815	22	w
1815	24	w
1815	19	w
1815	19	w
1815	21	w
1815	24	w
1815	22	w
1815	21	w
1815	20	s
1815	23	s
1815	20	s
1815	15	s
1815	22	s
1815	20	s
1815	20	s
1815	22	s
1815	20	s
1815	20	s
1815	20	s
1815	30	s
1815	20	s
1815	20	s
1815	20	s
1815	20	s
1815	20	s
1815	21	s
1815	21	s
1815	20	s
1815	24	s
1815	20	s
1815	20	s
1815	20	s
1815	20	s
1815	20	s
1815	20	s
1815	50	s
1815	20	s
1815	20	s
1815	23	s
1815	21	s
1815	20	s
1815	20	s
1815	20	s
1815	22	s
1815	23	s
1815	21	s
1815	21	s
1815	21	s
1815	20	s
1815	20	s
1815	21	s
1815	20	s
1815	20	w
1815	22	w
1815	20	w
1815	20	w
1815	20	w
1815	20	w
1815	21	w
1816	20	w
1816	115	s
1816	23	w
1816	20	w
1816	25	w
1816	24	w
1816	22	w
1816	20	w
1816	26	w
1816	29	w
1816	20	w
1816	22	w
1816	25	w
1816	20	w
1816	20	s
1816	21	s
1816	20	s
1816	21	s
1816	20	s
1816	15	s
1816	21	s
1816	20	s
1816	20	s
1816	19	s
1816	22	s
1816	20	s
1816	21	s
1816	21	s
1816	21	s
1816	21	s
1816	20	s
1816	21	s
1816	18	s
1816	24	s
1816	20	s
1816	20	w
1816	20	w
1816	20	w
1816	20	w
1816	22	w
1816	20	w
1816	20	w
1816	24	w
1816	20	w
1816	22	w
1816	20	w
1816	20	w
1816	22	w
1817	28	w
1817	20	w
1817	23	w
1817	20	w
1817	23	w
1817	22	w
1817	20	w
1817	20	w
1817	20	w
1817	19	w
1817	26	w
