year	delta	season
1810	30	s
1813	44	s
1813	31	s
1865	2	s
1865	5	s
1865	3	s
1865	4	s
1865	3	s
1865	9	w
1865	4	w
1865	4	w
1865	3	w
1865	2	w
1865	4	w
1865	8	w
1865	3	w
1866	5	w
1866	4	w
1866	4	w
1866	4	w
1866	4	w
1866	4	w
1866	3	w
1866	3	w
1866	3	w
1866	5	w
1866	4	w
1866	5	s
1866	5	s
1866	6	s
1866	3	s
1866	3	w
1866	3	w
1866	4	w
1866	4	w
1866	4	w
1866	4	w
1866	3	w
1867	2	w
1867	2	w
1867	3	w
1867	2	w
1867	3	w
1867	2	w
1867	2	w
1867	4	w
1867	2	w
1867	2	w
1867	2	w
1867	4	s
1867	13	s
1867	8	s
1867	3	s
1868	3	w
1868	4	w
1868	3	s
1868	10	w
1868	3	s
1868	6	s
1868	7	s
1868	6	s
1868	3	s
1868	4	s
1868	3	s
1868	5	s
1868	3	s
1868	3	s
1868	1	s
1868	4	s
1868	4	s
1868	5	s
1868	4	s
1868	4	s
1868	3	s
1868	3	s
1868	3	s
1868	8	s
1868	3	s
1868	2	s
1868	6	s
1868	3	s
1868	3	s
1868	3	s
1868	2	s
1868	5	s
1868	2	s
1868	5	s
1868	2	s
1868	3	s
1868	6	s
1868	6	w
1868	3	w
1868	3	w
1868	2	w
1868	1	w
1868	6	w
1868	4	w
1868	2	w
1868	6	w
1868	3	w
1868	3	w
1868	8	w
1868	7	w
1868	3	w
1868	3	w
1868	1	w
1868	5	w
1868	6	w
1868	6	w
1868	7	w
1868	6	w
1868	7	w
1868	2	w
1868	3	w
1868	6	w
1868	3	w
1869	2	w
1869	6	w
1869	6	w
1869	7	w
1869	6	w
1869	5	w
1869	3	w
1869	4	w
1869	7	w
1869	9	w
1869	10	w
1869	3	w
1869	3	w
1869	2	s
1869	6	s
1869	8	s
1869	2	s
1869	6	s
1869	5	s
1869	6	s
1869	4	s
1869	6	s
1869	3	s
1869	6	s
1869	3	s
1869	5	s
1869	3	s
1869	6	s
1869	7	s
1869	7	s
1869	7	s
1869	5	s
1869	7	s
1869	4	s
1869	6	s
1869	8	s
1869	2	s
1869	4	s
1869	6	s
1869	6	s
1869	3	w
1869	3	w
1869	2	w
1869	3	w
1869	3	w
1869	2	w
1869	4	w
1869	2	w
1869	2	w
1869	3	w
1869	7	w
1870	6	w
1870	3	w
1870	7	w
1870	9	w
