year	delta	season
1804	33	s
1807	91	w
1807	70	w
1808	80	s
1808	49	w
1809	53	w
1809	48	w
1809	55	s
1816	52	s
1818	38	s
1818	48	w
1819	82	w
1821	52	w
1822	41	w
1822	45	s
1822	38	s
1822	32	s
1822	38	s
1822	46	w
1823	44	w
1824	37	s
1824	38	s
1824	41	s
1824	38	s
1825	32	s
1825	38	w
1826	34	s
1827	34	w
1828	39	w
1828	40	w
1828	42	w
1828	30	w
1828	38	w
1828	35	w
1828	30	w
1828	28	w
1828	31	s
1828	32	s
1828	28	s
1828	31	s
1828	28	s
1828	30	s
1828	32	s
1828	34	w
1828	30	w
1828	26	w
1829	29	w
1829	32	w
1829	28	w
1829	27	w
1829	29	w
1829	31	w
1829	32	w
1829	34	w
1829	32	w
1829	32	s
1829	35	s
1829	31	s
1829	30	s
1829	23	s
1829	29	s
1829	29	s
1829	31	s
1829	27	s
1829	30	s
1829	30	s
1829	29	s
1829	28	s
1829	32	s
1829	27	s
1829	27	s
1829	35	s
1829	30	s
1829	27	s
1829	27	w
1829	29	w
1829	31	w
1829	33	w
1829	33	w
1829	29	w
1830	33	w
1830	33	w
1830	26	w
1830	34	w
1830	27	w
1830	31	w
1830	25	w
1830	33	w
1830	32	s
1830	28	s
1830	30	s
1830	22	s
1831	29	w
1831	43	w
1831	33	w
1831	34	s
1831	35	w
1833	45	w
1833	37	s
1833	38	s
1834	34	s
1834	39	s
1835	34	s
1837	25	w
1837	26	w
1838	52	w
1838	54	w
1838	24	w
1839	26	w
1840	23	w
1840	24	s
1840	36	w
1840	37	w
1842	17	w
1842	29	w
1842	29	w
1843	25	w
1843	16	s
1843	33	s
1843	23	s
1844	44	w
1844	19	s
1847	26	s
1848	16	s
1848	20	s
1848	22	s
1848	19	s
1848	27	s
1848	30	s
1848	19	s
1848	19	s
1849	40	w
1849	28	w
1849	17	w
1849	20	w
1849	19	s
1849	23	s
1849	17	s
1849	25	s
1849	20	s
1849	23	s
1849	21	w
1850	24	w
1850	25	w
1850	22	w
1850	20	w
1850	17	s
1850	17	w
1851	18	w
1851	22	s
1851	21	s
1853	25	s
1853	9	s
1853	13	s
1853	15	s
1853	13	w
1853	15	w
1853	14	w
1853	13	w
1853	8	w
1853	7	w
1853	15	w
1853	7	w
1853	14	w
1853	14	w
1853	14	w
1853	12	w
1853	28	w
1854	15	w
1854	15	w
1854	17	w
1854	13	w
1854	10	w
1854	8	w
1854	12	w
1854	12	s
1854	11	s
1854	13	s
1854	12	s
1854	14	s
1854	14	s
1854	11	s
1854	9	s
1854	12	s
1854	17	s
1854	7	s
1854	8	s
1854	11	s
1854	7	s
1854	12	s
1854	13	s
1854	9	s
1854	9	s
1854	11	s
1854	8	s
1854	12	s
1854	13	s
1854	9	s
1854	16	s
1854	14	s
1854	17	s
1854	14	s
1854	30	s
1854	14	s
1854	13	s
1854	14	s
1854	13	s
1854	12	s
1854	15	s
1854	14	s
1854	17	s
1854	16	s
1854	13	s
1854	10	s
1854	16	s
1854	16	s
1854	8	s
1854	15	s
1854	14	s
1854	14	w
1854	18	w
1854	16	w
1854	14	w
1854	17	w
1854	9	w
1854	17	w
1854	14	w
1854	11	w
1854	14	w
1855	3	w
1855	16	w
1855	16	w
1855	23	w
1855	18	w
1855	8	s
1855	16	s
1855	13	s
1855	15	s
1855	13	s
1855	20	s
1855	14	s
1855	16	s
1855	13	s
1855	15	s
1855	14	s
1855	18	s
1855	12	w
1855	14	w
1855	14	w
1855	13	w
1855	13	w
1855	14	w
1855	15	w
1855	14	w
1856	21	w
1856	15	w
1856	14	w
1856	7	w
1856	13	w
1856	15	w
1856	16	w
1856	20	w
1856	13	s
1856	15	s
1856	15	s
1856	15	s
1856	13	s
1856	13	s
1856	17	s
1856	11	s
1856	12	s
1856	16	s
1856	15	s
1856	18	s
1857	9	w
1857	18	w
1857	20	s
1857	14	s
1857	14	s
1857	12	s
1857	9	s
1857	14	s
1857	16	s
1857	15	w
1857	12	w
1857	15	w
1857	11	w
1857	7	w
1857	24	w
1857	11	w
1858	19	w
1858	19	w
1858	27	w
1858	21	s
1858	18	s
1858	13	s
1858	19	w
1858	13	w
1858	8	w
1858	15	w
1859	13	w
1859	5	w
1859	5	w
1859	17	w
1859	12	w
1859	6	w
1859	12	w
1859	15	w
1859	13	w
1859	12	w
1859	23	w
1859	14	w
1859	13	w
1859	23	w
1859	17	w
1859	13	w
1859	15	w
1859	11	w
1859	8	w
1859	13	w
1859	16	w
1859	15	s
1859	15	s
1859	15	s
1859	15	s
1859	15	s
1859	17	s
1859	16	s
1859	17	s
1859	16	s
1859	14	s
1859	15	s
1859	13	s
1859	17	s
1859	8	s
1859	13	w
1859	14	w
1859	17	w
1859	15	w
1859	15	w
1859	7	w
1859	16	w
1860	12	w
1860	13	w
1860	15	w
1860	16	w
1860	10	w
1860	15	s
1860	11	s
1860	15	s
1860	18	w
1861	11	w
1861	25	w
1861	16	s
1862	3	s
1862	11	w
1862	18	w
1862	9	w
1862	4	w
1862	5	w
1863	4	w
1863	5	w
1863	4	w
1863	3	s
1863	5	s
1863	4	s
1863	22	s
1863	4	w
1863	5	w
1863	4	w
1864	5	w
1864	5	w
1864	4	w
1864	7	w
1864	6	w
1864	5	s
1864	4	s
1864	5	s
1864	6	s
1864	3	s
1865	3	w
1865	4	w
1865	3	s
1865	3	s
1865	4	s
1865	6	s
1865	5	s
1865	4	s
1865	4	w
1865	18	w
1865	3	w
1866	5	w
1866	5	w
1866	3	w
1866	3	w
1866	2	w
1866	3	w
1866	3	w
1866	4	w
1866	4	w
1866	4	w
1866	3	s
1866	4	s
1866	4	s
1866	3	s
1866	2	s
1866	5	s
1866	4	s
1866	4	s
1866	4	s
1866	2	s
1866	4	s
1866	4	s
1866	6	s
1866	3	s
1866	3	s
1866	5	s
1866	4	s
1866	2	s
1866	4	s
1866	5	s
1866	4	s
1866	3	s
1866	3	s
1866	5	s
1866	4	s
1866	3	s
1866	3	s
1866	3	s
1866	3	s
1866	4	s
1866	3	s
1866	3	s
1866	3	w
1866	3	w
1866	3	w
1866	3	w
1866	3	w
1866	3	w
1866	7	w
1866	4	w
1866	5	w
1866	3	w
1866	2	w
1866	2	w
1866	2	w
1866	4	w
1866	3	w
1866	3	w
1866	3	w
1866	2	w
1866	2	w
1867	3	w
1867	2	w
1867	2	w
1867	4	w
1867	2	w
1867	3	w
1867	2	w
1867	13	w
1867	2	w
1867	2	w
1867	2	w
1867	11	w
1867	4	w
1867	3	w
1867	1	w
1867	2	w
1867	10	w
1867	2	s
1867	2	s
1867	12	s
1867	10	s
1867	3	s
1867	12	s
1867	4	s
1867	3	s
1867	10	s
1867	4	s
1867	3	s
1867	3	s
1867	9	w
1867	11	w
1867	14	w
1867	14	w
1867	3	w
1867	14	w
1867	3	w
1868	2	w
1868	3	w
1868	3	w
1868	11	w
1868	2	w
1868	3	w
1868	1	w
1868	4	w
1868	3	s
1868	4	s
1868	2	s
1868	3	s
1868	3	s
1868	3	s
1868	3	s
1868	16	s
1868	15	s
1868	3	s
1868	9	s
1868	3	s
1868	4	s
1868	3	s
1868	11	s
1868	1	s
1868	3	s
1868	4	s
1868	5	s
1868	3	s
1868	13	s
1868	5	s
1868	11	s
1868	3	s
1868	3	s
1868	3	s
1868	3	s
1868	3	s
1868	12	s
1868	4	s
1868	2	s
1868	3	s
1868	3	w
1868	4	w
1868	3	w
1868	18	w
1868	4	w
1868	4	w
1868	4	w
1868	12	w
1868	4	w
1868	3	w
1868	3	w
1868	3	w
1868	1	w
1868	3	w
1868	3	w
1868	3	w
1868	2	w
1868	3	w
1868	3	w
1868	3	w
1868	3	w
1868	4	w
1868	5	w
1868	3	w
1868	14	w
1868	12	w
1869	4	w
1869	1	w
1869	3	w
1869	3	w
1869	3	w
1869	3	w
1869	3	w
1869	3	w
1869	1	w
1869	3	w
1869	3	w
1869	10	w
1869	3	w
1869	2	w
1869	3	w
1869	3	w
1869	3	w
1869	3	w
1869	11	w
1869	4	w
1869	3	w
1869	3	w
1869	3	w
1869	3	w
1869	12	w
1869	8	w
1869	3	w
1869	14	w
1869	4	w
1869	4	w
1869	2	w
1869	2	w
1869	3	w
1869	4	w
1869	3	w
1869	3	w
1869	3	s
1869	3	s
1869	14	s
1869	3	s
1869	9	s
1869	3	s
1869	3	s
1869	3	s
1869	3	s
1869	4	s
1869	4	s
1869	3	s
1869	3	s
1869	3	s
1869	3	s
1869	34	s
1869	15	s
1869	3	s
1869	4	s
1869	2	s
1869	3	s
1869	3	s
1869	12	s
1869	6	s
1869	3	s
1869	3	s
1869	4	s
1869	2	w
1869	2	w
1869	3	w
1869	4	w
1869	5	w
1869	2	w
1869	2	w
1869	3	w
1869	8	w
1869	6	w
1869	13	w
1869	14	w
1870	3	w
1870	12	w
1870	4	w
1870	3	w
1870	3	w
1870	11	w
1870	3	w
1870	2	w
1870	2	w
1870	2	s
1870	11	s
1870	6	s
1870	3	s
1870	3	s
1870	12	s
1870	3	s
1870	3	s
1870	11	s
1870	2	s
1870	3	s
1870	7	s
1870	11	s
1870	3	w
1870	3	w
1870	4	w
1870	2	w
1871	26	w
1871	4	w
1871	2	w
1871	5	w
1871	4	w
1871	17	w
1871	3	w
1871	3	w
1871	9	w
1871	3	w
1871	12	w
1871	12	w
1871	3	s
1871	3	s
1871	13	w
1871	3	s
1871	2	s
1871	2	s
1871	3	s
1871	4	s
1871	10	s
1871	3	s
1871	4	s
1871	17	s
1871	2	s
1871	2	s
1871	13	s
1871	3	s
1871	2	s
1871	11	s
1871	4	s
1871	1	s
1871	12	s
1871	2	s
1871	2	s
1871	4	s
1871	3	s
1871	2	s
1871	3	s
1871	3	s
1871	3	s
1871	3	s
1871	10	s
1871	13	s
1871	3	w
1871	2	w
1871	2	w
1871	3	w
1871	4	w
1871	2	w
1871	1	w
1871	3	w
1871	16	w
1871	3	w
1871	3	w
1871	3	w
1871	1	w
1872	2	w
1872	1	w
1872	18	w
1872	2	w
1872	3	w
1872	3	w
1872	3	w
1872	2	w
1872	1	w
1872	9	w
1872	2	s
1872	4	s
1872	2	s
1872	12	s
1872	3	s
1872	3	s
1872	2	s
1872	3	s
1872	3	s
1872	2	s
1872	3	s
1872	2	s
1872	2	s
1872	2	s
1873	2	w
1873	2	w
1873	2	w
1873	3	s
1873	3	s
1873	2	s
1873	2	s
1873	4	w
1873	2	w
1873	3	w
1873	3	w
1874	3	w
1874	2	w
1874	3	w
1874	3	w
1874	2	w
1874	2	w
1874	3	w
1874	2	w
1874	2	s
1874	4	s
1874	15	s
1874	3	w
1874	3	w
1874	2	w
1875	3	w
1875	2	w
1875	2	w
1875	19	w
1875	5	w
1875	1	s
1875	4	s
1875	2	s
1875	4	s
1875	1	s
1875	2	s
1875	12	s
1875	6	s
1875	3	s
1875	2	w
1875	4	w
1875	3	w
1876	1	w
1876	3	w
1876	3	w
1876	2	w
1876	3	w
1876	2	w
1876	3	w
1876	2	w
1876	3	w
1876	3	w
1876	3	s
1876	8	s
1876	8	s
1876	2	s
1876	3	s
1876	3	s
1876	2	s
1876	3	s
1876	2	s
1876	2	s
1876	3	s
1876	2	s
1876	3	s
1876	1	s
1876	3	s
1876	5	s
1876	4	s
1876	3	s
1876	3	s
1876	3	s
1876	3	s
1876	3	s
1876	3	s
1876	1	s
1876	3	s
1876	5	s
1876	1	s
1876	4	s
1876	4	s
1876	2	s
1876	3	s
1876	1	s
1876	3	s
1876	8	s
1876	3	s
1876	3	s
1876	2	s
1876	3	w
1876	1	w
1876	2	w
1876	1	w
1876	4	w
1876	4	w
1876	2	w
1876	1	w
1876	3	w
1876	2	w
1876	3	w
1876	3	w
1876	3	w
1876	1	w
1876	4	w
1876	2	w
1876	2	w
1876	4	w
1877	2	w
1877	4	w
1877	3	w
1877	2	w
1877	3	w
1877	3	w
1877	7	w
1877	3	w
1877	3	w
1877	3	s
1877	3	s
1877	3	s
1877	3	s
1877	3	s
1877	2	s
1877	2	s
1877	3	s
1877	4	s
1877	1	s
1877	2	s
1877	5	s
1877	3	s
1877	2	s
1877	3	s
1877	5	s
1877	1	s
1877	2	s
1877	3	s
1877	7	s
1877	3	s
1877	1	s
1877	4	s
1877	3	s
1877	3	s
1877	3	s
1877	3	s
1877	3	s
1877	3	s
1877	3	s
1877	2	s
1877	3	s
1877	2	s
1877	2	s
1877	2	s
1877	3	s
1877	3	s
1877	3	s
1877	2	s
1877	3	s
1877	3	s
1877	1	s
1877	3	s
1877	3	s
1877	2	s
1877	3	s
1877	2	s
1877	5	s
1877	2	s
1877	2	s
1877	3	s
1877	4	s
1877	3	s
1877	3	s
1877	3	s
1877	3	s
1877	2	s
1877	3	s
1877	3	s
1877	3	s
1877	7	s
1877	1	s
1877	6	s
1877	1	s
1877	3	s
1877	3	s
1877	3	s
1877	2	s
1877	3	s
1877	2	s
1877	3	s
1877	3	s
1877	2	s
1877	4	s
1877	2	s
1877	2	s
1877	3	s
1877	3	s
1877	4	s
1877	3	w
1877	3	w
1877	10	w
1877	3	w
1877	3	w
1877	5	w
1877	3	w
1877	7	w
1877	3	w
1877	3	w
1877	3	w
1877	3	w
1877	2	w
1877	7	w
1877	3	w
1877	3	w
1877	3	w
1877	3	w
1877	3	w
1877	4	w
1877	4	w
1878	3	w
1878	3	w
1878	3	w
1878	4	w
1878	4	w
1878	3	w
1878	4	w
1878	3	w
1878	3	w
1878	3	w
1878	3	w
1878	3	w
1878	2	w
1878	3	w
1878	3	w
1878	3	w
1878	3	w
1878	3	w
1878	3	w
1878	3	s
1878	3	s
1878	3	s
1878	4	s
1878	3	s
1878	3	s
1878	2	s
1878	4	s
1878	3	s
1878	3	s
