year	delta	season
1804	53	s
1804	43	w
1804	43	w
1804	43	w
1804	43	w
1804	43	w
1810	55	w
1810	44	s
1811	51	w
1811	57	w
1811	57	w
1811	52	s
1811	51	s
1812	55	s
1812	68	s
1812	69	s
1814	11	w
1815	51	w
1815	50	w
1815	50	s
1816	43	w
1818	38	s
1818	43	w
1819	45	w
1819	43	s
1820	36	w
1820	41	s
1820	44	s
1823	35	w
1823	33	s
1823	28	s
1823	2	s
1823	10	s
1823	36	s
1823	35	w
1824	42	s
1824	38	w
1825	39	w
1825	39	w
1825	35	w
1825	35	s
1825	38	s
1825	38	s
1825	38	s
1825	38	s
1825	38	s
1825	35	s
1826	45	w
1828	32	s
1828	37	s
1828	32	s
1840	21	s
1844	21	w
1855	17	w
1857	11	w
