year	delta	season
1833	164	w
1833	172	s
1835	217	s
1840	95	s
1841	66	w
1842	59	s
1842	66	s
1842	62	s
1843	74	w
1843	69	w
1845	140	s
1850	49	s
1850	48	s
1850	43	w
1851	45	s
1851	13	w
1852	42	w
1852	40	w
1852	44	w
1852	43	s
1852	49	s
1855	44	w
1855	46	w
1855	44	s
1855	39	w
1855	47	w
1856	46	w
1856	51	s
1856	49	s
1856	48	s
1856	44	s
1857	46	w
1857	40	w
1857	42	w
1857	43	w
1857	52	s
1857	52	s
1857	49	s
1857	50	s
1857	54	s
1857	42	s
1857	40	w
1857	42	w
1857	46	w
1857	46	w
1858	50	w
1858	42	w
1858	45	s
1858	40	s
1858	42	s
1858	42	s
1858	43	s
1858	38	w
1858	39	w
1859	38	w
1859	42	w
1859	41	w
1859	41	w
1859	55	s
1859	42	s
1859	42	s
1859	45	s
1859	46	s
1859	45	w
1859	46	w
1859	45	w
1859	42	w
1860	43	w
1860	31	w
1860	31	w
1860	43	w
1860	44	w
1860	46	w
1860	41	w
1860	45	s
1860	46	s
1860	47	s
1861	45	s
1861	40	w
1861	46	w
1861	40	w
1862	43	w
1862	39	w
1862	39	w
1863	40	w
1863	41	s
1863	41	s
1863	67	s
1867	2	s
1867	66	w
1868	39	w
1868	31	s
1868	29	s
1868	12	w
1869	6	w
1869	4	w
1871	7	s
1872	3	w
1872	1	s
1873	2	w
1874	4	w
1874	3	s
1874	4	w
1874	3	w
1875	1	w
1875	4	w
1875	3	w
1876	3	w
1877	3	w
1877	3	w
1877	2	s
1878	2	s
1878	3	s
1878	1	w
1878	2	w
1878	3	w
1878	2	w
1879	2	w
1879	4	w
1879	1	w
1879	3	w
1879	2	w
1879	2	w
1879	1	w
1879	3	w
1880	1	w
1881	3	w
1881	3	w
1881	1	w
1883	2	s
1883	2	w
1885	2	w
1885	2	w
1887	1	w
