year	delta	season
1809	29	w
1809	37	w
1810	37	w
1810	31	w
1810	38	s
1836	26	w
1836	20	s
1840	38	s
1848	35	w
1850	38	s
1851	32	s
1852	79	w
1858	51	s
1859	22	w
1860	48	w
1863	24	s
1863	6	w
1864	20	s
1865	4	w
1868	3	s
1868	1	s
1868	4	s
1868	3	s
1868	2	s
1868	2	s
1868	5	s
1868	2	s
1868	3	s
1868	2	s
1868	7	s
1868	1	w
1868	3	w
1868	2	w
1869	1	w
1869	1	w
1869	1	w
1869	1	s
1869	11	s
1870	6	w
1870	3	s
1870	3	w
1870	4	w
1870	4	w
1871	5	s
1872	2	w
1872	3	w
1872	2	w
1872	2	s
1872	2	s
1872	7	s
1873	38	s
1874	27	s
1874	11	w
1876	11	w
1876	2	s
1877	2	w
1877	1	w
1877	3	w
1877	2	w
1877	2	s
1877	4	s
1877	3	s
1877	3	s
1877	2	s
1877	2	w
1878	2	w
1878	3	w
1878	2	w
1878	2	w
1878	5	w
1878	2	w
1879	3	w
1879	12	w
1879	2	w
1879	1	w
1879	3	w
1879	4	w
1879	2	s
1879	7	s
1879	1	s
1879	4	w
1880	1	w
1880	2	w
1881	10	w
1881	2	w
1881	2	w
1881	2	w
1881	3	s
1881	1	s
1881	2	s
1881	2	s
1881	2	s
1881	2	s
1881	2	s
1881	2	s
1881	3	s
1881	4	s
1881	2	w
1881	3	w
1881	8	w
1883	1	w
1883	3	w
1883	2	w
1883	1	w
1883	2	w
1883	2	w
1883	1	s
1883	2	s
1883	2	s
1883	2	s
1883	3	s
1883	2	w
1884	2	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	2	s
1884	2	s
1884	2	s
1884	1	s
1884	2	s
1884	3	s
1884	4	s
1884	2	s
1884	2	s
1884	2	s
1884	2	w
1884	1	w
1884	3	w
1884	2	w
1884	2	w
1884	6	w
1885	2	w
1885	2	w
1885	2	w
1885	1	w
1885	1	w
1885	1	w
1885	3	s
1885	1	s
1885	1	s
1885	1	s
1885	10	s
1885	2	s
1885	2	s
1885	1	s
1885	2	s
1885	2	s
1885	2	s
1885	2	s
1885	1	s
1885	1	s
1885	2	w
1885	2	w
1885	3	w
1885	2	w
1885	1	w
1885	1	w
1886	3	w
1886	2	w
1886	2	s
1886	2	s
1886	2	s
1886	15	s
1886	3	w
1886	2	w
1887	2	w
1887	2	w
1887	2	w
1887	2	w
1887	2	s
1887	2	s
1887	2	s
1887	3	s
1887	2	s
1887	2	s
1887	2	s
1887	2	s
1887	1	s
1888	1	w
1888	2	w
1888	1	w
1888	2	w
1888	2	w
1888	2	w
1888	3	s
1888	2	s
1888	2	s
1888	2	s
1888	2	w
1888	1	w
1888	2	w
1888	3	w
1888	2	w
1888	1	w
1888	2	w
1888	5	w
1888	1	w
1888	1	w
