year	delta	season
1813	47	s
1815	41	w
1816	28	w
1817	33	w
1817	29	s
1818	28	w
1818	28	s
1818	31	s
1818	28	s
1819	25	w
1819	26	w
1819	29	w
1819	26	s
1819	25	w
1819	26	w
1820	29	s
1820	25	s
1821	29	s
1821	25	s
1822	31	w
1823	25	s
1823	25	w
1825	22	s
1825	27	w
1825	26	w
1828	24	w
1828	19	s
1829	18	s
1835	19	w
1835	19	w
1836	19	s
1837	18	w
1838	23	w
1838	18	s
1838	18	s
1838	19	s
1838	18	s
1838	20	s
1838	16	w
1839	19	w
1839	18	w
1839	15	s
1841	17	w
1841	24	w
1841	18	w
1841	15	s
1841	18	s
1841	24	w
1841	21	w
1841	16	w
1842	16	w
1842	17	s
1842	22	s
1842	17	s
1842	17	s
1842	23	w
1843	18	w
1844	14	w
1844	13	w
1844	17	s
1844	12	s
1844	18	w
1844	15	w
1845	16	w
1845	20	w
1845	14	w
1845	13	s
1845	16	s
1846	29	s
1848	14	s
1848	16	w
1850	24	w
1850	13	s
1850	10	s
1851	11	w
1852	13	s
1852	21	s
1852	11	s
1852	23	w
1853	17	s
1853	14	s
1854	14	w
1854	13	w
1854	11	w
1854	9	w
1854	9	w
1854	8	w
1854	7	w
1854	6	s
1854	12	s
1854	13	w
1855	11	w
1855	6	s
1855	9	s
1855	7	s
1855	11	s
1855	7	s
1855	10	s
1855	9	w
1855	14	w
1856	11	w
1856	10	s
1856	12	s
1857	13	w
1857	11	w
1857	4	w
1857	11	w
1857	7	w
1857	10	w
1857	9	s
1857	11	s
1857	7	s
1857	16	s
1857	39	s
1857	14	s
1857	12	s
1857	11	s
1857	7	s
1857	7	s
1857	7	s
1857	10	s
1857	8	w
1857	7	w
1857	7	w
1857	7	w
1857	13	w
1858	5	s
1858	6	s
1858	7	s
1858	15	s
1858	7	w
1858	10	w
1858	6	w
1858	12	w
1859	10	s
1859	8	s
1859	9	s
1859	10	s
1859	10	s
1859	10	w
1859	7	w
1859	9	w
1859	10	w
1860	12	w
1860	21	w
1860	11	w
1860	14	w
1860	8	s
1860	8	s
1860	7	s
1860	13	s
1860	10	s
1860	8	s
1860	10	s
1862	12	s
1863	9	w
1864	15	w
1864	11	s
1864	8	s
1865	3	w
1866	15	s
1868	12	s
1868	2	s
1868	9	s
1868	12	w
1869	10	s
1869	11	s
1869	8	s
1869	20	s
1869	10	s
1869	19	s
1869	27	w
1869	16	w
1870	2	w
1871	3	s
1872	3	w
1872	10	s
1872	3	s
1873	3	s
1873	3	s
1873	2	s
1873	4	s
1874	4	w
1874	13	s
1874	7	s
1876	1	w
1876	8	s
1877	4	s
1879	8	w
1881	2	w
1881	3	s
1881	3	s
1883	2	w
1883	2	s
1883	1	s
1884	2	w
1884	2	w
1884	2	w
1884	1	w
1884	2	w
1884	2	w
1884	1	w
1884	1	w
1884	2	w
1884	1	w
1884	2	w
1884	1	w
1884	1	s
1884	1	s
1884	2	s
1884	1	s
1884	2	s
1885	1	w
