year	delta
1802	22
1803	21
1805	22
1807	19
1807	14
1807	22
1807	21
1807	43
1808	23
1808	28
1808	35
1810	26
1810	39
1810	21
1810	23
1810	23
1810	25
1811	25
1811	20
1811	21
1812	22
1814	27
1814	20
1815	19
1817	23
1822	17
1829	9
1829	14
1835	14
1835	11
1835	13
1838	12
1839	14
1839	12
1839	9
1840	10
1840	22
1841	10
1841	7
1842	7
1842	4
1842	9
1842	7
1842	9
1842	12
1842	9
1843	8
1843	9
1843	9
1843	7
1843	7
1843	9
1844	10
1844	8
1844	9
1845	12
1845	7
1845	10
1845	8
1846	7
1846	9
1846	12
1846	9
1846	9
1846	9
1847	11
1847	9
1847	14
1847	8
1848	8
1848	10
1848	8
1848	7
1848	7
1848	8
1848	19
1848	9
1848	9
1848	10
1848	9
1848	7
1848	7
1848	12
1849	10
1849	8
1849	7
1849	7
1849	9
1849	8
1849	8
1850	10
1850	9
1850	9
1851	10
1851	9
1851	7
1852	7
1852	8
1852	7
1853	8
1853	9
1853	8
1853	8
1853	7
1853	12
1853	7
1853	8
1853	7
1853	6
1853	13
1854	6
1854	7
1854	5
1854	5
1854	5
1854	4
1854	5
1854	6
1854	5
1854	5
1854	5
1854	5
1854	6
1854	4
1854	7
1854	4
1854	4
1854	6
1854	4
1854	5
1854	4
1854	8
1854	5
1854	4
1854	4
1854	4
1854	4
1854	8
1854	4
1854	6
1854	12
1854	5
1855	8
1855	7
1855	8
1855	7
1855	7
1855	6
1855	6
1855	5
1855	4
1855	4
1855	3
1855	7
1855	7
1855	8
1855	4
1855	3
1855	6
1855	6
1855	4
1855	4
1855	8
1855	4
1855	5
1855	4
1855	4
1855	7
1855	10
1855	8
1855	6
1855	3
1855	6
1855	5
1855	4
1855	4
1855	3
1855	10
1855	4
1856	5
1856	5
1856	3
1856	5
1856	7
1856	8
1856	6
1857	5
1857	5
1857	6
1857	10
1857	6
1857	6
1857	9
1857	6
1857	5
1857	4
1858	7
1858	10
1858	6
1858	5
1858	5
1858	6
1858	7
1858	6
1859	10
1859	13
1859	6
1859	6
1861	8
1861	11
1861	5
1861	6
1862	11
1862	7
1862	11
1863	3
1863	3
1863	3
1863	3
1863	8
1864	6
1864	4
1864	12
1866	9
1867	9
1867	9
1868	6
1868	9
1869	7
1869	7
1871	8
1874	2
1875	5
1875	5
1876	3
1876	6
1878	3
1879	2
1879	2
1879	2
1880	4
1880	3
1880	2
1881	1
1881	1
1881	1
1881	1
1881	1
1881	2
1883	3
1883	2
1883	1
1883	1
1885	3
1888	2
