year	delta	season
1802	21	w
1802	15	w
1803	21	w
1804	21	w
1808	29	s
1809	25	w
1816	22	w
1817	23	s
1819	24	s
1820	25	s
1820	20	s
1820	22	s
1820	27	s
1830	14	w
1830	14	s
1830	14	s
1833	14	w
1833	13	w
1833	21	s
1833	13	w
1834	14	w
1834	11	w
1834	15	s
1834	11	s
1835	10	w
1835	11	s
1836	10	w
1836	17	w
1836	87	w
1836	11	s
1837	13	w
1837	12	w
1838	11	s
1839	9	s
1839	9	s
1839	7	s
1839	9	s
1839	8	s
1839	9	w
1839	14	w
1839	8	w
1840	10	w
1840	14	w
1840	9	w
1840	8	s
1840	13	s
1840	8	s
1840	9	s
1840	9	s
1840	9	s
1840	8	s
1840	9	s
1840	8	s
1840	9	s
1840	7	s
1840	9	s
1840	9	s
1840	14	w
1841	9	w
1841	14	w
1841	9	w
1841	13	w
1841	8	w
1841	8	s
1841	11	s
1841	8	s
1841	10	s
1841	10	s
1841	12	w
1842	11	w
1842	9	s
1842	10	s
1842	8	s
1843	12	w
1843	10	s
1843	9	s
1843	9	w
1843	10	w
1843	10	w
1843	9	w
1843	9	w
1843	8	w
1843	9	w
1843	8	w
1843	15	w
1844	10	w
1844	13	w
1844	8	w
1844	7	s
1844	10	s
1844	11	s
1844	10	s
1844	11	s
1845	14	w
1845	12	w
1845	12	w
1845	14	w
1846	11	w
1846	9	w
1846	11	w
1846	7	s
1846	18	s
1846	8	s
1846	7	w
1846	7	w
1847	8	s
1847	6	s
1847	7	s
1847	10	s
1847	12	s
1847	10	s
1847	7	s
1847	8	s
1847	6	w
1847	8	w
1847	9	w
1848	7	w
1848	8	w
1848	7	w
1848	7	w
1848	7	s
1848	8	s
1848	9	s
1848	10	s
1848	37	s
1848	7	s
1848	8	s
1848	9	s
1848	8	s
1848	8	w
1849	7	s
1849	7	s
1849	9	s
1849	11	s
1849	8	s
1849	10	s
1849	8	s
1849	7	s
1849	6	s
1849	9	s
1849	8	s
1849	7	s
1849	7	s
1849	7	s
1849	9	s
1849	7	s
1849	7	s
1849	6	s
1849	6	s
1849	7	s
1849	7	s
1849	6	s
1849	6	s
1849	8	s
1849	13	w
1849	10	w
1850	14	w
1850	13	w
1850	11	w
1850	6	w
1850	10	w
1850	8	s
1850	7	s
1850	7	s
1850	6	s
1850	9	s
1850	7	s
1850	9	s
1850	8	s
1850	6	s
1850	6	s
1850	7	s
1850	10	s
1850	5	s
1850	10	s
1850	5	s
1850	5	s
1850	7	s
1850	6	s
1850	12	w
1850	11	w
1850	7	w
1850	7	w
1850	9	w
1851	7	w
1851	9	w
1851	8	s
1851	7	s
1851	5	s
1851	9	s
1851	8	s
1851	5	s
1851	7	s
1852	8	w
1852	5	w
1852	11	w
1852	5	s
1852	14	s
1852	5	s
1852	9	s
1852	9	s
1852	7	s
1852	7	s
1852	17	s
1852	16	s
1852	6	s
1852	5	s
1852	7	s
1852	7	s
1852	14	w
1852	5	w
1852	9	w
1852	10	w
1852	9	w
1853	7	w
1853	6	w
1853	11	w
1853	13	w
1853	10	s
1853	8	s
1853	9	s
1853	9	s
1853	8	s
1853	5	s
1853	9	s
1853	6	s
1853	17	s
1853	5	w
1853	6	w
1854	7	w
1854	6	w
1854	7	w
1854	4	w
1854	7	w
1854	7	w
1854	5	s
1854	6	w
1854	8	w
1854	6	w
1854	6	w
1854	5	w
1855	6	w
1855	5	w
1855	8	w
1855	7	w
1855	6	s
1855	7	s
1855	8	w
1856	6	s
1856	5	s
1856	4	s
1856	6	s
1856	6	s
1856	6	s
1856	4	s
1857	5	w
1857	6	w
1857	8	s
1857	9	s
1857	6	s
1857	6	s
1857	8	s
1857	4	s
1857	4	s
1857	5	s
1857	5	s
1857	5	s
1857	8	s
1857	5	s
1857	10	s
1857	6	s
1857	6	s
1857	5	s
1857	6	s
1857	9	s
1857	4	s
1857	5	s
1857	6	s
1857	5	s
1857	6	s
1857	5	s
1857	6	s
1857	6	s
1857	6	s
1857	5	s
1857	5	s
1857	5	s
1857	6	s
1857	4	w
1857	6	w
1857	5	w
1857	5	w
1858	13	w
1858	7	w
1858	9	w
1858	8	w
1858	5	s
1858	8	s
1858	11	s
1858	6	s
1858	8	s
1858	8	s
1858	7	s
1858	8	s
1858	8	s
1858	9	s
1858	10	s
1858	7	s
1858	7	s
1858	7	s
1858	7	s
1858	6	s
1858	5	s
1858	6	s
1858	6	s
1858	5	s
1858	8	s
1858	5	s
1858	7	s
1858	6	s
1858	5	s
1858	8	s
1858	8	s
1858	4	s
1858	10	s
1858	5	s
1858	7	s
1858	10	s
1858	14	w
1858	10	w
1858	4	w
1858	8	w
1858	10	w
1858	7	w
1858	4	w
1859	6	w
1859	7	w
1859	8	w
1859	7	w
1859	7	w
1859	10	w
1859	10	w
1859	6	s
1859	7	s
1859	5	s
1859	5	s
1859	7	s
1859	6	s
1859	6	s
1859	7	s
1859	8	s
1859	11	s
1859	8	s
1859	5	s
1859	5	s
1859	8	s
1859	8	s
1859	6	s
1859	7	s
1859	3	s
1859	5	w
1859	6	w
1859	5	w
1859	5	w
1859	8	w
1859	6	w
1860	8	w
1860	7	w
1860	4	w
1860	5	w
1860	9	w
1860	4	s
1860	7	s
1860	6	s
1860	8	s
1860	9	s
1860	9	s
1860	7	s
1860	7	s
1860	7	s
1860	7	s
1860	7	s
1860	8	s
1860	7	s
1860	6	s
1860	7	s
1860	7	s
1860	8	w
1860	7	w
1860	7	w
1861	7	w
1861	7	w
1861	5	s
1861	5	s
1861	6	s
1861	7	s
1861	7	s
1861	8	s
1861	9	s
1862	10	w
1862	10	s
1862	11	s
1862	7	s
1862	5	s
1862	10	s
1862	8	s
1862	7	s
1862	7	s
1862	8	s
1862	7	s
1862	7	s
1862	11	s
1862	9	w
1862	3	w
1862	4	w
1862	10	w
1862	8	w
1862	8	w
1862	4	w
1862	4	w
1862	9	w
1862	8	w
1862	3	w
1862	4	w
1863	3	w
1863	4	w
1863	5	w
1863	3	s
1863	3	s
1863	3	s
1863	3	s
1863	11	s
1863	3	s
1863	4	s
1863	9	w
1863	7	w
1863	4	w
1863	4	w
1863	4	w
1863	4	w
1864	3	w
1864	4	w
1864	6	s
1864	3	s
1864	13	s
1864	3	s
1864	3	s
1864	4	s
1864	3	s
1864	2	w
1864	3	w
1865	3	w
1865	3	s
1865	3	s
1865	7	s
1865	8	s
1866	4	w
1866	3	w
1866	4	s
1866	4	s
1866	4	s
1866	4	s
1866	5	s
1866	4	s
1866	4	s
1866	5	s
1866	7	s
1866	3	s
1866	3	s
1866	4	s
1866	4	s
1866	12	w
1867	17	w
1867	3	s
1867	8	s
1867	4	s
1867	6	s
1867	3	s
1867	5	s
1867	6	s
1867	4	s
1868	2	w
1868	2	s
1868	7	w
1868	4	s
1868	3	s
1868	3	s
1868	2	s
1868	7	s
1868	3	s
1868	4	w
1868	10	w
1868	5	w
1869	3	w
1869	6	w
1869	7	s
1869	5	s
1869	2	s
1869	7	s
1869	2	w
1869	2	w
1869	6	w
1869	2	w
1870	7	w
1870	2	w
1870	3	s
1870	2	s
1870	3	s
1870	2	s
1870	6	s
1870	4	s
1870	6	s
1870	4	s
1870	3	s
1870	2	w
1870	2	w
1870	2	w
1870	2	w
1870	3	w
1870	5	w
1870	2	w
1870	5	w
1871	3	w
1871	2	w
1871	3	w
1871	2	s
1871	3	s
1871	2	s
1871	2	s
1871	2	s
1871	5	s
1871	2	s
1871	2	s
1871	2	s
1871	2	w
1871	6	w
1871	2	w
1872	2	w
1872	2	s
1872	2	s
1872	2	s
1872	3	s
1872	3	s
1872	2	s
1872	3	s
1872	2	w
1872	2	w
1873	2	w
1873	6	w
1873	2	w
1873	5	s
1873	6	s
1873	2	s
1874	3	s
1874	3	s
1874	6	w
1874	3	w
1874	4	w
1875	2	w
1875	4	w
1875	4	w
1875	6	w
1875	3	s
1875	3	s
1876	5	w
1877	2	w
1877	5	s
1878	2	w
1878	2	w
1878	2	w
1878	2	w
1878	2	w
1878	1	w
1879	3	s
1879	1	s
1879	2	s
1879	1	s
1879	1	w
1880	2	w
1880	2	w
1880	2	s
1880	2	s
1883	2	w
1883	2	s
1883	2	s
1883	2	s
1883	2	s
1883	152	s
1883	177	s
1884	6	w
1884	2	s
1884	2	s
1885	2	w
1885	1	s
1885	3	s
1885	1	s
1885	2	s
1886	2	w
1886	1	s
1886	1	s
1886	2	w
1887	4	w
1887	1	w
1887	1	w
1887	1	s
1887	2	s
1888	1	s
1888	1	s
1888	1	w
