year	delta	season
1811	17	w
1811	19	w
1813	16	w
1813	16	s
1813	21	s
1813	16	s
1813	15	s
1813	15	s
1813	18	s
1817	17	s
1819	16	w
1834	25	w
1838	8	s
1843	10	s
1846	6	w
1846	9	w
1847	7	s
1847	5	s
1847	6	w
1848	8	s
1848	5	s
1849	8	s
1849	6	w
1850	6	s
1850	7	s
1850	8	s
1851	8	s
1851	9	s
1851	6	w
1853	5	s
1853	6	w
1854	5	w
1854	8	w
1855	6	w
1855	6	w
1856	6	s
1856	7	s
1856	5	s
1858	5	s
1858	10	w
1859	7	w
1860	10	s
1861	8	s
1861	6	s
1861	8	s
1862	13	w
1862	18	w
1863	11	s
1866	3	s
1866	4	s
1868	5	w
1871	4	s
1883	5	s
