year	delta
1850	9
1868	7
1868	2
1869	2
1869	1
1869	1
1869	1
1869	1
1869	1
1869	1
1869	1
1869	1
1869	1
1869	1
1870	1
1870	1
1870	1
1870	2
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	2
1870	1
1870	1
1870	2
1870	1
1870	1
1870	1
1870	1
1870	2
1870	2
1870	1
1870	1
1870	1
1870	2
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1870	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	1
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	1
1871	1
1871	1
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	1
1871	1
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	1
1871	1
1871	1
1871	2
1871	1
1871	2
1871	1
1871	1
1871	2
1871	1
1871	1
1871	1
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	6
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	2
1871	2
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1871	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	2
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	2
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	2
1872	7
1872	1
1872	6
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	2
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	2
1872	1
1872	1
1872	1
1872	2
1872	2
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	2
1872	2
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	2
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1872	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	2
1873	3
1873	1
1873	1
1873	1
1873	1
1873	1
1873	6
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	7
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	2
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	1
1873	2
1873	1
1873	1
1873	1
1873	2
1873	1
1873	1
1873	1
1873	1
1873	1
1873	2
1873	1
1873	2
1873	2
1874	1
1874	1
1874	1
1874	2
1874	1
1874	2
1874	1
1874	1
1874	1
1874	1
1874	2
1874	1
1874	1
1874	1
1874	1
1874	1
1874	2
1874	1
1874	1
1874	2
1874	1
