year	delta	season
1805	23	w
1805	33	w
1806	28	w
1806	25	w
1806	28	w
1806	39	w
1807	32	s
1808	30	w
1808	32	s
1809	24	w
1809	26	s
1809	28	s
1809	26	s
1809	25	s
1809	28	s
1810	26	w
1810	23	s
1814	19	w
1815	24	w
1815	22	w
1815	24	w
1815	22	w
1815	23	s
1815	24	s
1815	21	s
1821	23	s
1821	33	s
1821	29	s
1821	32	s
1821	28	s
1821	28	s
1821	53	w
1821	26	w
1822	23	w
1822	24	w
1822	27	w
1822	22	w
1822	21	s
1822	22	s
1822	28	s
1823	25	w
1823	29	w
1824	26	w
1828	20	s
1828	18	s
1828	23	s
1828	20	s
1829	19	s
1829	19	s
1829	19	s
1829	20	s
1830	18	w
1830	20	s
1839	20	s
1839	17	s
1843	16	w
1843	16	s
1845	20	s
1847	17	s
1853	9	s
1854	9	w
1854	9	w
1854	9	s
1854	10	s
1854	7	s
1855	13	w
1856	7	w
1857	10	w
1857	11	w
1857	6	s
1858	9	w
1858	9	s
1859	14	w
1860	8	w
