year	delta	season
1802	7	s
1802	10	s
1802	18	w
1802	12	w
1803	19	w
1803	7	w
1803	7	s
1803	10	s
1804	16	s
1806	4	w
1810	25	w
1810	15	s
1811	15	s
1811	14	s
1812	7	s
1812	20	s
1823	6	w
1829	7	w
1832	4	w
1832	9	w
1834	5	w
1834	3	s
1834	4	w
1834	5	w
1834	6	w
1834	10	w
1835	5	s
1835	5	w
1835	7	w
1836	2	w
1836	6	w
1836	20	w
1836	5	w
1836	5	w
1836	4	w
1836	5	w
1836	5	s
1836	5	s
1836	6	s
1836	4	s
1836	5	s
1836	4	s
1836	5	w
1836	7	w
1836	9	w
1836	8	w
1836	7	w
1836	6	w
1837	3	w
1837	3	w
1837	5	w
1837	67	w
1837	5	s
1837	3	s
1837	3	s
1837	3	s
1837	3	w
1837	7	w
1837	7	w
1838	5	w
1838	3	s
1838	3	s
1838	8	s
1838	10	s
1838	5	s
1838	12	s
1838	7	w
1838	3	w
1838	3	w
1838	3	w
1838	3	w
1839	3	w
1839	3	w
1839	3	w
1839	3	w
1839	7	s
1839	3	s
1839	4	s
1839	3	s
1839	3	s
1839	3	s
1839	3	w
1839	3	w
1839	3	w
1840	3	w
1840	38	w
1840	5	s
1840	4	s
1840	16	s
1840	7	w
1840	3	w
1840	3	w
1841	14	w
1841	14	w
1841	17	w
1841	17	w
1841	17	w
1841	19	w
1841	19	w
1841	4	w
1841	4	w
1841	6	w
1841	3	s
1841	3	s
1841	5	s
1841	4	s
1841	8	w
1842	7	w
1842	16	w
1842	9	w
1842	7	w
1842	6	w
1842	10	s
1842	4	s
1842	7	s
1842	4	s
1842	5	w
1842	9	w
1843	4	w
1843	4	s
1843	5	s
1843	6	s
1843	22	w
1844	47	w
1844	4	w
1844	4	w
1845	7	s
1845	7	s
1845	5	s
1845	28	s
1845	28	s
1845	37	s
1845	37	s
1845	3	w
1845	5	w
1845	5	w
1846	3	s
1846	3	s
1846	5	w
1846	5	w
1846	16	w
1847	5	w
1847	5	w
1847	5	w
1847	8	s
1847	11	s
1847	12	s
1847	4	w
1847	7	w
1847	21	w
1848	33	w
1848	8	w
1848	35	w
1848	7	s
1848	6	s
1848	5	s
1848	4	s
1848	5	s
1848	5	s
1848	10	s
1848	3	s
1848	4	w
1848	7	w
1848	21	w
1848	28	w
1849	4	w
1849	16	w
1849	5	s
1849	7	s
