year	delta
1805	24
1805	23
1806	22
1806	26
1807	42
1807	43
1807	37
1808	26
1808	26
1808	18
1808	24
1808	25
1808	22
1808	27
1808	27
1809	29
1809	24
1809	16
1809	18
1809	24
1809	17
1809	20
1809	20
1809	21
1809	23
1809	22
1809	22
1809	27
1809	21
1809	20
1809	15
1809	16
1809	14
1809	16
1809	22
1809	16
1809	27
1809	28
1809	15
1809	24
1809	20
1810	19
1810	20
1810	20
1810	20
1810	20
1810	26
1810	23
1810	20
1810	23
1810	19
1810	20
1810	17
1810	21
1810	20
1810	20
1810	19
1810	23
1810	19
1810	20
1810	20
1810	20
1810	20
1810	23
1811	23
1811	23
1811	23
1811	20
1811	23
1811	20
1811	24
1811	24
1811	23
1811	24
1811	20
1811	23
1812	44
1812	25
1812	21
1812	23
1812	22
1813	22
1813	14
1813	26
1813	16
1813	17
1813	15
1813	16
1813	28
1813	30
1813	20
1813	16
1813	19
1813	33
1813	17
1813	37
1813	20
1813	18
1813	17
1813	28
1813	20
1813	23
1813	16
1813	24
1814	15
1814	16
1814	15
1814	26
1814	42
1814	17
1814	25
1814	21
1815	17
1815	18
1815	24
1815	26
1815	22
1815	21
1815	16
1815	17
1815	22
1815	24
1815	22
1815	22
1815	23
1815	23
1816	23
1816	20
1817	23
1817	26
1817	23
1817	21
1817	23
1817	20
1818	20
1818	20
1818	22
1818	21
1819	22
1819	21
1819	21
1819	22
1819	17
1819	22
1819	24
1819	25
1820	16
1820	16
1820	16
1820	48
1820	22
1820	17
1821	21
1822	23
1822	17
1823	25
1824	20
1824	20
1824	16
1825	17
1826	28
1827	15
1827	18
1828	19
1828	11
1828	11
1829	16
1829	13
1830	15
1830	11
1830	17
1830	11
1830	11
1830	20
1831	16
1831	14
1831	12
1831	15
1832	16
1833	11
1833	17
1833	9
1834	11
1834	11
1834	9
1834	8
1834	9
1834	14
1834	12
1834	9
1835	10
1835	10
1835	8
1835	10
1835	10
1835	11
1835	11
1835	9
1835	8
1835	10
1835	12
1836	9
1836	9
1836	15
1836	9
1836	10
1836	14
1836	11
1836	10
1836	9
1836	8
1836	10
1836	8
1836	8
1837	10
1837	10
1837	4
1837	10
1837	9
1837	9
1837	9
1837	28
1837	10
1837	9
1837	9
1837	10
1837	11
1838	12
1838	9
1838	11
1838	13
1838	9
1838	10
1838	9
1838	9
1838	13
1838	10
1838	15
1838	40
1838	9
1838	11
1838	9
1838	9
1838	13
1838	9
1838	8
1838	9
1838	11
1838	11
1838	11
1838	13
1838	11
1838	23
1839	10
1839	9
1839	10
1839	10
1839	9
1839	10
1839	9
1839	12
1839	10
1839	8
1839	9
1839	10
1839	40
1839	39
1839	38
1839	8
1839	9
1839	8
1839	10
1839	12
1840	11
1840	9
1840	9
1840	8
1840	8
1840	8
1840	10
1840	6
1840	9
1840	18
1841	9
1841	9
1841	9
1841	12
1841	9
1841	23
1841	8
1841	8
1841	7
1841	7
1841	9
1841	8
1841	8
1841	12
1841	16
1841	10
1842	12
1842	12
1842	8
1842	7
1842	8
1842	9
1842	8
1842	9
1842	7
1842	10
1842	8
1842	13
1843	9
1843	11
1843	6
1843	17
1843	9
1843	11
1843	11
1843	8
1843	8
1843	9
1843	9
1843	9
1843	9
1843	8
1843	9
1843	7
1843	14
1843	14
1843	9
1843	9
1843	14
1843	9
1843	10
1844	18
1844	8
1844	6
1844	9
1844	12
1844	8
1844	6
1844	6
1844	8
1844	9
1844	6
1844	7
1844	5
1844	8
1844	7
1845	15
1845	8
1845	7
1845	18
1845	10
1845	9
1845	11
1845	10
1845	11
1845	10
1845	16
1845	9
1845	6
1845	8
1845	9
1845	7
1845	19
1845	9
1845	7
1845	7
1845	7
1845	7
1845	6
1845	9
1845	9
1845	6
1845	11
1845	7
1845	8
