year	delta	season
1803	29	s
1803	27	s
1821	25	s
1821	25	s
1821	27	s
1821	22	s
1831	21	w
1843	14	s
1844	12	w
1844	14	w
1844	12	w
1844	13	s
1845	21	w
1845	14	s
1845	15	s
1845	15	s
1847	13	s
1848	10	s
1850	13	s
1851	8	s
1852	8	w
1852	8	s
1852	8	s
1852	9	s
1852	8	s
1852	10	w
1852	8	w
1853	12	s
1853	17	s
1853	13	s
1853	10	s
1853	7	s
1853	10	s
1853	9	s
1853	7	s
1853	8	w
1853	8	w
1853	7	w
1854	12	w
1856	7	w
1861	4	s
1862	7	s
1865	3	s
1866	10	s
1866	10	s
1866	10	s
1866	10	s
1866	6	w
1867	10	w
1867	9	w
1867	11	s
1867	11	s
1867	10	s
1867	10	w
1867	2	w
1867	3	w
1867	2	w
1867	2	w
1867	3	w
1867	4	w
1868	4	w
1868	10	w
1868	3	w
1868	3	w
1868	3	w
1868	4	w
1868	3	s
1868	10	s
1868	11	s
1868	5	s
1868	4	s
1868	3	s
1868	9	s
1868	12	w
1868	4	w
1868	11	w
1868	3	w
1868	12	w
1869	2	s
1869	13	s
1869	16	s
1869	10	s
1869	16	w
1871	3	s
1871	3	w
1871	3	w
1872	3	w
1872	1	w
1872	2	s
1872	1	s
1873	2	w
1874	4	s
1875	3	s
1875	3	s
1879	2	w
1879	3	w
1879	3	w
1879	3	w
1879	1	w
1879	3	w
1880	1	w
1880	2	s
1880	1	s
1880	2	s
1880	3	w
1880	3	w
1880	1	w
1880	3	w
1880	1	w
1880	3	w
1880	3	w
1880	2	w
1880	2	w
1880	1	w
1880	3	w
1880	3	w
1880	1	w
1880	2	w
1880	2	w
1880	2	w
1880	3	w
1880	3	w
1881	2	w
1881	1	w
1881	1	w
1881	3	w
1881	2	w
1881	3	w
1881	1	w
1881	3	w
1881	3	w
1881	1	s
1881	2	s
1881	3	s
1881	2	s
1881	1	s
1881	2	s
1881	2	s
1881	3	w
1881	2	w
1883	3	w
1883	3	w
1883	3	w
1883	2	w
1883	1	w
1883	1	w
1883	3	w
1883	3	w
1883	2	w
1883	1	w
1883	3	w
1883	3	w
1883	2	w
1883	2	w
1883	2	s
1883	1	s
1883	2	s
1883	3	s
1883	3	s
1883	1	s
1883	3	s
1883	1	s
1883	3	s
1883	1	s
1883	2	s
1883	1	s
1883	1	s
1883	3	s
1883	2	s
1884	1	w
1884	1	w
1885	3	w
1885	1	w
1885	1	s
1885	2	s
1886	2	w
1886	1	s
1886	1	s
1886	335	s
1886	2	s
1886	2	s
1886	3	w
1886	3	w
1886	4	w
1887	3	w
1887	2	w
1887	3	w
1887	1	s
1887	2	s
1887	1	s
1887	1	s
1887	3	s
1887	1	s
1887	1	s
1887	1	w
1887	1	w
1887	1	w
1887	2	w
1887	3	w
1887	3	w
1888	1	w
1888	1	w
1888	2	w
1888	1	s
1888	2	s
1888	3	s
