year	delta	season
1866	7	s
1866	7	s
1866	8	s
1866	11	s
1866	11	s
1866	9	s
1866	10	s
1866	9	s
1866	8	s
1866	12	s
1866	9	s
1866	10	s
1866	9	w
1866	10	w
1866	10	w
1866	11	w
1867	8	w
1867	8	w
1867	9	s
1867	8	s
1867	10	s
1867	10	w
1867	8	w
1867	9	w
1867	8	w
1867	9	w
1868	19	w
1868	2	w
1868	6	s
1868	13	s
1868	10	s
1868	10	s
1868	10	s
1868	12	s
1868	10	s
1868	8	s
1868	11	s
1868	11	s
1868	5	s
1868	11	s
1868	13	s
1868	10	s
1868	7	s
1868	14	s
1868	9	w
1868	10	w
1869	9	w
1869	2	w
1869	13	w
1869	10	s
1869	10	s
1869	8	s
1869	14	s
1869	10	w
1869	1	w
1879	3	w
