year	delta	season
1844	10	s
1852	13	s
1853	19	s
1862	3	s
1863	1	s
1863	1	s
1863	6	s
1864	1	s
1867	1	s
1867	1	s
1867	1	s
1867	1	s
1867	1	s
1867	3	w
1868	1	w
1868	4	w
1868	5	w
1868	1	w
1868	2	w
1868	1	s
1868	1	s
1868	1	s
1869	1	w
1869	1	s
1869	1	s
1870	1	w
1870	2	s
1870	1	s
1871	2	w
1871	1	s
1871	1	s
1871	1	s
1871	1	s
1871	1	s
1871	1	s
1871	1	s
1871	2	s
1871	3	s
1871	1	s
1871	1	s
1871	1	s
1871	2	s
1872	1	w
1872	1	s
1872	1	s
1872	2	s
1872	2	s
1872	1	s
1873	1	w
1873	1	s
1873	4	s
1874	1	w
1874	1	s
1875	2	s
1875	3	s
1875	2	s
1876	1	w
1876	1	w
1876	3	s
1877	1	s
1877	1	s
1877	2	s
1877	1	s
1877	4	s
1877	4	s
1877	1	s
1878	1	s
1879	1	w
1879	1	w
1879	1	s
1879	1	s
1879	1	s
1879	1	s
1880	1	w
1880	1	s
1881	8	w
1881	1	s
1881	1	s
1883	1	w
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1884	1	w
1884	1	w
1885	1	w
1885	2	w
1885	1	s
1885	1	s
1885	1	s
1885	9	s
1885	2	s
1886	1	w
1886	1	s
1886	1	s
1887	1	w
1887	2	w
1887	1	s
1887	1	s
1887	1	s
1888	2	s
