year	delta	season
1807	31	s
1811	26	w
1830	19	w
1845	12	w
1866	10	w
1866	8	s
1866	11	s
1866	13	s
1866	10	s
1866	11	s
1866	9	s
1866	13	s
1866	11	s
1866	10	s
1866	11	s
1866	8	s
1866	11	s
1866	8	w
1866	12	w
1866	12	w
1866	11	w
1866	12	w
1867	11	w
1867	10	s
1867	10	s
1867	10	s
1867	11	s
1867	9	s
1867	11	s
1867	10	s
1868	9	s
1868	10	s
1868	11	s
1868	11	s
1868	10	s
1868	10	s
1868	10	s
1868	11	s
1868	10	s
1868	11	s
1868	10	s
1868	11	s
1868	9	s
1868	11	s
1868	9	w
1868	11	w
1868	11	w
1869	10	s
1869	12	s
1869	9	s
1869	10	s
1869	13	s
1869	11	s
1869	13	s
1869	12	w
