year	delta	season
1806	26	w
1813	30	w
1813	27	w
1813	31	w
1814	32	w
1814	11	w
1814	21	s
1814	20	s
1815	21	w
1815	20	s
1815	19	s
1815	22	s
1822	26	w
1834	12	s
1834	11	s
1836	12	w
1838	13	s
1839	15	w
1839	13	w
1839	13	s
1841	8	s
1842	9	s
1842	8	s
1842	9	s
1842	9	s
1842	8	s
1843	16	s
1843	10	w
1844	8	w
1844	8	s
1844	10	s
1844	11	w
1844	15	w
1845	10	w
1845	12	s
1845	9	s
1845	8	w
1846	9	w
1846	8	w
1846	9	w
1847	16	w
1847	10	w
1847	10	s
1847	8	w
1848	9	w
1848	8	s
1848	6	w
1848	6	w
1848	9	w
1848	7	w
1848	6	w
1848	8	w
1849	7	w
1849	7	w
1849	6	s
1849	6	s
1849	7	s
1849	8	s
1849	7	s
1850	7	s
1850	7	s
1850	25	s
1850	7	s
1850	7	s
1850	10	w
1851	6	s
1851	6	s
1851	13	s
1851	9	s
1852	7	s
1852	6	s
1852	9	w
1853	8	w
1853	8	w
1854	7	w
1854	8	s
1854	7	w
1854	7	w
1855	4	w
1855	11	s
1856	8	w
1856	6	w
1856	7	s
1856	8	s
1856	4	s
1856	5	s
1856	11	w
1857	7	w
1857	10	s
1857	4	w
1857	5	w
1858	12	w
1858	4	s
1858	10	s
1858	5	s
1858	4	s
1858	5	s
1858	6	s
1858	7	s
1858	11	w
1859	8	s
1859	5	s
1859	6	w
1860	5	w
1860	6	w
1861	6	s
1861	6	s
1861	6	s
1862	8	w
1862	4	s
1863	7	s
1863	3	s
1863	6	w
1863	6	w
1864	6	w
1865	2	s
1865	4	w
1866	7	s
1866	9	s
1869	7	w
1869	5	s
1869	7	s
1869	2	w
1870	7	s
1873	7	s
1875	5	s
1876	6	w
1876	5	s
1878	3	s
1879	4	w
1880	5	s
1880	10	s
1881	1	w
