year	delta	season
1806	25	s
1806	22	s
1817	27	w
1848	10	s
1848	13	s
1848	8	s
1849	8	s
1850	10	w
1850	9	w
1850	7	s
1850	7	s
1850	7	w
1850	7	w
1850	11	w
1851	7	s
1852	6	s
1852	8	s
1852	8	s
1852	8	s
1853	11	s
1853	8	s
1853	7	s
1853	9	s
1853	9	s
1853	8	s
1853	7	s
1853	7	s
1853	6	w
1853	9	w
1853	9	w
1853	7	w
1854	10	w
1854	6	s
1854	4	s
1854	6	s
1854	9	s
1854	9	w
1855	6	s
1855	8	s
1855	6	s
1855	6	s
1856	6	s
1856	6	s
1856	6	s
1856	5	s
1856	4	s
1856	7	w
1857	6	w
1857	10	s
1857	4	s
1857	10	s
1857	7	s
1857	6	s
1857	8	s
1857	7	s
1857	6	s
1857	13	s
1858	13	w
1858	5	s
1858	9	s
1858	5	s
1858	8	s
1858	5	s
1858	9	w
1859	6	w
1859	8	w
1859	7	w
1859	6	w
1859	8	w
1859	7	s
1859	7	s
1859	8	s
1859	6	s
1859	8	s
1859	8	s
1859	6	s
1859	7	s
1859	8	w
1860	7	s
1860	10	s
1860	8	s
1860	7	w
1860	5	w
1860	6	w
1864	6	s
1864	5	w
1865	6	s
1865	5	s
1866	2	s
1866	4	s
1866	2	s
1866	3	s
1868	9	s
1869	3	s
1872	3	w
1872	2	s
1874	5	s
1874	6	s
1875	12	s
1875	4	s
1875	3	s
1880	3	s
1880	3	w
1880	2	w
1884	4	w
1884	2	s
