year	delta	season
1815	19	s
1817	20	w
1824	18	w
1828	17	w
1834	10	s
1843	9	w
1844	11	w
1844	16	s
1845	7	s
1845	8	w
1846	9	w
1846	9	s
1846	10	w
1846	13	w
1847	8	w
1847	15	s
1847	11	s
1847	9	s
1847	8	w
1849	7	s
1849	9	s
1849	6	s
1849	7	s
1850	12	w
1851	8	s
1851	7	s
1857	7	s
1857	9	s
1858	9	w
1858	11	w
1861	5	w
1861	5	w
1861	6	w
1861	7	w
1861	5	w
1861	6	w
1861	7	w
1861	7	w
1861	5	w
1861	5	s
1861	6	s
1861	6	s
1861	6	s
1861	6	s
1862	8	s
1863	4	w
1864	3	w
1865	2	s
1865	2	s
1867	3	w
1867	10	w
1867	2	w
1868	1	w
1868	7	s
1868	4	s
1870	3	s
1870	2	s
1870	2	w
1874	4	s
1877	3	w
1877	4	s
1878	5	s
1878	2	w
1880	2	s
1880	2	s
1880	2	w
1884	2	w
1884	10	s
1886	3	w
1886	6	s
