year	delta
1806	23
1806	21
1808	22
1808	20
1808	22
1808	22
1808	22
1808	16
1810	25
1811	27
1814	26
1837	17
1843	14
1843	10
1848	5
1849	11
1849	8
1849	6
1849	10
1850	11
1850	11
1850	7
1850	8
1850	11
1850	7
1850	6
1850	8
1850	7
1850	5
1850	7
1850	5
1850	6
1850	7
1850	8
1850	6
1850	5
1850	6
1850	7
1850	6
1850	5
1850	7
1850	5
1850	5
1850	5
1850	8
1850	8
1850	5
1850	5
1850	5
1850	5
1850	5
1850	5
1850	6
1850	5
1850	5
1850	5
1850	5
1850	5
1850	8
1850	7
1850	6
1850	5
1850	7
1850	6
1850	6
1850	5
1850	3
1850	8
1850	7
1850	5
1850	6
1850	7
1850	5
1850	6
1850	8
1851	8
1851	10
1851	10
1852	7
1852	10
1853	7
1853	5
1853	9
1854	6
1855	9
1858	10
1863	9
1866	5
1867	11
1873	4
1879	2
1883	4
1883	1
1883	2
1883	5
1884	2
1886	6
1888	11
