year	delta	season
1848	6	s
1848	6	s
1848	9	s
1848	6	s
1848	7	s
1848	6	s
1848	7	s
1848	8	s
1848	7	s
1848	6	s
1848	6	s
1848	7	s
1848	6	s
1848	7	s
1848	7	s
1848	7	s
1848	8	s
1848	7	s
1848	8	s
1848	6	s
1848	6	s
1848	8	s
1848	6	s
1848	7	s
1848	6	s
1848	8	s
1848	6	s
1848	3	s
1848	6	s
1848	6	s
1848	6	s
1848	11	w
1848	11	w
1849	11	w
1849	6	w
1849	7	w
1849	6	w
1849	11	w
1849	7	w
1849	7	w
1849	11	w
1849	9	w
1849	7	w
1849	7	s
1849	6	s
1849	7	s
1849	7	s
1849	7	s
1849	6	s
1849	6	s
1849	6	s
1849	7	s
1849	8	s
1849	8	s
1849	6	s
1849	6	s
1849	6	s
1849	6	s
1849	6	s
1849	6	s
1849	9	s
1849	7	s
1849	7	s
1849	8	s
1849	6	s
1849	7	s
1849	8	s
1849	9	s
1849	9	s
1849	10	s
1849	8	s
1849	8	w
1849	9	w
1849	7	w
1849	8	w
1849	7	w
1849	7	w
1849	7	w
1849	8	w
1850	6	w
1850	8	w
1850	7	w
1850	8	w
1850	9	w
1850	9	w
1850	7	w
1850	8	w
1850	7	w
1850	7	w
1850	7	s
1850	4	s
1850	7	s
1850	8	s
1850	11	s
1850	8	s
1850	8	s
1850	8	s
1850	7	s
1850	6	s
1850	7	s
1850	8	s
1850	6	s
1850	8	s
1850	9	s
1850	6	s
1850	7	s
1850	8	s
1850	7	s
1850	7	s
1850	8	s
1850	7	s
1850	10	s
1850	10	s
1850	9	s
1850	8	s
1850	8	s
1850	9	s
1850	9	w
1851	9	w
1851	8	w
1851	10	w
1851	8	w
1851	8	w
1851	8	s
1851	6	s
1851	7	s
1851	5	s
1851	38	s
1852	6	s
1854	6	s
1854	4	w
1854	6	w
1854	6	w
1854	7	w
1854	6	w
1854	5	w
1854	7	w
1855	5	w
1855	6	s
1855	8	w
1855	4	w
1855	7	w
1856	4	s
1856	8	s
1856	6	w
1856	5	w
1857	6	w
1857	8	w
1857	8	w
1857	6	w
1857	6	w
1857	7	w
1857	6	w
1857	7	w
1857	5	w
1857	5	w
1857	5	w
1857	7	w
1857	6	w
1857	8	w
1857	8	w
1857	8	w
1857	9	w
1857	8	w
1857	9	w
1857	7	s
1858	9	s
1858	10	w
1859	11	w
1859	7	s
1860	8	w
1860	7	w
1860	6	w
1860	6	w
1860	6	w
1860	4	w
1860	4	w
1860	6	w
1860	6	w
1860	4	w
1860	7	w
1860	7	w
1860	7	w
1860	6	w
1860	8	w
1860	8	w
1860	9	w
1860	7	w
1860	6	w
1860	7	w
1860	7	w
1860	7	w
1860	4	w
1860	7	w
1860	7	w
1860	7	w
1860	7	w
1860	7	s
1860	7	s
1860	8	s
1860	8	s
1860	10	w
1860	7	w
1860	8	w
1862	8	s
1862	7	s
1863	4	s
1863	5	s
1863	3	s
1863	4	s
1863	4	s
1863	4	s
1863	3	s
1863	67	w
1863	4	w
1864	7	w
1864	10	w
1864	5	w
1864	3	w
1864	8	w
1864	4	w
1864	4	w
1864	4	w
1864	4	w
1864	4	w
1864	9	w
1864	4	w
1864	7	w
1864	4	w
1864	5	w
1864	6	w
1864	4	w
1864	6	w
1864	8	w
1864	4	s
1864	6	s
1864	7	s
1864	7	s
1864	5	s
1864	3	s
1864	3	s
1864	4	s
1864	3	s
1864	6	s
1864	3	s
1864	4	s
1864	3	s
1864	3	s
1864	3	s
1864	6	s
1864	3	s
1864	11	s
1864	9	s
1864	2	s
1864	3	s
1864	3	s
1864	2	s
1864	3	s
1864	3	s
1864	2	w
1864	3	w
1865	4	w
1865	2	w
1865	3	w
1865	2	s
1865	3	s
1865	3	s
1865	4	s
1865	3	s
1865	2	s
1865	3	w
1866	4	w
1866	2	s
1866	3	w
1866	3	w
1866	7	w
1867	11	w
1867	7	s
1868	7	s
1868	6	s
1868	14	s
1869	7	s
1869	22	s
1870	3	s
1870	2	w
1874	3	s
1875	8	s
1875	2	w
1881	2	s
1888	4	s
