year	delta	season
1802	35	s
1802	36	s
1803	38	w
1803	32	s
1804	38	w
1804	35	w
1804	37	w
1805	36	w
1805	37	w
1805	36	w
1805	37	s
1808	44	w
1809	43	w
1811	35	w
1811	35	s
1811	37	w
1815	28	w
1817	38	s
1818	33	w
1819	32	w
1820	32	s
1821	36	w
1825	31	w
1826	26	s
1826	28	s
1827	29	s
1828	25	s
1829	25	w
1829	35	w
1829	27	w
1829	21	w
1829	20	s
1829	19	s
1830	31	w
1830	21	w
1831	21	w
1831	19	w
1831	19	w
1831	21	s
1831	21	s
1832	18	w
1832	21	w
1833	17	w
1833	23	s
1834	18	w
1834	26	w
1836	25	s
1837	20	w
1837	17	w
1838	16	w
1838	21	s
1838	16	w
1839	20	w
1839	32	w
1839	16	s
1839	16	s
1839	17	w
1840	18	w
1840	20	w
1840	14	s
1840	19	w
1841	18	s
1841	16	s
1841	14	s
1841	19	w
1842	17	w
1842	18	w
1842	17	w
1842	19	w
1842	20	s
1843	17	w
1843	28	s
1843	16	w
1844	16	w
1844	15	s
1844	14	s
1844	14	s
1844	17	s
1844	17	w
1844	17	w
1845	18	w
1845	24	w
1845	22	w
1845	16	s
1845	14	w
1845	16	w
1846	21	w
1846	14	s
1846	12	s
1846	15	s
1846	27	s
1846	15	s
1846	15	w
1847	15	w
1847	16	w
1847	17	w
1847	15	w
1847	15	w
1847	18	w
1847	15	s
1847	28	s
1847	22	s
1847	16	s
1847	16	s
1847	13	s
1847	17	s
1847	14	s
1847	14	s
1847	14	s
1847	14	s
1847	12	s
1847	14	s
1847	17	w
1847	17	w
1847	15	w
1847	15	w
1847	18	w
1847	14	w
1847	15	w
1847	14	w
1847	14	w
1847	13	w
1847	16	w
1847	15	w
1847	16	w
1847	16	w
1847	14	w
1848	14	w
1848	15	w
1848	15	w
1848	15	w
1848	15	w
1848	16	w
1848	16	w
1848	16	w
1848	13	w
1848	16	w
1848	15	w
1848	14	w
1848	13	w
1848	16	w
1848	15	w
1848	16	w
1848	34	s
1848	19	s
1848	13	s
1848	15	s
1848	16	s
1848	15	s
1848	14	s
1848	15	s
1848	14	w
1848	20	w
1848	13	w
1848	20	w
1848	15	w
1848	15	w
1848	17	w
1849	14	w
1849	18	w
1849	14	w
1849	17	w
1849	14	w
1849	15	w
1849	17	w
1849	14	w
1849	15	w
1849	17	w
1849	16	w
1849	13	w
1849	14	w
1849	16	w
1849	14	w
1849	16	w
1849	15	w
1849	17	w
1849	15	w
1849	14	w
1849	15	w
1849	13	w
1849	13	w
1849	12	w
1849	15	w
1849	13	w
1849	16	w
1849	16	w
1849	15	w
1849	14	w
1849	15	w
1849	14	w
1849	15	w
1849	13	w
1849	14	w
1849	15	s
1849	14	s
1849	16	s
1849	14	s
1849	15	s
1849	16	s
1849	16	s
1849	16	s
1849	18	s
1849	14	s
1849	15	s
1849	14	s
1849	15	s
1849	17	s
1849	14	s
1849	14	s
1849	12	s
1849	13	s
1849	15	s
1849	14	s
1849	16	s
1849	16	s
1849	14	s
1849	13	s
1849	14	s
1849	13	s
1849	12	w
1849	13	w
1849	14	w
1849	15	w
1849	14	w
1850	14	w
1850	18	w
1850	15	w
1850	16	w
1850	14	w
1850	13	w
1850	16	w
1850	16	w
1850	15	w
1850	14	w
1850	20	w
1850	15	w
1850	18	w
1850	16	w
1850	14	w
1850	12	w
1850	20	w
1850	10	s
1850	21	s
1850	15	s
1850	13	s
1850	14	s
1850	13	s
1850	12	s
1850	11	s
1850	13	s
1850	12	s
1850	15	s
1850	12	s
1850	9	s
1850	12	s
1850	12	s
1850	9	s
1850	14	s
1850	9	w
1850	12	w
1850	16	w
1850	15	w
1850	12	w
1850	14	w
1851	12	w
1851	15	w
1851	13	w
1851	13	w
1851	12	w
1851	18	s
1851	10	s
1851	12	s
1851	9	s
1851	12	s
1851	18	s
1851	11	s
1851	12	s
1851	10	s
1851	10	s
1851	11	s
1851	9	s
1851	10	s
1851	15	s
1851	12	s
1851	11	s
1851	11	s
1851	10	w
1851	13	w
1851	13	w
1851	14	w
1851	11	w
1852	15	w
1852	11	w
1852	11	s
1852	10	s
1852	10	s
1852	9	s
1852	12	s
1852	9	s
1852	9	s
1852	9	s
1852	9	s
1852	13	s
1852	10	w
1852	13	w
1852	13	w
1852	10	w
1852	9	w
1853	12	w
1853	13	w
1853	17	w
1853	15	w
1853	17	w
1853	12	w
1853	11	w
1853	5	w
1853	10	w
1853	9	s
1853	11	s
1853	14	s
1853	12	s
1853	9	s
1853	9	s
1853	16	s
1853	83	s
1853	10	w
1853	10	w
1853	12	w
1854	9	w
1854	10	w
1854	12	w
1855	12	w
1855	14	w
1855	11	s
1855	8	s
1855	10	s
1855	13	s
1855	16	s
1855	10	w
1856	8	w
1856	7	w
1856	7	w
1856	8	w
1856	9	s
1856	8	s
1856	15	s
1856	9	s
1856	12	w
1856	12	w
1856	8	w
1857	12	w
1857	12	w
1857	7	w
1857	11	w
1857	11	s
1857	8	s
1857	9	s
1857	9	s
1857	17	s
1857	8	s
1857	10	s
1857	10	s
1857	11	s
1857	13	s
1857	8	s
1857	8	s
1857	7	s
1857	13	s
1857	12	s
1857	11	s
1857	8	s
1857	8	s
1857	9	s
1857	9	w
1857	17	w
1858	13	w
1858	8	s
1858	15	s
1858	12	s
1858	15	s
1858	14	s
1858	10	s
1858	12	s
1858	12	s
1858	9	s
1858	14	s
1858	9	s
1859	10	w
1859	13	w
1859	9	w
1859	11	w
1859	9	w
1859	9	w
1859	11	s
1859	10	s
1859	12	s
1859	13	s
1859	9	s
1859	11	s
1859	13	s
1859	9	s
1859	6	s
1859	11	s
1859	12	s
1859	9	s
1859	8	s
1859	6	s
1859	13	s
1859	11	s
1859	10	s
1859	13	s
1859	10	s
1859	17	s
1859	8	s
1859	10	s
1859	13	s
1859	10	s
1859	12	s
1859	17	s
1859	10	s
1859	11	s
1859	9	s
1859	10	s
1859	12	s
1859	15	s
1859	4	s
1859	5	s
1859	12	s
1859	11	s
1859	14	s
1859	12	s
1859	14	s
1859	10	w
1859	14	w
1859	11	w
1859	10	w
1859	14	w
1859	20	w
1859	12	w
1859	6	w
1860	10	w
1860	12	w
1860	13	w
1860	11	w
1860	8	w
1860	14	w
1860	14	w
1860	8	w
1860	5	w
1860	7	w
1860	8	w
1860	7	w
1860	11	w
1860	16	w
1860	5	s
1860	4	s
1860	4	s
1860	15	s
1860	11	w
1860	11	w
1860	11	w
1860	12	w
1861	12	w
1861	7	s
1861	8	s
1861	8	s
1861	9	s
1865	3	w
1865	8	w
1865	9	s
1865	2	s
1865	7	s
1865	3	s
1865	2	s
1865	3	s
1865	3	s
1865	4	s
1865	3	s
1865	3	s
1865	3	s
1865	3	s
1865	4	s
1865	3	s
1865	4	s
1865	3	s
1865	3	s
1865	3	s
1865	4	s
1865	7	s
1865	3	s
1865	3	s
1865	4	s
1865	4	s
1865	6	s
1865	3	s
1865	3	s
1865	3	s
1865	8	s
1865	4	s
1865	3	s
1865	3	s
1865	3	s
1865	10	s
1865	9	s
1865	4	s
1865	3	s
1865	3	s
1865	4	s
1865	8	s
1865	4	s
1865	3	w
1865	3	w
1865	2	w
1865	3	w
1865	3	w
1865	3	w
1865	3	w
1865	10	w
1865	2	w
1865	4	w
1865	3	w
1865	10	w
1865	3	w
1865	4	w
1865	4	w
1865	3	w
1865	4	w
1865	3	w
1865	3	w
1865	2	w
1866	5	w
1866	5	w
1866	11	w
1866	3	w
1866	8	w
1866	8	w
1866	4	w
1866	4	w
1866	4	w
1866	4	w
1866	3	w
1866	2	w
1866	4	w
1866	2	w
1866	4	w
1866	4	w
1866	4	w
1866	2	w
1866	4	w
1866	5	w
1866	14	w
1866	4	w
1866	3	w
1866	3	w
1866	3	w
1866	4	w
1866	11	w
1866	12	w
1866	4	s
1866	6	s
1866	15	w
1866	9	s
1866	3	s
1866	4	s
1866	3	s
1866	5	s
1866	4	s
1866	3	s
1866	7	s
1866	7	s
1866	4	s
1866	3	s
1866	4	s
1866	4	s
1866	8	s
1866	4	s
1866	3	s
1866	4	s
1866	3	s
1866	10	s
1866	5	s
1866	4	s
1866	4	s
1866	2	s
1866	13	s
1866	4	s
1866	5	s
1866	15	s
1866	6	s
1866	3	s
1866	10	s
1866	4	s
1866	3	s
1866	3	s
1866	3	s
1866	7	s
1866	4	s
1866	2	s
1866	4	s
1866	3	s
1866	11	s
1866	3	s
1866	5	s
1866	3	s
1866	11	s
1866	3	s
1866	3	s
1866	3	s
1866	3	s
1866	6	s
1866	3	s
1866	5	s
1866	3	s
1866	3	s
1866	3	s
1866	11	s
1866	10	s
1866	4	s
1866	4	s
1866	3	s
1866	3	s
1866	4	s
1866	3	s
1866	3	s
1866	11	s
1866	4	s
1866	3	s
1866	9	s
1866	3	s
1866	4	s
1866	3	s
1866	10	s
1866	4	s
1866	3	s
1866	4	s
1866	4	s
1866	9	s
1866	3	s
1866	2	s
1866	4	s
1866	4	s
1866	12	s
1866	4	s
1866	8	s
1866	2	s
1866	10	s
1866	9	s
1866	4	s
1866	10	s
1866	4	s
1866	12	s
1866	10	s
1866	3	s
1866	5	s
1866	10	s
1866	4	s
1866	9	s
1866	4	s
1866	4	s
1866	10	s
1866	3	s
1866	9	s
1866	3	s
1866	8	s
1866	4	s
1866	8	s
1866	3	s
1866	9	s
1866	8	s
1866	4	s
1866	7	s
1866	4	s
1866	3	s
1866	8	s
1866	3	s
1866	3	s
1866	3	s
1866	3	s
1866	8	s
1866	3	w
1866	11	s
1866	3	w
1866	8	w
1866	3	w
1866	8	w
1866	3	w
1866	8	w
1866	1	w
1866	9	w
1866	1	w
1866	8	w
1866	8	w
1866	4	w
1866	3	w
1866	10	w
1866	8	w
1866	2	w
1866	3	w
1866	5	w
1866	4	w
1866	2	w
1866	3	w
1866	3	w
1866	3	w
1866	1	w
1866	3	w
1866	2	w
1866	11	w
1866	8	w
1866	4	w
1866	9	w
1866	4	w
1866	9	w
1866	3	w
1866	1	w
1866	4	w
1866	3	w
1866	1	w
1866	10	w
1866	2	w
1866	4	w
1866	8	w
1866	3	w
1866	3	w
1866	11	w
1866	4	w
1866	3	w
1866	2	w
1867	5	w
1867	3	w
1867	2	w
1867	9	w
1867	3	w
1867	4	w
1867	2	w
1867	4	w
1867	4	w
1867	9	w
1867	7	w
1867	5	w
1867	1	w
1867	11	w
1867	3	w
1867	10	w
1867	4	w
1867	3	w
1867	1	w
1867	3	w
1867	4	w
1867	2	w
1867	3	w
1867	4	w
1867	3	w
1867	3	w
1867	8	w
1867	1	w
1867	8	w
1867	3	w
1867	3	w
1867	5	w
1867	7	w
1867	3	w
1867	6	w
1867	6	w
1867	8	w
1867	311	s
1867	4	w
1867	4	w
1867	3	w
1867	2	s
1867	1	s
1867	6	w
1867	3	s
1867	8	w
1867	6	s
1867	8	s
1867	7	s
1867	9	s
1867	5	s
1867	8	s
1867	2	s
1867	8	s
1867	3	s
1867	3	s
1867	5	s
1867	4	s
1867	2	s
1867	6	s
1867	6	s
1867	3	s
1867	3	s
1867	8	s
1867	4	s
1867	12	s
1867	8	s
1867	9	s
1867	3	s
1867	3	s
1867	1	s
1867	7	s
1867	9	s
1867	3	s
1867	2	s
1867	8	s
1867	1	s
1867	4	s
1867	2	s
1867	8	s
1867	3	s
1867	4	s
1867	3	s
1867	1	s
1867	7	s
1867	3	s
1867	7	s
1867	3	s
1867	4	s
1867	4	s
1867	8	s
1867	4	s
1867	2	s
1867	7	s
1867	3	s
1867	3	s
1867	7	s
1867	3	s
1867	3	s
1867	5	s
1867	4	s
1867	3	s
1867	3	s
1867	1	s
1867	1	s
1867	8	s
1867	4	s
1867	1	s
1867	4	s
1867	3	s
1867	3	s
1867	4	s
1867	3	s
1867	3	w
1867	7	s
1867	3	w
1867	4	w
1867	3	w
1867	3	w
1867	1	w
1867	3	w
1867	3	w
1867	3	w
1867	3	w
1867	4	w
1867	3	w
1867	1	w
1867	3	w
1867	4	w
1867	3	w
1867	2	w
1867	3	w
1867	1	w
1867	4	w
1867	3	w
1867	3	w
1867	2	w
1867	3	w
1867	3	w
1867	8	w
1867	3	w
1867	2	w
1867	4	w
1867	4	w
1867	3	w
1867	3	w
1867	3	w
1867	4	w
1867	3	w
1867	3	w
1867	2	w
1867	3	w
1867	3	w
1867	7	w
1867	4	w
1867	3	w
1867	2	w
1867	3	w
1867	2	w
1867	3	w
1867	2	w
1867	4	w
1867	3	w
1867	3	w
1867	3	w
1867	4	w
1867	3	w
1867	3	w
1867	4	w
1867	3	w
1867	6	w
1867	2	w
1867	3	w
1867	1	w
1867	1	w
1867	3	w
1867	4	w
1867	4	w
1867	2	w
1867	4	w
1867	3	w
1867	4	w
1867	3	w
1868	5	w
1868	3	w
1868	11	w
1868	5	w
1868	3	w
1868	3	w
1868	3	w
1868	9	w
1868	3	w
1868	3	w
1868	3	w
1868	8	w
1868	3	w
1868	4	w
1868	2	w
1868	3	w
1868	3	w
1868	3	w
1868	3	w
1868	8	w
1868	3	w
