year	delta	season
1802	22	w
1802	22	w
1802	22	w
1802	28	w
1802	21	w
1802	21	s
1802	22	s
1802	19	s
1802	21	s
1802	22	w
1803	21	w
1803	21	s
1804	21	w
1804	22	w
1804	21	s
1804	21	s
1804	22	w
1805	18	w
1805	21	w
1805	12	w
1805	22	w
1805	22	w
1805	31	s
1805	21	s
1805	21	s
1805	20	s
1805	22	w
1806	36	w
1806	25	w
1806	22	w
1806	35	w
1806	21	s
1806	67	s
1806	25	s
1806	57	w
1806	40	w
1807	71	w
1807	82	s
1807	29	w
1807	30	w
1807	29	w
1808	35	w
1808	32	w
1808	28	w
1808	29	w
1808	30	w
1808	23	w
1808	29	w
1808	35	w
1808	23	s
1808	25	s
1808	26	s
1808	22	s
1808	23	s
1808	23	s
1808	22	s
1809	24	w
1809	25	w
1809	21	w
1809	26	w
1809	29	w
1809	24	w
1809	24	w
1809	22	s
1809	21	s
1809	22	s
1809	21	s
1809	23	s
1809	21	s
1809	20	s
1809	21	s
1809	20	s
1809	21	s
1809	20	s
1809	20	s
1809	22	s
1809	23	s
1809	20	s
1809	24	w
1810	22	w
1810	20	w
1810	24	w
1810	24	w
1810	24	w
1810	21	w
1810	21	w
1810	21	w
1810	21	s
1810	21	s
1810	20	s
1810	21	s
1810	21	s
1810	23	s
1810	23	s
1810	21	s
1810	22	s
1810	20	s
1810	22	s
1810	22	s
1810	24	w
1811	21	w
1811	24	w
1811	27	w
1811	20	w
1811	27	w
1811	20	s
1811	21	s
1811	21	s
1812	25	w
1812	22	w
1812	20	w
1812	22	w
1812	20	w
1812	26	w
1812	19	s
1812	23	s
1813	18	w
1813	22	w
1813	18	w
1813	19	w
1813	20	w
1813	20	w
1813	19	w
1814	18	w
1814	20	w
1814	21	w
1814	21	w
1814	22	w
1814	23	w
1814	18	w
1814	17	w
1814	16	w
1814	18	w
1814	16	w
1814	23	w
1814	17	s
1814	21	s
1814	19	s
1814	20	s
1814	17	s
1814	23	s
1814	23	s
1814	21	s
1814	22	s
1814	20	w
1814	19	w
1815	22	w
1815	20	w
1815	18	w
1815	20	w
1815	21	w
1815	20	s
1815	21	s
1815	20	s
1815	19	s
1815	18	s
1815	19	s
1815	20	s
1815	19	s
1815	19	s
1815	18	s
1815	19	s
1815	19	s
1815	21	s
1815	19	s
1815	19	s
1815	20	s
1815	22	s
1815	19	w
1815	20	w
1815	20	w
1815	20	w
1815	20	w
1815	19	w
1816	19	w
1816	21	w
1816	20	w
1816	21	w
1816	24	w
1816	21	w
1816	20	s
1816	21	s
1816	18	s
1816	21	s
1816	20	s
1816	19	s
1816	20	s
1816	24	s
1816	20	s
1816	21	s
1816	21	s
1816	21	s
1816	18	s
1816	20	s
1816	20	s
1816	20	s
1816	20	w
1816	20	w
1816	22	w
1816	19	w
1816	18	w
1816	21	w
1816	20	w
1816	21	w
1816	19	w
1816	21	w
1816	18	w
1817	21	w
1817	21	w
1817	14	w
1817	20	w
1817	21	w
1817	21	w
1817	20	w
1817	23	w
1817	20	w
1817	21	w
1817	21	w
1817	21	s
1817	19	s
1817	19	s
1817	21	s
1817	21	s
1817	20	s
1817	18	s
1817	24	s
1817	21	s
1817	18	s
1817	18	s
1817	18	s
1817	20	s
1817	21	s
1817	18	s
1817	22	s
1817	21	s
1817	21	w
1817	20	w
1817	21	w
1817	14	w
1817	15	w
1817	21	w
1817	13	w
1818	21	w
1818	20	w
1818	20	w
1818	22	w
1818	21	w
1818	20	w
1818	19	w
1818	19	w
1818	20	w
1818	21	w
1818	19	s
1818	22	s
1818	21	s
1818	19	s
1818	20	s
1818	21	s
1818	21	s
1818	18	s
1818	21	s
1818	18	s
1818	20	s
1818	20	s
1818	18	w
1818	20	w
1819	21	w
1819	20	w
1819	17	w
1819	21	w
1819	25	w
1819	20	s
1819	21	s
1819	21	s
1819	21	s
1819	15	s
1819	22	s
1819	21	s
1819	19	s
1819	17	s
1819	15	s
1820	15	s
1820	19	s
1821	17	w
1821	23	w
1821	21	w
1821	20	s
1821	22	s
1821	20	s
1821	21	s
1821	21	w
1822	21	w
1822	20	s
1822	20	s
1822	29	s
1822	23	s
1822	16	w
1822	16	w
1822	16	w
1823	23	w
1823	16	w
1823	20	w
1823	21	s
1823	18	s
1823	17	s
1823	24	w
1823	20	w
1823	16	w
1823	16	w
1824	23	w
1824	22	w
1824	20	w
1824	20	w
1824	21	w
1825	15	w
1825	16	w
1825	17	w
1825	17	w
1825	16	s
1825	17	s
1825	18	s
1826	15	w
1826	17	s
1828	17	w
1828	17	w
1828	15	w
1828	18	s
1828	13	s
1828	13	s
1828	14	s
1829	13	w
1829	13	s
1829	13	w
1829	14	w
1830	15	w
1830	16	w
1830	13	w
1830	17	s
1831	11	s
1831	12	s
1831	19	w
1832	17	w
1832	19	w
1832	11	s
1832	12	w
1833	11	w
1833	17	s
1834	10	w
1835	14	w
1835	8	s
1835	15	s
1835	8	s
1835	12	s
1835	12	s
1835	16	s
1835	11	w
1835	13	w
1835	16	w
1835	10	w
1835	11	w
1835	15	w
1836	10	w
1836	14	w
1836	10	w
1836	14	w
1836	14	w
1836	11	s
1836	15	s
1836	9	s
1836	10	s
1836	10	s
1836	9	s
1836	10	s
1836	10	s
1836	13	w
1836	11	w
1836	11	w
1836	10	w
