year	delta	season
1814	20	w
1814	28	w
1814	37	w
1819	26	s
1822	23	s
1825	31	w
1832	52	s
1833	19	w
1833	14	s
1834	13	s
1835	14	w
1836	22	s
1838	14	s
1841	15	w
1841	11	s
1847	12	w
1847	11	w
1847	9	w
1847	10	w
1847	10	w
1848	8	s
1848	8	s
1848	8	s
1848	9	s
1848	10	s
1848	9	s
1848	9	s
1848	9	s
1848	10	s
1848	9	s
1848	8	s
1848	16	s
1849	8	w
1849	8	w
1849	10	s
1849	9	s
1849	10	s
1849	11	s
1849	10	s
1849	9	s
1849	10	s
1849	8	s
1849	9	s
1849	10	s
1849	9	s
1849	11	s
1849	7	s
1849	9	s
1849	26	s
1849	10	s
1849	9	s
1849	9	s
1849	8	s
1849	9	w
1850	8	s
1850	13	s
1850	8	s
1850	8	s
1850	8	w
1851	8	w
1851	8	s
1852	9	s
1852	10	s
1852	26	s
1853	8	s
1853	8	s
1853	9	s
1853	9	s
1853	9	s
1853	8	s
1853	11	s
1853	6	s
1853	8	w
1853	4	w
1853	6	w
1853	7	w
1853	8	w
1853	8	w
1853	6	w
1853	7	w
1853	9	w
1853	8	w
1853	9	w
1853	9	w
1853	8	w
1853	7	w
1853	6	w
1853	11	w
1853	8	w
1853	8	w
1853	9	w
1853	8	w
1853	7	w
1854	8	w
1854	8	w
1854	11	w
1854	9	w
1854	6	w
1854	10	w
1854	6	s
1854	8	s
1854	6	s
1854	7	s
1854	6	s
1854	5	s
1854	6	s
1854	7	s
1854	8	s
1854	6	s
1854	8	s
1854	6	s
1854	4	w
1854	9	w
1854	7	w
1854	4	w
1854	7	w
1855	9	w
1855	7	w
1855	10	w
1855	10	s
1856	8	w
1856	9	w
1856	11	w
1856	7	w
1857	7	s
1857	5	s
1857	7	s
1857	9	s
1857	7	w
1858	10	w
1858	7	s
1859	9	w
1859	8	s
1859	10	s
1859	6	s
1859	9	w
1859	12	w
1860	8	w
1860	9	w
1860	7	s
1860	11	s
1860	8	s
1861	8	s
1867	8	w
1868	2	s
1870	7	w
