year	delta	season
1804	20	s
1806	29	w
1808	28	w
1837	24	w
1840	18	s
1844	10	w
1846	7	w
1847	13	w
1850	8	s
1850	8	s
1850	9	s
1850	8	s
1850	8	s
1850	9	w
1850	11	w
1850	5	w
1850	9	w
1850	7	w
1850	8	w
1850	8	w
1850	11	w
1850	10	w
1850	8	w
1850	8	w
1850	9	w
1850	9	w
1850	10	w
1850	7	w
1850	8	w
1850	7	w
1850	7	w
1850	9	w
1850	9	w
1850	8	w
1850	7	w
1850	9	w
1850	7	w
1850	7	w
1850	10	w
1850	9	w
1850	8	w
1851	10	w
1851	8	w
1851	8	s
1852	7	w
1852	9	w
1852	19	s
1853	7	w
1853	8	w
1853	6	w
1853	7	w
1855	4	s
1855	8	s
1855	6	s
1855	8	s
1856	6	s
1860	6	s
1861	13	w
1861	9	w
1867	11	s
1869	4	s
1869	8	s
1870	7	w
1871	2	s
1871	11	s
1872	2	w
1872	2	s
1872	2	s
1872	4	s
1873	3	s
1873	2	s
1873	6	s
1873	2	s
1873	4	s
1873	2	s
1873	2	w
1874	6	s
1874	6	s
1875	3	w
1875	2	w
1878	2	w
1880	2	s
1880	2	s
1881	3	w
1881	2	w
1884	2	s
1886	2	s
1886	2	s
