year	delta
1814	28
1814	25
1814	24
1814	32
1814	27
1815	25
1815	23
1815	27
1815	27
1817	28
1820	26
1827	24
1828	25
1828	21
1828	21
1828	18
1828	18
1828	20
1828	18
1828	20
1829	20
1830	18
1830	27
1830	23
1833	17
1833	26
1833	17
1834	16
1834	15
1834	26
1834	35
1835	13
1835	15
1836	20
1836	17
1838	15
1838	16
1838	18
1838	18
1839	16
1840	16
1840	19
1841	15
1841	15
1841	15
1841	15
1841	16
1841	16
1842	16
1843	11
1843	13
1843	15
1843	14
1844	18
1846	12
1846	13
1847	16
1848	10
1849	10
1850	16
1850	13
1851	12
1852	10
1852	10
1852	9
1853	10
1853	8
1854	8
1854	8
1855	8
1855	11
1856	10
1856	10
1856	9
1856	10
1856	12
1857	7
1857	10
1857	8
1857	10
1857	11
1857	10
1857	11
1858	13
1858	11
1858	9
1858	10
1858	12
1858	9
1858	9
1858	10
1858	10
1858	10
1858	11
1858	9
1858	8
1858	9
1858	11
1858	10
1858	11
1858	7
1858	11
1858	15
1858	8
1858	9
1859	12
1859	11
1859	10
1859	10
1859	10
1860	12
1860	10
1860	10
1860	12
1860	8
1860	11
1861	11
1862	3
1862	3
1864	15
1864	2
1864	7
1864	2
1864	3
1865	10
1867	3
1867	3
1867	3
1867	10
1867	4
1867	3
1867	7
1867	6
1867	7
1867	10
1868	3
1868	6
1868	4
1868	7
1868	2
1868	4
1868	9
1868	3
1868	10
1868	3
1869	3
1869	8
1869	7
1869	4
1869	3
1870	3
1870	3
1870	4
1870	3
1870	3
1870	3
1871	3
1871	4
1871	7
1871	4
1871	3
1871	1
1871	1
1871	3
1871	2
1871	8
1871	2
1871	2
1872	8
1872	2
1872	3
1872	3
1872	3
1872	1
1872	3
1872	3
1872	3
1872	3
1872	8
1872	6
1872	2
1872	12
1872	2
1873	3
1873	1
1873	5
1873	3
1873	3
1873	4
1873	7
1873	3
1873	3
1873	2
1873	3
1873	3
1873	3
1873	3
1873	3
1873	4
1873	3
1873	4
1873	3
1873	3
1874	4
1874	4
1874	3
1874	3
1874	3
1874	3
1874	10
1874	7
1874	3
1875	7
1875	4
1875	4
1875	6
1875	3
1875	3
1878	3
1878	4
1879	3
1879	6
1880	5
1880	2
1883	2
1884	5
1887	1
