year	delta	season
1814	24	s
1814	26	s
1814	23	w
1815	23	w
1815	22	w
1815	24	s
1815	24	s
1815	22	s
1815	22	s
1816	21	w
1817	23	s
1830	16	w
1831	15	w
1831	75	w
1831	15	s
1831	16	s
1832	14	w
1832	16	w
1834	14	w
1834	12	w
1839	11	s
1839	11	w
1856	5	s
1864	3	s
1866	9	s
1866	15	s
1866	8	s
1866	9	s
1866	9	s
1866	10	s
1866	8	s
1866	9	s
1866	10	s
1866	9	s
1866	9	s
1866	9	s
1866	9	s
1866	9	s
1866	9	s
1866	9	w
1866	9	w
1866	7	w
1866	9	w
1867	9	w
1867	9	s
1867	10	s
1867	8	s
1867	9	s
1867	9	s
1867	8	s
1867	9	s
1867	9	s
1867	9	s
1867	10	s
1867	8	s
1867	11	s
1867	10	w
1867	11	w
1867	12	w
1867	9	w
1867	9	w
1867	7	w
1868	12	w
1868	9	s
1868	8	s
1868	11	s
1868	10	s
1868	8	s
1868	40	s
1868	10	s
1868	9	s
1868	12	s
1868	9	s
1868	7	s
1868	11	s
1868	9	s
1868	9	w
1868	8	w
1868	11	w
1868	14	w
1869	9	s
1869	12	s
1869	12	s
1869	15	s
1869	10	s
1869	10	w
1870	3	w
1871	1	w
1871	5	w
1873	3	s
1875	3	s
1875	2	s
1875	3	s
1875	3	s
1875	3	s
1878	3	s
1880	2	s
1880	2	w
1886	2	w
1887	2	w
