year	delta	season
1802	35	s
1802	35	s
1802	35	s
1804	37	w
1804	36	w
1804	35	w
1804	37	w
1804	37	s
1804	35	s
1804	35	s
1805	34	w
1805	35	w
1805	34	w
1805	35	w
1805	32	w
1805	35	s
1805	35	s
1805	37	w
1806	35	w
1807	56	s
1810	31	w
1810	32	w
1810	31	s
1810	46	w
1811	35	w
1811	36	s
1812	39	w
1814	31	w
1814	40	s
1814	35	s
1814	38	s
1815	30	w
1815	42	w
1815	26	w
1815	28	s
1815	38	s
1815	35	s
1816	35	w
1816	34	s
1816	37	s
1816	35	s
1816	27	s
1816	40	s
1817	29	w
1817	31	w
1818	39	w
1818	31	s
1819	35	s
1821	32	w
1822	33	w
1824	36	w
1825	29	s
1825	28	w
1827	24	w
1829	28	s
1829	19	s
1830	19	s
1830	28	s
1832	27	w
1832	35	w
1832	37	s
1833	30	s
1833	30	s
1834	26	s
1834	17	s
1834	20	w
1835	26	s
1835	38	s
1836	19	w
1836	18	s
1837	18	w
1838	25	s
1838	21	w
1843	17	w
1846	12	w
1846	26	s
1846	18	s
1846	12	s
1846	15	s
1847	14	w
1847	18	s
1847	21	s
1847	19	w
1848	14	w
1848	18	w
1848	14	w
1848	20	w
1848	14	w
1848	15	w
1848	14	w
1848	16	w
1848	18	w
1848	15	w
1848	14	w
1848	15	w
1848	16	s
1848	16	s
1848	18	s
1848	13	s
1848	17	s
1848	13	s
1848	19	s
1848	12	s
1848	16	s
1848	18	s
1848	18	s
1848	16	s
1848	14	s
1848	13	w
1848	14	w
1848	16	w
1848	14	w
1849	13	w
1849	11	w
1849	18	w
1849	23	w
1849	23	w
1849	20	w
1849	19	w
1849	16	w
1849	12	w
1849	13	w
1849	13	w
1849	12	s
1849	13	s
1849	14	s
1849	12	s
1849	12	s
1849	13	s
1849	12	s
1850	10	s
1850	10	s
1850	15	s
1850	12	s
1850	9	w
1850	15	w
1850	10	w
1851	17	w
1851	14	w
1851	12	w
1851	10	w
1851	14	w
1851	10	s
1851	13	s
1851	13	s
1851	9	s
1851	14	s
1851	15	s
1851	13	s
1851	8	s
1851	10	s
1851	9	s
1851	10	s
1851	12	s
1851	13	s
1851	11	s
1851	9	w
1852	13	w
1852	10	w
1852	10	w
1852	10	w
1852	10	w
1852	10	w
1852	10	w
1852	9	w
1852	12	w
1852	9	s
1852	10	s
1852	63	s
1852	9	w
1852	10	w
1853	11	w
1853	10	w
1853	8	w
1853	14	s
1853	10	s
1853	8	s
1853	11	s
1853	10	s
1853	9	s
1853	10	s
1853	11	s
1853	9	w
1853	11	w
1853	7	w
1853	9	w
1853	10	w
1853	11	w
1853	6	w
1853	11	w
1854	11	w
1854	8	w
1854	10	w
1854	16	w
1854	10	w
1854	13	w
1854	8	w
1854	11	w
1854	11	w
1854	10	s
1854	8	s
1854	7	s
1854	9	s
1855	9	w
1855	8	w
1855	11	w
1855	11	w
1855	9	w
1855	10	s
1855	9	s
1855	16	s
1855	9	s
1855	8	s
1855	10	s
1855	7	s
1855	8	w
1855	7	w
1855	14	w
1855	10	w
1855	9	w
1855	9	w
1855	8	w
1855	9	w
1855	12	w
1855	13	w
1855	9	w
1856	9	w
1856	11	w
1856	11	w
1856	9	w
1856	14	w
1856	11	w
1856	11	w
1856	7	w
1856	10	w
1856	11	w
1856	11	w
1856	11	w
1856	12	w
1856	12	w
1856	9	w
1856	9	w
1856	8	w
1856	8	s
1856	9	s
1856	8	s
1856	9	s
1856	8	s
1856	7	s
1856	8	s
1856	11	s
1856	9	s
1856	8	s
1856	10	s
1856	8	s
1856	7	s
1856	10	s
1856	9	s
1856	8	s
1856	9	s
1856	9	w
1856	9	w
1856	7	w
1856	8	w
1856	11	w
1856	9	w
1857	8	w
1857	11	w
1857	12	w
1857	7	w
1857	7	w
1857	8	w
1857	12	w
1857	8	w
1857	7	s
1857	10	s
1857	9	s
1857	7	s
1857	7	s
1857	8	s
1857	9	s
1857	8	s
1857	9	s
1857	9	s
1857	7	s
1857	9	s
1857	13	s
1857	9	s
1857	8	s
1857	9	s
1857	9	s
1857	9	s
1857	7	s
1857	9	w
1857	11	w
1858	7	w
1858	9	w
1858	8	s
1858	7	s
1858	7	s
1858	5	s
1858	11	s
1858	8	s
1858	8	s
1858	7	w
1858	15	s
1858	10	w
1858	10	w
1858	9	w
1858	9	w
1858	8	w
1858	17	w
1858	11	w
1859	7	w
1859	7	w
1859	10	w
1859	10	w
1859	8	w
1859	13	w
1859	8	w
1859	9	s
1859	8	s
1859	5	s
1859	7	s
1859	14	s
1859	36	s
1859	13	w
1859	12	w
1860	6	w
1860	4	s
1860	4	s
1860	4	s
1860	5	s
1860	24	s
1860	4	s
1860	11	s
1860	4	s
1860	5	s
1860	4	s
1860	11	s
1860	4	s
1860	4	s
1860	4	s
1860	6	s
1860	4	s
1860	7	s
1860	9	w
1860	11	w
1860	8	w
1860	6	w
1860	9	w
1860	8	w
1860	8	w
1861	6	w
1861	6	w
1861	11	w
1861	8	w
1861	7	w
1861	8	w
1861	8	s
1861	8	s
1861	8	s
1861	8	s
1862	11	w
1866	12	s
1868	3	s
1868	18	s
1868	16	s
1869	7	s
1869	9	s
1869	16	s
1870	3	w
1871	3	w
1872	2	w
1873	4	s
1875	110	w
1875	199	s
1878	3	w
1880	3	w
1881	3	s
1881	3	s
1883	2	s
1883	1	s
1883	2	w
1883	1	w
1884	7	s
1887	2	s
1887	3	s
