year	delta	season
1802	30	w
1806	18	s
1808	20	s
1808	22	s
1809	26	w
1809	24	s
1809	23	s
1810	23	s
1810	24	s
1810	23	s
1811	26	w
1812	24	w
1825	14	w
1825	21	w
1829	12	s
1830	12	w
1830	11	w
1833	10	w
1833	10	s
1834	10	s
1838	12	w
1838	10	w
1838	9	s
1838	9	s
1840	8	w
1840	9	s
1842	7	s
1844	8	w
1845	6	w
1846	13	s
1848	9	w
1848	8	w
1848	21	s
1849	11	w
1849	8	w
1849	8	w
1849	9	s
1849	6	s
1849	7	s
1849	16	w
1849	12	w
1850	6	s
1850	8	s
1850	8	s
1850	9	s
1850	9	s
1850	8	s
1850	9	w
1850	7	w
1850	8	w
1850	9	w
1850	8	w
1850	9	w
1850	10	w
1850	12	w
1851	8	w
1851	13	w
1851	8	w
1851	7	w
1851	10	w
1851	8	w
1851	7	w
1851	9	s
1851	16	s
1851	9	s
1851	8	s
1851	13	s
1851	8	s
1851	8	s
1851	8	w
1851	12	w
1851	8	w
1852	7	w
1852	7	s
1852	4	s
1852	10	s
1852	8	s
1852	10	s
1852	9	s
1852	8	w
1853	12	w
1853	11	w
1853	9	s
1853	8	s
1853	7	s
1853	4	s
1853	7	s
1853	6	w
1853	7	w
1854	12	w
1854	4	w
1854	7	w
1854	9	w
1854	5	s
1854	6	s
1854	5	s
1854	5	s
1854	7	s
1854	4	s
1854	4	w
1854	7	w
1854	9	w
1854	17	w
1855	4	w
1855	8	w
1855	11	w
1855	11	w
1855	4	s
1855	10	s
1855	7	s
1855	6	s
1855	8	s
1855	6	s
1855	6	w
1856	5	w
1856	9	w
1856	6	w
1856	4	s
1856	4	s
1856	4	w
1857	5	s
1857	6	s
1857	8	s
1857	6	s
1858	5	w
1858	6	w
1858	6	w
1858	7	s
1858	6	s
1858	9	s
1858	8	s
1858	6	s
1858	9	s
1858	6	s
1858	8	s
1858	13	s
1858	7	s
1858	6	s
1858	6	s
1858	7	s
1858	10	s
1858	6	s
1858	8	s
1858	5	s
1858	6	s
1858	11	s
1858	8	s
1858	11	s
1858	8	s
1858	7	s
1858	7	s
1858	4	s
1858	11	s
1858	7	s
1858	7	s
1858	8	w
1858	9	w
1858	10	w
1858	8	w
1858	6	w
1858	5	w
1858	9	w
1858	17	w
1859	10	w
1859	5	w
1859	7	w
1859	5	w
1859	8	s
1859	7	s
1859	7	s
1859	7	s
1859	10	s
1859	9	s
1859	12	s
1859	6	s
1859	7	s
1859	12	s
1859	9	s
1859	6	s
1859	8	s
1859	5	s
1859	7	s
1859	5	s
1859	7	s
1859	7	s
1859	8	s
1859	8	w
1859	6	w
1859	7	w
1859	8	w
1860	12	w
1860	5	w
1860	7	w
1860	8	w
1860	5	w
1860	6	w
1860	6	w
1860	6	w
1860	5	w
1860	8	w
1860	8	w
1860	8	w
1860	6	s
1860	7	s
1860	9	s
1860	6	s
1860	8	s
1860	6	s
1860	7	s
1860	7	s
1860	8	s
1860	6	s
1860	14	s
1860	9	s
1860	7	s
1861	6	s
1861	5	s
1861	6	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	6	s
1861	6	s
1861	7	s
1861	9	w
1862	8	w
1862	10	w
1862	9	w
1862	7	w
1862	7	w
1862	27	w
1862	7	w
1862	7	w
1862	8	s
1862	7	s
1862	9	s
1862	7	s
1862	8	s
1862	8	s
1862	6	s
1862	8	s
1863	4	w
1863	9	s
1863	3	w
1863	6	w
1863	5	w
1863	5	w
1863	3	w
1863	10	w
1863	5	w
1863	5	w
1863	3	w
1863	4	w
1864	3	w
1864	7	w
1864	14	s
1866	3	s
1866	2	s
1866	3	s
1866	2	s
1866	4	s
1866	3	s
1866	5	s
1867	6	s
1867	13	s
1868	2	w
1868	8	w
1868	8	w
1868	6	s
1868	2	s
1868	2	s
1868	3	s
1869	21	s
1869	3	s
1869	8	w
1870	7	w
1870	3	w
1870	7	s
1871	2	s
1871	2	w
1871	56	s
1872	7	w
1872	4	s
1872	2	s
1873	2	w
1874	2	w
1874	6	s
1875	4	s
1876	3	s
1877	5	w
1877	2	s
1877	2	s
1877	3	s
1878	9	w
1878	5	w
1879	6	w
1879	5	s
1881	2	w
1884	2	w
1885	2	s
1886	338	s
