year	delta
1803	24
1804	50
1807	38
1808	44
1808	44
1808	28
1808	30
1809	29
1810	28
1810	25
1810	25
1810	24
1811	25
1812	39
1812	41
1812	48
1812	43
1812	34
1812	56
1812	53
1813	30
1813	19
1814	23
1814	25
1814	22
1814	22
1814	22
1814	26
1817	29
1817	25
1818	32
1834	14
1834	14
1836	14
1837	13
1839	23
1843	18
1844	21
1844	11
1844	11
1848	11
1848	10
1848	12
1854	16
1854	8
1854	7
1854	7
1854	11
1855	10
1857	11
1866	9
1866	8
1866	12
1866	9
1866	12
1866	10
1866	10
1866	8
1867	15
1868	9
1868	8
1868	8
1868	7
1869	8
1876	8
1881	3
1883	1
1884	4
1885	7
