year	delta	season
1806	23	s
1806	54	w
1808	25	w
1810	23	w
1819	21	w
1820	20	w
1822	20	s
1826	19	s
1831	16	w
1831	18	w
1831	18	s
1832	25	s
1834	13	s
1836	11	s
1837	14	s
1837	12	s
1837	11	s
1837	12	s
1837	20	w
1837	13	w
1837	11	w
1837	13	w
1838	19	w
1838	25	w
1838	11	s
1839	24	w
1840	14	w
1841	10	s
1842	9	w
1844	14	s
1844	12	s
1848	9	w
1848	10	w
1848	11	w
1848	15	w
1848	13	w
1848	12	s
1848	7	s
1848	9	s
1852	6	s
1852	10	s
1854	10	s
1854	7	s
1855	7	w
1855	8	w
1856	6	s
1857	7	s
1857	11	w
1858	5	s
1860	43	w
1860	8	w
1861	8	w
1863	9	w
1866	2	s
1867	8	s
1881	5	s
1884	2	w
1887	2	s
1888	4	s
