year	delta	season
1802	22	w
1802	22	w
1802	22	w
1802	25	w
1802	22	w
1802	21	w
1802	18	w
1802	18	w
1802	18	w
1802	20	w
1802	18	w
1802	18	w
1802	18	w
1802	18	w
1802	22	s
1802	18	s
1802	18	s
1802	18	s
1802	18	s
1802	18	s
1802	18	s
1802	18	s
1802	18	s
1802	18	s
1802	18	s
1802	18	s
1802	18	w
1802	21	w
1802	21	w
1802	22	w
1802	21	w
1802	18	w
1803	21	w
1803	21	w
1803	19	w
1803	22	w
1803	22	w
1803	21	w
1803	21	w
1803	22	w
1803	22	w
1803	18	w
1803	21	w
1803	22	w
1803	18	s
1803	18	s
1803	22	s
1803	21	s
1803	21	s
1803	19	s
1803	18	s
1803	18	s
1803	19	s
1803	19	s
1803	24	s
1803	18	s
1803	20	s
1803	22	s
1803	21	s
1803	18	s
1803	18	s
1803	21	s
1803	21	s
1803	18	s
1803	18	s
1803	18	w
1803	21	w
1803	21	w
1803	22	w
1803	21	w
1803	22	w
1803	21	w
1804	21	w
1804	21	w
1804	22	w
1804	21	w
1804	21	w
1804	21	w
1804	21	w
1804	21	w
1804	22	w
1804	22	w
1804	19	w
1804	21	w
1804	21	w
1804	22	w
1804	18	w
1804	18	s
1804	21	s
1804	18	s
1804	21	s
1804	18	s
1804	18	s
1804	18	s
1804	21	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	18	w
1804	18	w
1804	18	w
1804	18	w
1804	18	w
1804	21	w
1804	21	w
1804	22	w
1804	21	w
1804	21	w
1804	21	w
1804	21	w
1804	21	w
1805	22	w
1805	21	w
1805	21	w
1805	21	w
1805	21	w
1805	21	w
1805	21	w
1805	20	w
1805	21	w
1805	22	w
1805	18	w
1805	18	w
1805	21	w
1805	18	w
1805	18	w
1805	18	w
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	21	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	18	s
1805	35	s
1805	21	w
1805	18	w
1805	57	w
1806	21	w
1806	21	w
1806	25	w
1806	22	w
1806	25	w
1806	32	w
1806	21	w
1806	25	w
1806	28	w
1806	38	w
1806	21	w
1806	21	s
1806	21	s
1806	83	w
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	22	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	21	s
1806	53	w
1806	35	w
1806	42	w
1807	60	w
1807	28	s
1807	32	s
1807	27	w
1807	27	w
1807	38	w
1807	27	w
1808	25	w
1808	25	w
1814	25	w
1814	22	s
1814	22	s
1814	18	w
1815	21	w
1815	19	w
1815	18	w
1815	25	w
1815	22	w
1815	18	s
1815	21	s
1815	18	s
1815	19	s
1815	21	s
1815	18	s
1815	18	s
1815	18	s
1815	18	s
1815	24	s
1815	19	s
1815	18	s
1815	18	s
1815	18	s
1815	18	w
1816	21	w
1816	22	w
1816	18	w
1816	25	w
1816	18	s
1816	19	s
1816	18	s
1816	28	s
1816	18	s
1816	18	s
1816	18	s
1816	28	s
1816	18	s
1816	323	w
1816	22	s
1816	19	w
1817	18	s
1817	18	w
1817	23	w
1817	19	w
1817	18	w
1818	18	w
1818	18	w
1818	21	w
1818	18	w
1818	21	s
1819	18	s
1819	18	w
1819	21	w
1819	18	w
1820	24	w
1820	18	w
1820	18	w
1820	18	w
1820	18	w
1820	21	w
1820	18	w
1820	18	w
1820	18	s
1820	19	s
1820	18	s
1820	18	s
1820	18	s
1821	18	w
1821	18	w
1821	21	w
1821	23	w
1822	18	w
1822	17	w
1822	28	w
1822	17	s
1823	18	w
1823	18	w
1824	18	w
1825	21	s
1826	18	s
1826	18	s
1826	17	s
1828	22	w
1828	11	s
1828	11	s
1828	11	s
1828	16	w
1829	13	w
1829	14	w
1829	12	w
1830	13	w
1830	13	w
1830	14	s
1830	13	s
1830	12	s
1830	14	s
1830	15	s
1830	14	s
1830	14	s
1830	15	s
1830	13	s
1830	12	s
1830	13	s
1830	12	s
1830	13	s
1830	13	s
1830	12	s
1830	13	s
1830	14	s
1830	12	w
1830	13	w
1830	12	w
1830	12	w
1830	14	w
1830	13	w
1830	17	w
1830	13	w
1830	14	w
1830	12	w
1830	13	w
1830	12	w
1830	12	w
1830	13	w
1830	12	w
1830	12	w
1830	14	w
1830	13	w
1830	13	w
1830	14	w
1830	13	w
1830	12	w
1830	14	w
1830	15	w
1831	14	w
1831	14	w
1831	13	w
1831	13	w
1831	12	w
1831	13	w
1831	15	w
1831	15	w
1831	14	w
1831	13	w
1831	12	w
1831	14	w
1831	13	w
1831	15	w
1831	12	w
1831	13	w
1831	12	w
1831	16	w
1831	17	w
1831	13	w
1831	15	w
1831	15	w
1831	14	w
1831	14	s
1831	12	s
1831	15	s
1831	13	s
1831	14	s
1831	13	s
1831	13	s
1831	14	s
1831	16	s
1831	13	s
1831	14	s
1831	14	s
1831	13	s
1831	12	s
