year	delta	season
1807	72	s
1808	43	w
1808	22	w
1809	20	s
1810	23	w
1812	20	w
1812	30	w
1813	27	s
1813	13	w
1813	16	w
1814	25	s
1816	23	s
1817	20	s
1817	26	s
1819	20	s
1827	14	w
1831	17	s
1844	13	s
1844	8	w
1845	7	w
1845	13	s
1845	16	s
1845	6	s
1846	7	w
1846	6	s
1846	8	s
1846	11	s
1847	7	s
1847	8	s
1847	7	s
1847	11	s
1847	8	w
1847	7	w
1847	12	w
1848	8	w
1848	8	s
1848	10	s
1848	10	s
1848	9	w
1848	7	w
1848	10	w
1849	5	s
1850	7	s
1850	6	s
1850	5	s
1850	13	w
1851	9	s
1852	8	s
1852	6	s
1853	7	s
1853	4	s
1853	7	s
1853	7	s
1854	4	w
1855	6	w
1856	7	w
1857	10	w
1857	4	w
1857	4	s
1857	4	s
1861	6	s
1863	16	w
1864	9	w
1867	29	s
1872	6	s
1873	5	s
1878	3	s
1880	6	s
1880	4	w
1886	4	w
1887	2	w
1888	2	w
