year	delta	season
1802	16	w
1802	15	w
1802	15	s
1802	15	w
1802	15	w
1803	16	w
1803	15	w
1803	16	w
1803	16	s
1803	15	s
1803	19	s
1803	16	s
1803	19	s
1804	18	w
1804	16	s
1804	15	s
1805	16	w
1805	16	w
1805	20	s
1805	14	s
1805	20	w
1805	15	w
1805	19	w
1806	18	w
1806	19	s
1806	14	s
1806	15	s
1806	15	s
1806	50	w
1807	49	w
1807	44	s
1807	24	s
1807	33	s
1807	22	s
1807	34	w
1807	32	w
1807	26	w
1808	36	w
1808	32	w
1808	41	w
1808	17	w
1808	45	w
1808	17	w
1808	30	w
1808	20	s
1808	38	s
1808	42	s
1808	31	s
1808	19	s
1808	16	s
1808	19	s
1808	39	s
1808	32	s
1808	33	s
1809	16	w
1809	16	s
1809	15	s
1809	15	s
1809	37	s
1810	18	w
1810	16	w
1810	16	w
1810	16	s
1810	15	s
1810	15	s
1810	16	w
1810	15	w
1810	16	w
1811	16	w
1811	14	w
1811	16	w
1811	15	w
1811	16	w
1811	17	s
1811	18	s
1811	17	s
1811	18	s
1811	14	s
1811	17	s
1811	15	s
1811	29	s
1811	25	s
1811	17	s
1811	16	s
1811	15	w
1811	16	w
1811	21	w
1811	15	w
1812	17	w
1812	17	w
1812	15	w
1812	27	w
1813	19	w
1813	31	w
1813	16	w
1813	16	w
1813	16	w
1813	18	w
1813	17	s
1813	15	s
1813	15	s
1813	18	s
1813	15	s
1813	16	s
1813	15	s
1813	15	s
1813	15	s
1813	18	s
1813	15	s
1813	15	s
1813	17	s
1813	16	s
1813	31	s
1813	22	s
1813	17	s
1813	23	s
1813	19	s
1813	30	s
1813	20	s
1813	22	s
1813	21	w
1814	18	s
1814	16	s
1814	35	s
1814	15	s
1814	15	s
1814	16	s
1814	15	s
1814	15	w
1814	23	w
1815	15	w
1815	15	w
1815	15	s
1815	16	w
1815	16	w
1816	16	w
1816	15	s
1816	16	s
1816	15	s
1816	21	s
1816	14	w
1816	15	w
1817	16	w
1817	15	w
1817	15	w
1817	15	s
1817	16	s
1817	16	w
1817	16	w
1817	16	w
1818	15	w
1818	15	w
1818	15	w
1818	15	w
1818	15	w
1818	15	w
1818	15	s
1818	16	s
1818	15	s
1818	16	s
1818	16	s
1818	16	s
1818	15	w
1818	16	w
1818	15	w
1818	16	w
1818	18	w
1819	15	w
1819	15	s
1819	15	s
1819	14	s
1819	16	s
1819	15	w
1819	15	w
1819	15	w
1819	15	w
1819	15	w
1819	15	w
1819	15	w
1819	18	w
1819	16	w
1820	15	w
1820	16	w
1820	15	s
1820	16	s
1820	16	s
1821	16	w
1821	16	s
1821	16	s
1821	15	s
1822	15	w
1822	16	w
1822	11	s
1822	14	s
1822	12	s
1822	12	w
1822	14	w
1823	14	w
1823	14	w
1823	11	w
1823	18	w
1823	13	w
1823	14	s
1823	11	s
1823	11	s
1823	14	s
1823	14	w
1823	15	w
1824	15	w
1825	18	w
1825	14	w
1825	14	w
1825	14	w
1825	11	w
1826	11	w
1826	12	w
1827	11	s
1828	13	w
1828	14	w
1828	10	w
1828	10	s
1828	18	s
1828	8	w
1829	10	s
1829	11	s
1829	8	s
1829	10	s
1829	10	s
1829	9	s
1829	10	s
1829	11	w
1829	10	w
1829	11	w
1830	9	w
1830	10	w
1830	11	w
1830	12	w
1830	10	s
1830	11	s
1830	10	s
1830	11	s
1830	11	s
1830	12	w
1830	11	w
1831	11	w
1831	15	s
1831	9	s
1831	9	s
1831	10	w
1832	10	w
1832	10	w
1832	10	w
1832	11	s
1832	13	s
1832	10	s
1832	11	s
1832	11	s
1832	10	s
1832	10	s
1832	9	w
1832	11	w
1833	10	w
1833	11	w
1833	10	s
1833	11	s
1833	10	s
1833	8	s
1833	10	s
1833	9	w
1834	9	w
1834	12	w
1834	24	w
1834	10	s
1834	9	s
1834	9	s
1834	9	s
1834	8	s
1834	9	s
1834	8	s
1834	10	s
1834	9	w
1834	9	w
1834	9	w
1834	10	w
1834	9	w
1835	9	w
1835	10	w
1835	9	s
1835	9	s
1835	8	s
1835	11	s
1835	8	w
1835	9	w
1835	10	w
1835	10	w
1835	9	w
1835	9	w
1836	16	w
1836	23	w
1836	8	w
1836	9	w
1836	16	s
1836	10	s
1836	9	s
1836	8	s
1836	9	s
1836	9	s
1836	19	s
1836	9	s
1836	10	s
1836	10	s
1836	7	s
1836	10	s
1836	13	s
1836	11	w
1836	10	w
1836	10	w
1836	9	w
1836	8	w
1837	11	w
1837	10	w
1837	11	w
1837	9	w
1837	8	w
1837	10	s
1837	10	s
1837	17	s
1837	9	s
1837	8	s
1837	17	s
1837	11	s
1837	10	w
1837	10	w
1838	11	w
1838	9	w
1838	9	w
1838	15	w
1838	16	s
1838	8	s
1838	10	s
1838	9	s
1838	11	s
1838	11	s
1838	8	s
1838	11	s
1838	9	s
1838	8	s
1838	8	s
1838	9	s
1838	9	s
1838	10	s
1838	8	s
1838	9	w
1838	9	w
1838	8	w
1838	10	w
1838	9	w
1839	9	w
1839	10	w
1839	10	w
1839	10	w
1839	10	w
1839	9	w
1839	11	w
1839	9	s
1839	11	s
1839	7	s
1839	8	s
1839	7	s
1839	8	s
1839	9	s
1839	8	w
1839	8	w
1839	7	w
1839	12	w
1840	8	w
1840	8	w
1840	7	w
1840	9	s
1840	10	s
1840	8	s
1841	7	w
1841	9	w
1841	9	w
1841	11	w
1841	10	s
1841	15	s
1841	8	s
1841	13	s
1841	17	s
1841	9	s
1841	17	s
1841	8	s
1841	14	s
1841	8	s
1841	8	s
1841	6	s
1841	11	s
1841	9	s
1841	16	s
1841	7	w
1841	16	w
1841	7	w
1841	8	w
1842	8	w
1842	9	w
1842	8	w
1842	8	w
1842	11	w
1842	8	w
1842	8	w
1842	7	s
1842	8	s
1842	8	s
1842	9	s
1842	7	s
1842	9	s
1842	8	s
1842	7	s
1842	9	s
1842	10	s
1842	9	s
1842	12	s
1842	8	s
1842	8	s
1842	7	s
1842	10	s
1842	8	s
1842	8	s
1842	7	s
1842	8	s
1842	8	s
1842	8	s
1842	8	s
1842	7	s
1842	8	s
1842	8	s
1842	7	s
1842	7	s
1842	8	s
1842	7	w
1842	8	w
1842	9	w
1842	10	w
1842	8	w
1842	12	w
1842	8	w
1842	12	w
1842	17	w
1842	21	w
1843	7	w
1843	8	w
1843	8	w
1843	14	w
1843	8	w
1843	8	w
1843	15	w
1843	7	w
1843	10	w
1843	17	w
1843	16	w
1843	7	s
1843	9	s
1843	6	s
1843	7	s
1843	7	s
1843	7	s
1843	9	s
1843	8	s
