year	delta	season
1802	22	w
1803	21	w
1803	21	w
1803	22	s
1803	21	w
1804	21	s
1804	22	w
1805	21	s
1805	21	s
1805	22	w
1805	25	w
1806	21	w
1806	25	s
1806	21	s
1806	21	s
1807	22	w
1809	25	w
1815	24	s
1815	21	s
1816	21	w
1816	21	w
1816	21	s
1817	21	s
1817	20	s
1819	19	s
1819	22	s
1830	14	s
1831	14	w
1832	18	s
1833	12	w
1835	10	s
1840	9	s
1843	10	s
1848	8	w
1849	7	s
1850	9	w
1850	9	w
1850	5	s
1850	5	s
1850	6	s
1850	7	s
1850	7	s
1850	8	s
1850	7	s
1850	7	s
1850	6	s
1850	8	s
1850	7	s
1850	8	s
1850	7	s
1850	7	s
1850	8	s
1850	6	s
1850	8	s
1850	7	s
1850	8	s
1850	7	w
1850	8	w
1850	7	w
1850	5	w
1850	8	w
1850	7	w
1850	9	w
1850	7	w
1850	9	w
1850	9	w
1850	7	w
1850	9	w
1850	8	w
1850	8	w
1850	8	w
1850	7	w
1850	9	w
1850	7	w
1850	8	w
1851	7	w
1851	14	s
1851	8	s
1851	8	s
1852	7	s
1853	9	s
1853	9	s
1853	8	s
1854	7	w
1854	6	s
1859	8	s
1860	6	s
1860	7	w
1861	6	w
1861	6	s
1861	7	s
1861	9	s
1862	9	w
1862	9	w
1862	10	w
1866	3	s
1866	5	s
1867	11	s
1880	3	w
